# lemma	present	past	past-participle	present-participle	imperative  ("-" = productive default)
SMS	-	-	ge-SMS	-	-
Suid-Afrikaniseer	-	-	ge-Suid-Afrikaniseer	-	-
U-draai	-	-	ge-U-draai	-	-
aanbak	-	-	aangebak	-	-
aanbel	-	-	aangebel	-	-
aanbeland	-	-	aanbeland	-	-
aanbelang	-	-	aanbelang	-	-
aanbestee	-	-	aanbestee	aanbesteeënde	-
aanbetref	-	-	aanbetref	aanbetreffende	-
aanbeur	-	-	aangebeur	-	-
aanbeveel	-	-	aanbeveel	-	-
aanbeweeg	-	-	aanbeweeg	-	-
aanbid	-	-	aanbid	aanbiddende	-
aanbie	-	-	aangebie	-	-
aanbied	-	-	aangebied	-	-
aanbieë	-	-	aangebieë	-	-
aanbind	-	-	aangebind	-	-
aanblaas	-	-	aangeblaas	-	-
aanblik	-	-	aangeblik	-	-
aanbly	-	-	aangebly	-	-
aanboor	-	-	aangeboor	-	-
aanbou	-	-	aangebou	-	-
aanbrand	-	-	aangebrand	-	-
aanbreek	-	-	aangebreek	-	-
aanbrei	-	-	aangebrei	-	-
aanbring	-	-	aangebring	-	-
aandien	-	-	aangedien	-	-
aandig	-	-	aangedig	-	-
aandik	-	-	aangedik	-	-
aandoen	-	-	aangedoen	-	-
aandra	-	-	aangedra	-	-
aandraag	-	-	aangedraag	-	-
aandraai	-	-	aangedraai	-	-
aandrae	-	-	aangedrae	-	-
aandraf	-	-	aangedraf	-	-
aandrawwe	-	-	aangedrawwe	-	-
aandrentel	-	-	aangedrentel	-	-
aandring	-	-	aangedring	-	-
aandruk	-	-	aangedruk	-	-
aandryf	-	-	aangedryf	-	-
aandrywe	-	-	aangedrywe	-	-
aandui	-	-	aangedui	-	-
aanduie	-	-	aangeduie	-	-
aandurf	-	-	aangedurf	-	-
aandurwe	-	-	aangedurwe	-	-
aaneenbrei	-	-	aaneengebrei	-	-
aaneenflans	-	-	aaneengeflans	-	-
aaneengroei	-	-	aaneengegroei	-	-
aaneenheg	-	-	aaneengeheg	-	-
aaneenknoop	-	-	aaneengeknoop	-	-
aaneenkoppel	-	-	aaneengekoppel	-	-
aaneenlas	-	-	aaneengelas	-	-
aaneenlym	-	-	aaneengelym	-	-
aaneenryg	-	-	aaneengeryg	-	-
aaneenskakel	-	-	aaneengeskakel	-	-
aaneenskryf	-	-	aaneengeskryf	-	-
aaneenskrywe	-	-	aaneengeskrywe	-	-
aaneensluit	-	-	aaneengesluit	-	-
aaneensmee	-	-	aaneengesmee	-	-
aaneensweis	-	-	aaneengesweis	-	-
aaneenvleg	-	-	aaneengevleg	-	-
aanerd	-	-	aangeërd	-	-
aanfladder	-	-	aangefladder	-	-
aanfok	-	-	aangefok	-	-
aangaan	-	-	aangegaan	aangaande	-
aangaap	-	-	aangegaap	-	-
aangee	-	-	aangegee	-	-
aangespe	-	-	aangegespe	-	-
aangesper	-	-	aangegesper	-	-
aangluur	-	-	aangegluur	-	-
aangord	-	-	aangegord	-	-
aangroei	-	-	aangegroei	-	-
aangryns	-	-	aangegryns	-	-
aangryp	-	-	aangegryp	-	-
aanhaak	-	-	aangehaak	-	-
aanhaal	-	-	aangehaal	-	-
aanhang	-	-	aangehang	-	-
aanhardloop	-	-	aangehardloop	-	-
aanhef	-	-	aangehef	-	-
aanheg	-	-	aangeheg	-	-
aanhelp	-	-	aangehelp	-	-
aanhink	-	-	aangehink	-	-
aanhits	-	-	aangehits	-	-
aanhol	-	-	aangehol	-	-
aanhoor	-	-	aangehoor	-	-
aanhou	-	-	aangehou	-	-
aanhuppel	-	-	aangehuppel	-	-
aanhê	-	-	aangehad	aanhebbende	-
aanja	-	-	aangeja	-	-
aanjaag	-	-	aangejaag	-	-
aanjae	-	-	aangejae	-	-
aanjanter	-	-	aangejanter	-	-
aankap	-	-	aangekap	-	-
aankarring	-	-	aangekarring	-	-
aankeer	-	-	aangekeer	-	-
aankla	-	-	aangekla	-	-
aanklaag	-	-	aangeklaag	-	-
aanklae	-	-	aangeklae	-	-
aanklam	-	-	aangeklam	-	-
