# lemma	feature	form  (mined residue — regenerate with scripts/amh/mine_overrides.py)
ለቀቀ	V;1;PRF;SG	ለቅቄያለሁ
ላከ	V;1;PFV;SG	ላኩ
ላከ	V;2;MASC;PFV;SG	ላክ
ማረከ	V;1;PFV;SG	ማረኩ
ማረከ	V;2;MASC;PFV;SG	ማረክ
ራበ	V;3;IMP;MASC;SG	ይራብ
ሰለቸ	V;3;IMP;MASC;SG	ይሰልች
ሰካ	V;3;IMP;MASC;SG	ይሰካ
ሰደደ	V;1;PRF;SG	ሰድጃለሁ
ሰጠ	V;1;PFV;PL	ሰጠን
ሰጠ	V;1;PFV;SG	ሰጠሁ
ሰጠ	V;2;FEM;PFV;SG	ሰጠሽ
ሰጠ	V;2;MASC;PFV;SG	ሰጠህ
ሳሳ	V;3;IMP;MASC;SG	ይሳሳ
ሸሸ	V;1;IMP;PL	እንሽ
ሸሸ	V;1;IMP;SG	ልሽ
ሸሸ	V;3;FEM;IMP;SG	ትሽ
ሸሸ	V;3;IMP;MASC;SG	ይሽ
ሸሸ	V;3;IMP;PL	ይሹ
ሸኘ	V;3;IMP;MASC;SG	ይሸኝ
ሻ	V;2;FEM;IPFV;SG	ትሺያለሽ
ቀረ	V;1;PFV;PL	ቀረን
ቀረ	V;1;PFV;SG	ቀረሁ
ቀረ	V;2;FEM;PFV;SG	ቀረሽ
ቀረ	V;2;MASC;PFV;SG	ቀረህ
ቀረና	V;3;IMP;MASC;SG	ይቀርና
ቀሰቀሰ	V;3;IMP;MASC;SG	ይቀስቅስ
በላ	V;2;FEM;IMP;SG	ብዪ
በረረ	V;3;IMP;MASC;SG	ይብረር
በረታ	V;3;IMP;MASC;SG	ይበርታ
ባረከ	V;1;PFV;SG	ባረኩ
ባረከ	V;2;MASC;PFV;SG	ባረክ
ተለዋወጠ	V;1;IMP;PL	እንለዋወጥ
ተለዋወጠ	V;1;IPFV;NFIN;PL	እንለዋወጥ
ተለዋወጠ	V;1;IPFV;PL	እንለዋወጣለን
