# lemma	pfv	ipfv	prf	prs	ipfvn	imp
ሄደ	ሄደ	ይሄዳል	ሄዷል	-	ይሄድ	ሂድ
ሆነ	ሆነ	ይሆናል	ሆኗል	-	ይሆን	ሁን
ለመነ	ለመነ	ይለምናል	ለምኗል	-	ይለምን	ለምን
ለማ	ለማ	ይለማል	ለምቷል	-	ይለማ	ልማ
ለቀቀ	ለቀቀ	ይለቃል	ለቋል	-	ይለቅ	ልቀቅ
ለበሰ	ለበሰ	ይለብሳል	ለብሷል	-	ይለብስ	ልበስ
ለወጠ	ለወጠ	ይለውጣል	ለውጧል	-	ይለውጥ	ለውጥ
ለየ	ለየ	ይለያል	ለይቷል	-	ይለይ	ለይ
ለገሰ	ለገሰ	ይለግሳል	ለግሷል	-	ይለግስ	ለግስ
ላከ	ላከ	ይልካል	ልኳል	-	ይልክ	ላክ
መለሰ	መለሰ	ይመልሳል	መልሷል	-	ይመልስ	መልስ
መረመረ	መረመረ	ይመረምራል	መርምሯል	-	ይመረምር	መርምር
መረጠ	መረጠ	ይመርጣል	መርጧል	-	ይመርጥ	ምረጥ
መራ	መራ	ይመራል	መርቷል	-	ይመራ	ምራ
መሰለ	መሰለ	ይመስላል	መስሏል	-	ይመስል	ምሰል
መሰረተ	መሠረተ	ይመሠርታል	መሥርቷል	-	ይመሠርት	መሥርት
መሰከረ	መሰከረ	ይመሰክራል	መስክሯል	-	ይመሰክር	መስክር
መሸ	መሸ	ይመሻል	መሽቷል	-	ይመሽ	-
መታ	መታ	ይመታል	መትቷል	-	ይመታ	ምታ
መከረ	መከረ	ይመክራል	መክሯል	-	ይመክር	ምከር
መደበ	መደበ	ይመድባል	መድቧል	-	ይመድብ	መድብ
መጣ	መጣ	ይመጣል	መጥቷል	-	ይመጣ	ምጣ
ማለ	ማለ	ይምላል	ምሏል	-	ይምል	ማል
ማረ	ማረ	ይምራል	ምሯል	-	ይምር	ማር
ማረከ	ማረከ	ይማርካል	ማርኳል	-	ይማርክ	ማርክ
ሞላ	ሞላ	ይሞላል	ሞልቷል	-	ይሞላ	ሙላ
ሞተ	ሞተ	ይሞታል	ሞቷል	-	ይሞት	ሙት
ሞከረ	ሞከረ	ይሞክራል	ሞክሯል	-	ይሞክር	ሞክር
ረሳ	ረሳ	ይረሳል	ረስቷል	-	ይረሳ	ርሳ
ረታ	ረታ	ይረታል	ረትቷል	-	ይረታ	ርታ
ረከሰ	ረከሰ	ይረክሳል	ረክሷል	-	ይረክስ	ርከስ
ረዘመ	ረዘመ	ይረዝማል	ረዝሟል	-	ይረዝም	-
ረዳ	ረዳ	ይረዳል	ረድቷል	-	ይረዳ	ርዳ
ረገጠ	ረገጠ	ይረግጣል	ረግጧል	-	ይረግጥ	ርገጥ
ረገፈ	ረገፈ	ይረግፋል	ረግፏል	-	ይረግፍ	-
ራቀ	ራቀ	ይርቃል	ርቋል	-	ይርቅ	ራቅ
ራበ	ራበ	ይርባል	ርቧል	-	ይርብ	-
ሮጠ	ሮጠ	ይሮጣል	ሮጧል	-	ይሮጥ	ሩጥ
ሰለቸ	ሰለቸ	ይሰለቻል	ሰልችቷል	-	ይሰለች	-
ሰማ	ሰማ	ይሰማል	ሰምቷል	-	ይሰማ	ስማ
ሰረቀ	ሰረቀ	ይሰርቃል	ሰርቋል	-	ይሰርቅ	ስረቅ
ሰረዘ	ሰረዘ	ይሰርዛል	ሰርዟል	-	ይሰርዝ	ሰርዝ
ሰራ	ሠራ	ይሠራል	ሠርቷል	-	ይሠራ	ሥራ
ሰበረ	ሰበረ	ይሰብራል	ሰብሯል	-	ይሰብር	ስበር
ሰበሰበ	ሰበሰበ	ይሰበስባል	ሰብስቧል	-	ይሰበስብ	ሰብስብ
ሰባበረ	ሰባበረ	ይሰባብራል	ሰባብሯል	-	ይሰባብር	ሰባብር
ሰነዘረ	ሰነዘረ	ይሰነዝራል	ሰንዝሯል	-	ይሰነዝር	ሰንዝር
ሰካ	ሰካ	ይሰካል	ሰክቷል	-	ይሰካ	-
ሰዋ	ሠዋ	ይሠዋል	ሠውቷል	-	ይሠዋ	ሠዋ
ሰደደ	ሰደደ	ይሰዳል	ሰዷል	-	ይሰድ	ስደድ
ሰጋ	ሰጋ	ይሰጋል	ሰግቷል	-	ይሰጋ	ስጋ
ሰጠ	ሰጠ	ይሰጣል	ሰጥቷል	-	ይሰጥ	ስጥ
ሰፈረ	ሰፈረ	ይሰፍራል	ሰፍሯል	-	ይሰፍር	ስፈር
ሰፈነ	ሰፈነ	ይሰፍናል	ሰፍኗል	-	ይሰፍን	ስፈን
ሰፋ	ሰፋ	ይሰፋል	ሰፍቷል	-	ይሰፋ	-
ሳሳ	ሳሳ	ይሳሳል	ሳስቷል	-	ይሳሳ	-
ሳቀ	ሳቀ	ይስቃል	ስቋል	-	ይስቅ	ሳቅ
ሳበ	ሳበ	ይስባል	ስቧል	-	ይስብ	ሳብ
ሳተ	ሳተ	ይስታል	ስቷል	-	ይስት	ሳት
ሸለመ	ሸለመ	ይሸልማል	ሸልሟል	-	ይሸልም	ሸልም
ሸሸ	ሸሸ	ይሸሻል	ሸሽቷል	-	ይሸሽ	ሽሽ
ሸና	ሸና	ይሸናል	ሸንቷል	-	ይሸና	ሽና
ሸኘ	ሸኘ	ይሸኛል	ሸኝቷል	-	ይሸኝ	-
ሸጠ	ሸጠ	ይሸጣል	ሽጧል	-	ይሸጥ	ሽጥ
ሸፈነ	ሸፈነ	ይሸፍናል	ሸፍኗል	-	ይሸፍን	ሸፍን
ሻ	ሻ	ይሻል	ሽቷል	-	ይሻ	ሻ
ሻረ	ሻረ	ይሽራል	ሽሯል	-	ይሽር	ሻር
ሾመ	ሾመ	ይሾማል	ሾሟል	-	ይሾም	ሹም
ቀላ	ቀላ	ይቀላል	ቀልቷል	-	ይቀላ	-
