# lemma	PA	IA	PP	IP
آب	آبَ	يَؤُوبُ	إِيبَ	يُؤَابُ
آتى	آتَى	يُؤْتِي	أُوتِيَ	يُؤْتَى
آثر	آثَرَ	يُؤْثِرُ	أُوثِرَ	يُؤْثَرُ
آجر	آجَرَ	يُؤْجِرُ	أُوجِرَ	يُؤْجَرُ
آخذ	آخَذَ	يُؤَاخِذُ	أُوخِذَ	يُؤَاخَذُ
آخى	آخَى	يُؤَاخِي	أُوخِيَ	يُؤَاخَى
آد	آدَ	يَؤُودُ	إِيدَ	يُؤَادُ
آذن	آذَنَ	يُؤْذِنُ	أُوذِنَ	يُؤْذَنُ
آذى	آذَى	يُؤْذِي	أُوذِيَ	يُؤْذَى
آر	آرَ	يَئِيرُ	إِيرَ	يُؤَارُ
آرق	آرَقَ	يُؤْرِقُ	أُورِقَ	يُؤْرَقُ
آزر	آزَرَ	يُؤَازِرُ	أُوزِرَ	يُؤَازَرُ
آسف	آسَفَ	يُؤْسِفُ	أُوسِفَ	يُؤْسَفُ
آض	آضَ	يَئِيضُ	إِيضَ	يُؤَاضُ
آكل	آكَلَ	يُؤْكِلُ	أُوكِلَ	يُؤْكَلُ
آل	آلَ	يَؤُولُ	إِيلَ	يُؤَالُ
آلم	آلَمَ	يُؤْلِمُ	أُولِمَ	يُؤْلَمُ
آلى	آلَى	يُؤْلِي	أُولِيَ	يُؤْلَى
آم	آمَ	يَؤُومُ	إِيمَ	يُؤَامُ
آمر	آمَرَ	يُؤَامِرُ	أُومِرَ	يُؤَامَرُ
آمن	آمَنَ	يُؤْمِنُ	أُومِنَ	يُؤْمَنُ
آن	آنَ	يَؤُونُ	إِينَ	يُؤَانُ
آنث	آنَثَ	يُؤْنِثُ	-	-
آنس	آنَسَ	يُؤْنِسُ	أُونِسَ	يُؤْنَسُ
آنى	آنَى	يُؤْنِي	أُونِيَ	يُؤْنَى
آه	آهَ	يَؤُوهُ	-	-
آوى	آوَى	يُؤْوِي	أُووِيَ	يُؤْوَى
آيس	آيَسَ	يُؤْيِسُ	أُويِسَ	يُؤْيَسُ
أب	أَبَّ	يَؤُبُّ	أُبَّ	يُؤَبُّ
أبا	أَبَا	يَأْبُو	أُبِيَ	يُؤْبَى
أباح	أَبَاحَ	يُبِيحُ	أُبِيحَ	يُبَاحُ
أباد	أَبَادَ	يُبِيدُ	أُبِيدَ	يُبَادُ
أباض	أَبَاضَ	يُبِيضُ	أُبِيضَ	يُبَاضُ
أباع	أَبَاعَ	يُبِيعُ	أُبِيعَ	يُبَاعُ
أبان	أَبَانَ	يُبِينُ	أُبِينَ	يُبَانُ
أبب	أَبَّبَ	يُؤَبِّبُ	أُبِّبَ	يُؤَبَّبُ
أبث	أَبَثَ	يَأْبِثُ	أُبِثَ	يُؤْبَثُ
أبحر	أَبْحَرَ	يُبْحِرُ	أُبْحِرَ	يُبْحَرُ
أبد	أَبَّدَ	يُؤَبِّدُ	أُبِّدَ	يُؤَبَّدُ
أبدع	أَبْدَعَ	يُبْدِعُ	أُبْدِعَ	يُبْدَعُ
أبدل	أَبْدَلَ	يُبْدِلُ	أُبْدِلَ	يُبْدَلُ
أبدى	أَبْدَى	يُبْدِي	أُبْدِيَ	يُبْدَى
أبر	أَبَرَّ	يُبِرُّ	أُبِرَّ	يُبَرُّ
أبرز	أَبْرَزَ	يُبْرِزُ	أُبْرِزَ	يُبْرَزُ
أبرق	أَبْرَقَ	يُبْرِقُ	أُبْرِقَ	يُبْرَقُ
أبرم	أَبْرَمَ	يُبْرِمُ	أُبْرِمَ	يُبْرَمُ
أبش	أَبَّشَ	يُؤَبِّشُ	أُبِّشَ	يُؤَبَّشُ
أبشر	أَبْشَرَ	يُبْشِرُ	أُبْشِرَ	يُبْشَرُ
أبصر	أَبْصَرَ	يُبْصِرُ	أُبْصِرَ	يُبْصَرُ
أبطأ	أَبْطَأَ	يُبْطِئُ	أُبْطِئَ	يُبْطَأُ
أبطل	أَبْطَلَ	يُبْطِلُ	أُبْطِلَ	يُبْطَلُ
أبعد	أَبْعَدَ	يُبْعِدُ	أُبْعِدَ	يُبْعَدُ
أبغض	أَبْغَضَ	يُبْغِضُ	أُبْغِضَ	يُبْغَضُ
أبق	أَبَقَ	يَأْبِقُ	أُبِقَ	يُؤْبَقُ
أبقى	أَبْقَى	يُبْقِي	أُبْقِيَ	يُبْقَى
أبكى	أَبْكَى	يُبْكِي	أُبْكِيَ	يُبْكَى
أبلس	أَبْلَسَ	يُبْلِسُ	أُبْلِسَ	يُبْلَسُ
أبلع	أَبْلَعَ	يُبْلِعُ	أُبْلِعَ	يُبْلَعُ
أبلغ	أَبْلَغَ	يُبْلِغُ	أُبْلِغَ	يُبْلَغُ
أبن	أَبَنَّ	يُبِنُّ	أُبِّنَ	يُؤَبَّنُ
أبه	أَبِهَ	يَأْبَهُ	أُبِهَ	يُؤْبَهُ
أبهج	أَبْهَجَ	يُبْهِجُ	أُبْهِجَ	يُبْهَجُ
أبهر	أَبْهَرَ	يُبْهِرُ	أُبْهِرَ	يُبْهَرُ
أبهل	أَبْهَلَ	يُبْهِلُ	أُبْهِلَ	يُبْهَلُ
أبهم	أَبْهَمَ	يُبْهِمُ	أُبْهِمَ	يُبْهَمُ
أبى	أَبَى	يَأْبَى	أُبِيَ	يُؤْبَى
أتاح	أَتَاحَ	يُتِيحُ	أُتِيحَ	يُتَاحُ
أتبع	أَتْبَعَ	يُتْبِعُ	أُتْبِعَ	يُتْبَعُ
أتخم	أَتْخَمَ	يُتْخِمُ	أُتْخِمَ	يُتْخَمُ
أترب	أَتْرَبَ	يُتْرِبُ	أُتْرِبَ	يُتْرَبُ
أترك	أَتْرَكَ	يُؤَتْرِكُ	أُتْرِكَ	يُؤَتْرَكُ
أتعب	أَتْعَبَ	يُتْعِبُ	أُتْعِبَ	يُتْعَبُ
أتقن	أَتْقَنَ	يُتْقِنُ	أُتْقِنَ	يُتْقَنُ
أتلع	أَتْلَعَ	يُتْلِعُ	-	-
أتلف	أَتْلَفَ	يُتْلِفُ	أُتْلِفَ	يُتْلَفُ
أتم	أَتَمَّ	يُتِمُّ	أُتِمَّ	يُتَمُّ
أتمت	أَتْمَتَ	يُؤَتْمِتُ	أُتْمِتَ	يُؤَتْمَتُ
أتمر	أَتْمَرَ	يُتْمِرُ	-	-
أتى	أَتَى	يَأْتِي	أُتِيَ	يُؤْتَى
أثاب	أَثَابَ	يُثِيبُ	أُثِيبَ	يُثَابُ
أثار	أَثَارَ	يُثِيرُ	أُثِيرَ	يُثَارُ
أثبت	أَثْبَتَ	يُثْبِتُ	أُثْبِتَ	يُثْبَتُ
أثث	أَثَّثَ	يُؤَثِّثُ	أُثِّثَ	يُؤَثَّثُ
أثر	أَثَّرَ	يُؤَثِّرُ	أُثِّرَ	يُؤَثَّرُ
أثرى	أَثْرَى	يُثْرِي	أُثْرِيَ	يُثْرَى
أثقل	أَثْقَلَ	يُثْقِلُ	أُثْقِلَ	يُثْقَلُ
أثلج	أَثْلَجَ	يُثْلِجُ	أُثْلِجَ	يُثْلَجُ
أثم	أَثِمَ	يَأْثَمُ	-	-
أثمر	أَثْمَرَ	يُثْمِرُ	أُثْمِرَ	يُثْمَرُ
أثنى	أَثْنَى	يُثْنِي	أُثْنِيَ	يُثْنَى
أجاب	أَجَابَ	يُجِيبُ	أُجِيبَ	يُجَابُ
أجاد	أَجَادَ	يُجِيدُ	أُجِيدَ	يُجَادُ
