# lemma(infinitive)	V;PRS;1;SG	V;PRS;2;SG	V;PRS;3;SG	V;PRS;1;PL	V;PRS;2;PL	V;PRS;3;PL	V;PST;1;SG	V;PST;2;SG	V;PST;3;SG	V;PST;1;PL	V;PST;2;PL	V;PST;3;PL	V;FUT;1;SG	V;FUT;2;SG	V;FUT;3;SG	V;FUT;1;PL	V;FUT;2;PL	V;FUT;3;PL	V;AOR;1;SG	V;AOR;2;SG	V;AOR;3;SG	V;AOR;1;PL	V;AOR;2;PL	V;AOR;3;PL	V;IMP;2;SG	V;IMP;2;PL	V;NFIN
aldatmaq	aldadıram	aldadırsan	aldadır	aldadırıq	aldadırsınız	aldadırlar	-	-	-	-	-	-	aldadacağam	aldadacaqsan	aldadacaq	aldadacağıq	aldadacaqsınız	aldadacaqlar	aldadaram	aldadarsan	aldadar	aldadarıq	aldadarsınız	aldadarlar	-	aldadalım	-
alçaltmaq	alçaldıram	alçaldırsan	alçaldır	alçaldırıq	alçaldırsınız	alçaldırlar	-	-	-	-	-	-	alçaldacağam	alçaldacaqsan	alçaldacaq	alçaldacağıq	alçaldacaqsınız	alçaldacaqlar	alçaldaram	alçaldarsan	alçaldar	alçaldarıq	alçaldarsınız	alçaldarlar	-	alçaldalım	-
ayıtmaq	ayıdıram	ayıdırsan	ayıdır	ayıdırıq	ayıdırsınız	ayıdırlar	-	-	-	-	-	-	ayıdacağam	ayıdacaqsan	ayıdacaq	ayıdacağıq	ayıdacaqsınız	ayıdacaqlar	ayıdaram	ayıdarsan	ayıdar	ayıdarıq	ayıdarsınız	ayıdarlar	-	ayıdalım	-
azaltmaq	azaldıram	azaldırsan	azaldır	azaldırıq	azaldırsınız	azaldırlar	-	-	-	-	-	-	azaldacağam	azaldacaqsan	azaldacaq	azaldacağıq	azaldacaqsınız	azaldacaqlar	azaldaram	azaldarsan	azaldar	azaldarıq	azaldarsınız	azaldarlar	-	azaldalım	-
ağlatmaq	ağladıram	ağladırsan	ağladır	ağladırıq	ağladırsınız	ağladırlar	-	-	-	-	-	-	ağladacağam	ağladacaqsan	ağladacaq	ağladacağıq	ağladacaqsınız	ağladacaqlar	ağladaram	ağladarsan	ağladar	ağladarıq	ağladarsınız	ağladarlar	-	ağladalım	-
boğmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	boğacağıq	boğacaqsınız	-	-	-	-	boğarıq	boğarsınız	-	-	-	-
boğulmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	boğulacağıq	boğulacaqsınız	-	-	-	-	boğularıq	boğularsınız	-	-	-	-
boşaltmaq	boşaldıram	boşaldırsan	boşaldır	boşaldırıq	boşaldırsınız	boşaldırlar	-	-	-	-	-	-	boşaldacağam	boşaldacaqsan	boşaldacaq	boşaldacağıq	boşaldacaqsınız	boşaldacaqlar	boşaldaram	boşaldarsan	boşaldar	boşaldarıq	boşaldarsınız	boşaldarlar	-	boşaldalım	-
bulmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	bulacağıq	bulacaqsınız	-	-	-	-	bularıq	bularsınız	-	-	-	-
bulunmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	bulunacağıq	bulunacaqsınız	-	-	-	-	bulunarıq	bulunarsınız	-	-	-	-
burmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	buracağıq	buracaqsınız	-	-	-	-	burarıq	burarsınız	-	-	-	-
burxutmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	burxutacağıq	burxutacaqsınız	-	-	-	-	burxutarıq	burxutarsınız	-	-	-	-
buyurmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	buyuracağıq	buyuracaqsınız	-	-	-	-	buyurarıq	buyurarsınız	-	-	-	-
buyurtmaq	buyurtıram	buyurtırsan	buyurtır	buyurtırıq	buyurtırsınız	buyurtırlar	buyurtdım	buyurtdın	buyurtdı	buyurtdıq	buyurtdınız	buyurtdılar	-	-	-	buyurtacağıq	buyurtacaqsınız	-	-	-	-	buyurtarıq	buyurtarsınız	-	-	buyurtalım	-
bölmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	böləcəyik	böləcəksiniz	-	-	-	-	bölərik	bölərsiniz	-	-	-	-
bölünmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	bölünəcəyik	bölünəcəksiniz	-	-	-	-	bölünərik	bölünərsiniz	-	-	-	-
bölüşmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	bölüşəcəyik	bölüşəcəksiniz	-	-	-	-	bölüşərik	bölüşərsiniz	-	-	-	-
böyümək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	böyüyəcəyik	böyüyəcəksiniz	-	-	-	-	böyüyərik	böyüyərsiniz	-	-	-	-
böyürmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	böyürəcəyik	böyürəcəksiniz	-	-	-	-	böyürərik	böyürərsiniz	-	-	-	-
böyütmək	böyüdürəm	böyüdürsən	böyüdür	böyüdürük	böyüdürsünüz	böyüdürlər	-	-	-	-	-	-	böyüdəcəyəm	böyüdəcəksən	böyüdəcək	böyüdəcəyik	böyüdəcəksiniz	böyüdəcəklər	böyüdərəm	böyüdərsən	böyüdər	böyüdərik	böyüdərsiniz	böyüdərlər	-	böyüdün	-
bükmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	bükəcəyik	bükəcəksiniz	-	-	-	-	bükərik	bükərsiniz	-	-	-	-
bürümək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	bürüyəcəyik	bürüyəcəksiniz	-	-	-	-	bürüyərik	bürüyərsiniz	-	-	-	-
bürünmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	bürünəcəyik	bürünəcəksiniz	-	-	-	-	bürünərik	bürünərsiniz	-	-	-	-
bürüşmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	bürüşəcəyik	bürüşəcəksiniz	-	-	-	-	bürüşərik	bürüşərsiniz	-	-	-	-
bərkitmək	bərkidirəm	bərkidirsən	bərkidir	bərkidirik	bərkidirsiniz	bərkidirlər	-	-	-	-	-	-	bərkidəcəyəm	bərkidəcəksən	bərkidəcək	bərkidəcəyik	bərkidəcəksiniz	bərkidəcəklər	bərkidərəm	bərkidərsən	bərkidər	bərkidərik	bərkidərsiniz	bərkidərlər	-	bərkidin	-
bəzəmək	bəzəyrm	bəzəyrsn	bəzəyr	bəzəyr	bəzəyrsnz	bəzəyrlr	bəzədm	bəzədn	bəzəd	bəzəd	bəzədnz	bəzədlr	bəzəycm	bəzəycsn	bəzəyc	bəzəyc	bəzəycsnz	bəzəyclr	bəzəyrm	bəzəyrsn	bəzəyr	bəzəyr	bəzəyrsnz	bəzəyrlr	-	bəzəsnlr	bəzəm
coşmaq	coşıram	coşırsan	coşır	coşırıq	coşırsınız	coşırlar	coşdım	coşdın	coşdı	coşdıq	coşdınız	coşdılar	-	-	-	coşacağıq	coşacaqsınız	-	-	-	-	coşarıq	coşarsınız	-	-	coşalım	-
dağıtmaq	dağıdıram	dağıdırsan	dağıdır	dağıdırıq	dağıdırsınız	dağıdırlar	-	-	-	-	-	-	dağıdacağam	dağıdacaqsan	dağıdacaq	dağıdacağıq	dağıdacaqsınız	dağıdacaqlar	dağıdaram	dağıdarsan	dağıdar	dağıdarıq	dağıdarsınız	dağıdarlar	-	dağıdalım	-
diriltmək	dirildirəm	dirildirsən	dirildir	dirildirik	dirildirsiniz	dirildirlər	-	-	-	-	-	-	dirildəcəyəm	dirildəcəksən	dirildəcək	dirildəcəyik	dirildəcəksiniz	dirildəcəklər	dirildərəm	dirildərsən	dirildər	dirildərik	dirildərsiniz	dirildərlər	-	dirildin	-
doldurmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	dolduracağıq	dolduracaqsınız	-	-	-	-	doldurarıq	doldurarsınız	-	-	-	-
dolmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	dolacağıq	dolacaqsınız	-	-	-	-	dolarıq	dolarsınız	-	-	-	-
dondurmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	donduracağıq	donduracaqsınız	-	-	-	-	dondurarıq	dondurarsınız	-	-	-	-
donmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	donacağıq	donacaqsınız	-	-	-	-	donarıq	donarsınız	-	-	-	-
doydurmaq	doydurıram	doydurırsan	doydurır	doydurırıq	doydurırsınız	doydurırlar	doydurdım	doydurdın	doydurdı	doydurdıq	doydurdınız	doydurdılar	-	-	-	doyduracağıq	doyduracaqsınız	-	-	-	-	doydurarıq	doydurarsınız	-	-	doyduralım	-
doymaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	doyacağıq	doyacaqsınız	-	-	-	-	doyarıq	doyarsınız	-	-	-	-
doyurmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	doyuracağıq	doyuracaqsınız	-	-	-	-	doyurarıq	doyurarsınız	-	-	-	-
doğmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	doğacağıq	doğacaqsınız	-	-	-	-	doğarıq	doğarsınız	-	-	-	-
doğrultmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	doğrultacağıq	doğrultacaqsınız	-	-	-	-	doğrultarıq	doğrultarsınız	-	-	-	-
doğulmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	doğulacağıq	doğulacaqsınız	-	-	-	-	doğularıq	doğularsınız	-	-	-	-
doğurmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	doğuracağıq	doğuracaqsınız	-	-	-	-	doğurarıq	doğurarsınız	-	-	-	-
durdurmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	durduracağıq	durduracaqsınız	-	-	-	-	durdurarıq	durdurarsınız	-	-	-	-
durmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	duracağıq	duracaqsınız	-	-	-	-	durarıq	durarsınız	-	-	-	-
durultmaq	durulduram	duruldursan	duruldur	durulduruq	duruldursunuz	duruldurlar	-	-	-	-	-	-	duruldacağam	duruldacaqsan	duruldacaq	duruldacağıq	duruldacaqsınız	duruldacaqlar	duruldaram	duruldarsan	duruldar	duruldarıq	duruldarsınız	duruldarlar	-	duruldalım	-
duruxmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	duruxacağıq	duruxacaqsınız	-	-	-	-	duruxarıq	duruxarsınız	-	-	-	-
durğuzmaq	durğuzirəm	durğuzirsən	durğuzir	durğuzirik	durğuzirsiniz	durğuzirlər	durğuzdim	durğuzdin	durğuzdi	durğuzdik	durğuzdiniz	durğuzdilər	durğuzəcəyəm	durğuzəcəksən	durğuzəcək	durğuzəcəyik	durğuzəcəksiniz	durğuzəcəklər	durğuzərəm	durğuzərsən	durğuzər	durğuzərik	durğuzərsiniz	durğuzərlər	-	durğuzin	durğuzmək
duymaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	duyacağıq	duyacaqsınız	-	-	-	-	duyarıq	duyarsınız	-	-	-	-
dönmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	dönəcəyik	dönəcəksiniz	-	-	-	-	dönərik	dönərsiniz	-	-	-	-
