# lemma(infinitive)	V;PRS;1;SG	V;PRS;2;SG	V;PRS;3;SG	V;PRS;1;PL	V;PRS;2;PL	V;PRS;3;PL	V;FUT;1;SG	V;FUT;2;SG	V;FUT;3;SG	V;FUT;1;PL	V;FUT;2;PL	V;FUT;3;PL	V;PST;SG;MASC	V;PST;SG;FEM	V;PST;SG;NEUT	V;PST;PL	V;IMP;2;SG	V;IMP;2;PL  ("-" = productive default)
аб'явіць	-	-	-	-	-	-	аб'яўлю	-	-	-	-	-	-	-	-	-	-	-
абагаціць	-	-	-	-	-	-	абагачу	-	-	-	-	-	-	-	-	-	-	-
абараніць	-	-	-	-	-	-	-	абароніш	абароніць	абаронім	абароніце	абароняць	-	-	-	-	-	-
абарачацца	абарачаюся	абарачаешся	абарачаецца	абарачаемся	абарачаецеся	абарачаюцца	-	-	-	-	-	-	абарачаўся	абарачалася	абарачалася	абарачаліся	абарачайся	абарачайцеся
абвозіць	абвожу	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	абвозь	абвозьце
абвінаваціць	-	-	-	-	-	-	абвінавачу	-	-	-	-	-	-	-	-	-	абвінаваць	абвінавацьце
абгаварыць	-	-	-	-	-	-	-	абгаворыш	абгаворыць	абгаворым	абгаворыце	абгавораць	-	-	-	-	-	-
абмеркаваць	-	-	-	-	-	-	абмяркую	абмяркуеш	абмяркуе	абмяркуем	абмяркуеце	абмяркуюць	-	-	-	-	абмяркуй	абмяркуйце
абнавіць	-	-	-	-	-	-	абнаўлю	-	-	-	-	-	-	-	-	-	-	-
абносіць	абношу	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	абнось	абносьце
абразіць	-	-	-	-	-	-	абражу	-	-	-	-	-	-	-	-	-	абразь	абразьце
агледзець	-	-	-	-	-	-	агледжу	агледзіш	агледзіць	агледзім	агледзіце	агледзяць	-	-	-	-	агледзь	агледзьце
адбывацца	адбываюся	адбываешся	адбываецца	адбываемся	адбываецеся	адбываюцца	-	-	-	-	-	-	адбываўся	адбывалася	адбывалася	адбываліся	адбывайся	адбывайцеся
адбыцца	-	-	-	-	-	-	адбудуся	адбудзешся	адбудзецца	адбудземся	адбудзецеся	адбудуцца	адбыўся	адбылася	адбылося	адбыліся	адбудзься	адбудзьцеся
адгаварыць	-	-	-	-	-	-	-	адгаворыш	адгаворыць	адгаворым	адгаворыце	адгавораць	-	-	-	-	-	-
аддаваць	аддаю	аддаеш	аддае	аддаём	аддаяце	аддаюць	-	-	-	-	-	-	-	-	-	-	аддавай	аддавайце
аддаць	-	-	-	-	-	-	аддам	аддасі	аддасць	аддадзім	аддасце	аддадуць	-	-	аддало	-	-	-
адказаць	-	-	-	-	-	-	адкажу	адкажаш	адкажа	адкажам	адкажаце	адкажуць	-	-	-	-	адкажы	адкажыце
