# lemma(1sg.pres)	V;IND;PRS;1;SG	V;IND;PRS;2;SG	V;IND;PRS;3;SG	V;IND;PRS;1;PL	V;IND;PRS;2;PL	V;IND;PRS;3;PL	V;IND;PST;1;SG	V;IND;PST;2;SG	V;IND;PST;3;SG	V;IND;PST;1;PL	V;IND;PST;2;PL	V;IND;PST;3;PL	V;IND;PROG;PST;1;SG	V;IND;PROG;PST;2;SG	V;IND;PROG;PST;3;SG	V;IND;PROG;PST;1;PL	V;IND;PROG;PST;2;PL	V;IND;PROG;PST;3;PL	V;IMP;2;SG	V;IMP;2;PL	V.CVB	V.PTCP;ACT;PST;MASC;SG;INDF	V.PTCP;ACT;PST;FEM;SG;INDF	V.PTCP;ACT;PST;NEUT;SG;INDF	V.PTCP;ACT;PST;PL;INDF	V.PTCP;ACT;PST;NFH;MASC;SG;INDF	V.PTCP;ACT;PST;NFH;FEM;SG;INDF	V.PTCP;ACT;PST;NFH;NEUT;SG;INDF	V.PTCP;ACT;PST;NFH;PL;INDF	V.PTCP;ACT;PRS;MASC;SG;INDF	V.PTCP;ACT;PRS;FEM;SG;INDF	V.PTCP;ACT;PRS;NEUT;SG;INDF	V.PTCP;ACT;PRS;PL;INDF	V.PTCP;PASS;PST;MASC;SG;INDF	V.PTCP;PASS;PST;FEM;SG;INDF	V.PTCP;PASS;PST;NEUT;SG;INDF	V.PTCP;PASS;PST;PL;INDF	V.MSDR;NEUT;SG;INDF	V.MSDR;PL;INDF  ("-" = productive default)
-ирам	-	-	-	-	-	-	-ирах	-ира	-ира	-ирахме	-ирахте	-ираха	-ирах	-ираше	-ираше	-ирахме	-ирахте	-ираха	-ираи	-ираите	-ираики	-ирал	-ирала	-ирало	-ирали	-ирал	-ирала	-ирало	-ирали	-иращ	-ираща	-иращо	-иращи	-иран	-ирана	-ирано	-ирани	-иране	-иранета
абдикирам	-	-	-	-	-	-	абдикирах	абдикира	абдикира	абдикирахме	абдикирахте	абдикираха	абдикирах	абдикираше	абдикираше	абдикирахме	абдикирахте	абдикираха	абдикирай	абдикирайте	абдикирайки	абдикирал	абдикирала	абдикирало	абдикирали	абдикирал	абдикирала	абдикирало	абдикирали	абдикиращ	абдикираща	абдикиращо	абдикиращи	-	-	-	-	абдикиране	абдикирания-нета
абонирам	-	-	-	-	-	-	абонирах	абонира	абонира	абонирахме	абонирахте	абонираха	абонирах	абонираше	абонираше	абонирахме	абонирахте	абонираха	абонираи	абонираите	абонираики	абонирал	абонирала	абонирало	абонирали	абонирал	абонирала	абонирало	абонирали	абониращ	абонираща	абониращо	абониращи	абониран	абонирана	абонирано	абонирани	абониране	абониранета
абордирам	-	-	-	-	-	-	абордирах	абордира	абордира	абордирахме	абордирахте	абордираха	абордирах	абордираше	абордираше	абордирахме	абордирахте	абордираха	абордираи	абордираите	абордираики	абордирал	абордирала	абордирало	абордирали	абордирал	абордирала	абордирало	абордирали	абордиращ	абордираща	абордиращо	абордиращи	-	-	-	-	абордиране	абордиранета
абортирам	-	-	-	-	-	-	абортирах	абортира	абортира	абортирахме	абортирахте	абортираха	абортирах	абортираше	абортираше	абортирахме	абортирахте	абортираха	абортираи	абортираите	абортираики	абортирал	абортирала	абортирало	абортирали	абортирал	абортирала	абортирало	абортирали	абортиращ	абортираща	абортиращо	абортиращи	абортиран	абортирана	абортирано	абортирани	абортиране	абортиранета
абсолвирам	-	-	-	-	-	-	абсолвирах	абсолвира	абсолвира	абсолвирахме	абсолвирахте	абсолвираха	абсолвирах	абсолвираше	абсолвираше	абсолвирахме	абсолвирахте	абсолвираха	абсолвираи	абсолвираите	абсолвираики	абсолвирал	абсолвирала	абсолвирало	абсолвирали	абсолвирал	абсолвирала	абсолвирало	абсолвирали	абсолвиращ	абсолвираща	абсолвиращо	абсолвиращи	абсолвиран	абсолвирана	абсолвирано	абсолвирани	абсолвиране	абсолвиранета
абсолютизирам	-	-	-	-	-	-	абсолютизирах	абсолютизира	абсолютизира	абсолютизирахме	абсолютизирахте	абсолютизираха	абсолютизирах	абсолютизираше	абсолютизираше	абсолютизирахме	абсолютизирахте	абсолютизираха	абсолютизираи	абсолютизираите	абсолютизираики	абсолютизирал	абсолютизирала	абсолютизирало	абсолютизирали	абсолютизирал	абсолютизирала	абсолютизирало	абсолютизирали	абсолютизиращ	абсолютизираща	абсолютизиращо	абсолютизиращи	абсолютизиран	абсолютизирана	абсолютизирано	абсолютизирани	абсолютизиране	абсолютизиранета
абсорбирам	-	-	-	-	-	-	абсорбирах	абсорбира	абсорбира	абсорбирахме	абсорбирахте	абсорбираха	абсорбирах	абсорбираше	абсорбираше	абсорбирахме	абсорбирахте	абсорбираха	абсорбирай	абсорбирайте	абсорбирайки	абсорбирал	абсорбирала	абсорбирало	абсорбирали	абсорбирал	абсорбирала	абсорбирало	абсорбирали	абсорбиращ	абсорбираща	абсорбиращо	абсорбиращи	абсорбиран	абсорбирана	абсорбирано	абсорбирани	абсорбиране	абсорбирания-нета
абстрахирам	-	-	-	-	-	-	абстрахирах	абстрахира	абстрахира	абстрахирахме	абстрахирахте	абстрахираха	абстрахирах	абстрахираше	абстрахираше	абстрахирахме	абстрахирахте	абстрахираха	абстрахираи	абстрахираите	абстрахираики	абстрахирал	абстрахирала	абстрахирало	абстрахирали	абстрахирал	абстрахирала	абстрахирало	абстрахирали	абстрахиращ	абстрахираща	абстрахиращо	абстрахиращи	абстрахиран	абстрахирана	абстрахирано	абстрахирани	абстрахиране	абстрахиранета
авансирам	-	-	-	-	-	-	авансирах	авансира	авансира	авансирахме	авансирахте	авансираха	авансирах	авансираше	авансираше	авансирахме	авансирахте	авансираха	авансирай	авансирайте	авансирайки	авансирал	авансирала	авансирало	авансирали	авансирал	авансирала	авансирало	авансирали	авансиращ	авансираща	авансиращо	авансиращи	авансиран	авансирана	авансирано	авансирани	авансиране	авансирания-нета
авансувам	-	-	-	-	-	-	авансувах	авансува	авансува	авансувахме	авансувахте	авансуваха	авансувах	авансуваше	авансуваше	авансувахме	авансувахте	авансуваха	авансуваи	авансуваите	авансуваики	авансувал	авансувала	авансувало	авансували	авансувал	авансувала	авансувало	авансували	авансуващ	авансуваща	авансуващо	авансуващи	авансуван	авансувана	авансувано	авансувани	авансуване	авансуванета
аварирам	-	-	-	-	-	-	аварирах	аварира	аварира	аварирахме	аварирахте	аварираха	аварирах	аварираше	аварираше	аварирахме	аварирахте	аварираха	аварираи	аварираите	аварираики	аварирал	аварирала	аварирало	аварирали	аварирал	аварирала	аварирало	аварирали	авариращ	аварираща	авариращо	авариращи	-	-	-	-	авариране	авариранета
авизирам	-	-	-	-	-	-	авизирах	авизира	авизира	авизирахме	авизирахте	авизираха	авизирах	авизираше	авизираше	авизирахме	авизирахте	авизираха	авизираи	авизираите	авизираики	авизирал	авизирала	авизирало	авизирали	авизирал	авизирала	авизирало	авизирали	авизиращ	авизираща	авизиращо	авизиращи	авизиран	авизирана	авизирано	авизирани	авизиране	авизиранета
автоматизирам	-	-	-	-	-	-	автоматизирах	автоматизира	автоматизира	автоматизирахме	автоматизирахте	автоматизираха	автоматизирах	автоматизираше	автоматизираше	автоматизирахме	автоматизирахте	автоматизираха	автоматизираи	автоматизираите	автоматизираики	автоматизирал	автоматизирала	автоматизирало	автоматизирали	автоматизирал	автоматизирала	автоматизирало	автоматизирали	автоматизиращ	автоматизираща	автоматизиращо	автоматизиращи	автоматизиран	автоматизирана	автоматизирано	автоматизирани	автоматизиране	автоматизиранета
авторизирам	-	-	-	-	-	-	авторизирах	авторизира	авторизира	авторизирахме	авторизирахте	авторизираха	авторизирах	авторизираше	авторизираше	авторизирахме	авторизирахте	авторизираха	авторизираи	авторизираите	авторизираики	авторизирал	авторизирала	авторизирало	авторизирали	авторизирал	авторизирала	авторизирало	авторизирали	авторизиращ	авторизираща	авторизиращо	авторизиращи	авторизиран	авторизирана	авторизирано	авторизирани	авторизиране	авторизиранета
агитирам	-	-	-	-	-	-	агитирах	агитира	агитира	агитирахме	агитирахте	агитираха	агитирах	агитираше	агитираше	агитирахме	агитирахте	агитираха	агитираи	агитираите	агитираики	агитирал	агитирала	агитирало	агитирали	агитирал	агитирала	агитирало	агитирали	агитиращ	агитираща	агитиращо	агитиращи	агитиран	агитирана	агитирано	агитирани	агитиране	агитиранета
агня	агня	агниш	агни	агним	агните	агнят	агних	агни	агни	агнихме	агнихте	агниха	агнех	агнеше	агнеше	агнехме	агнехте	агнеха	агни	агнете	агнеики	агнил	агнила	агнило	агнили	агнел	агнела	агнело	агнели	агнещ	агнеща	агнещо	агнещи	-	-	-	-	агнене	агненета
агонизирам	-	-	-	-	-	-	агонизирах	агонизира	агонизира	агонизирахме	агонизирахте	агонизираха	агонизирах	агонизираше	агонизираше	агонизирахме	агонизирахте	агонизираха	агонизираи	агонизираите	агонизираики	агонизирал	агонизирала	агонизирало	агонизирали	агонизирал	агонизирала	агонизирало	агонизирали	агонизиращ	агонизираща	агонизиращо	агонизиращи	-	-	-	-	агонизиране	агонизиранета
адаптирам	-	-	-	-	-	-	адаптирах	адаптира	адаптира	адаптирахме	адаптирахте	адаптираха	адаптирах	адаптираше	адаптираше	адаптирахме	адаптирахте	адаптираха	адаптираи	адаптираите	адаптираики	адаптирал	адаптирала	адаптирало	адаптирали	адаптирал	адаптирала	адаптирало	адаптирали	адаптиращ	адаптираща	адаптиращо	адаптиращи	адаптиран	адаптирана	адаптирано	адаптирани	адаптиране	адаптиранета
адвокатствам	-	-	-	-	-	-	адвокатствах	адвокатства	адвокатства	адвокатствахме	адвокатствахте	адвокатстваха	адвокатствах	адвокатстваше	адвокатстваше	адвокатствахме	адвокатствахте	адвокатстваха	адвокатстваи	адвокатстваите	адвокатстваики	адвокатствал	адвокатствала	адвокатствало	адвокатствали	адвокатствал	адвокатствала	адвокатствало	адвокатствали	адвокатстващ	адвокатстваща	адвокатстващо	адвокатстващи	-	-	-	-	адвокатстване	адвокатстванета
адвокатствувам	-	-	-	-	-	-	адвокатствувах	адвокатствува	адвокатствува	адвокатствувахме	адвокатствувахте	адвокатствуваха	адвокатствувах	адвокатствуваше	адвокатствуваше	адвокатствувахме	адвокатствувахте	адвокатствуваха	адвокатствуваи	адвокатствуваите	адвокатствуваики	адвокатствувал	адвокатствувала	адвокатствувало	адвокатствували	адвокатствувал	адвокатствувала	адвокатствувало	адвокатствували	адвокатствуващ	адвокатствуваща	адвокатствуващо	адвокатствуващи	-	-	-	-	адвокатствуване	адвокатствуванета
администрирам	-	-	-	-	-	-	администрирах	администрира	администрира	администрирахме	администрирахте	администрираха	администрирах	администрираше	администрираше	администрирахме	администрирахте	администрираха	администрираи	администрираите	администрираики	администрирал	администрирала	администрирало	администрирали	администрирал	администрирала	администрирало	администрирали	администриращ	администрираща	администриращо	администриращи	администриран	администрирана	администрирано	администрирани	администриране	администриранета
адмирирам	-	-	-	-	-	-	адмирирах	адмирира	адмирира	адмирирахме	адмирирахте	адмирираха	адмирирах	адмирираше	адмирираше	адмирирахме	адмирирахте	адмирираха	адмирираи	адмирираите	адмирираики	адмирирал	адмирирала	адмирирало	адмирирали	адмирирал	адмирирала	адмирирало	адмирирали	адмириращ	адмирираща	адмириращо	адмириращи	адмириран	адмирирана	адмирирано	адмирирани	адмириране	адмириранета
адресирам	-	-	-	-	-	-	адресирах	адресира	адресира	адресирахме	адресирахте	адресираха	адресирах	адресираше	адресираше	адресирахме	адресирахте	адресираха	адресирай	адресирайте	адресирайки	адресирал	адресирала	адресирало	адресирали	адресирал	адресирала	адресирало	адресирали	адресиращ	адресираща	адресиращо	адресиращи	адресиран	адресирана	адресирано	адресирани	адресиране	адресирания-нета
адресувам	-	-	-	-	-	-	адресувах	адресува	адресува	адресувахме	адресувахте	адресуваха	адресувах	адресуваше	адресуваше	адресувахме	адресувахте	адресуваха	адресуваи	адресуваите	адресуваики	адресувал	адресувала	адресувало	адресували	адресувал	адресувала	адресувало	адресували	адресуващ	адресуваща	адресуващо	адресуващи	адресуван	адресувана	адресувано	адресувани	адресуване	адресуванета
