# Catalan irregular verbs — mined from FreeLing gold. Base lemmas;
# prefixed derivatives match by suffix unless the base is exact (col 10).
# Regenerate: python3 scripts/cat/mine_verbs.py
# lemma	pres	impf	pret	subjpres	subjimpf	fut_stem	pp	ger	imp2	exact	ppf	imp2pl
abduir	abdueixo,abdueixes,abdueix,abduïm,abduïu,abdueixen	abduïa,abduïes,abduïa,abduíem,abduíeu,abduïen	abduí,abduïres,abduí,abduírem,abduíreu,abduïren	abdueixi,abdueixis,abdueixi,abduïm,abduïu,abdueixin	abduís,abduïssis,abduís,abduíssim,abduíssiu,abduïssin	abduir	abduït	abduint	abdueix	-	abduïda	abduïu
aboiar	aboio,aboies,aboia,aboiem,aboieu,aboien	aboiava,aboiaves,aboiava,aboiàvem,aboiàveu,aboiaven	aboí,aboiares,aboià,aboiàrem,aboiàreu,aboiaren	aboï,aboïs,aboï,aboiem,aboieu,aboïn	aboiés,aboiesses,aboiés,aboiéssem,aboiésseu,aboiessen	aboiar	aboiat	aboiant	aboia	-	aboiada	aboieu
absoldre	absolc,absols,absol,absolem,absoleu,absolen	absolia,absolies,absolia,absolíem,absolíeu,absolien	absolguí,absolgueres,absolgué,absolguérem,absolguéreu,absolgueren	absolgui,absolguis,absolgui,absolguem,absolgueu,absolguin	absolgués,absolguessis,absolgués,absolguéssim,absolguéssiu,absolguessin	absoldr	absolt	absolent	absol	1	absolta	absoleu
abstenir	abstinc,abstens,absté,abstenim,absteniu,abstenen	abstenia,abstenies,abstenia,absteníem,absteníeu,abstenien	abstinguí,abstingueres,abstingué,abstinguérem,abstinguéreu,abstingueren	abstingui,abstinguis,abstingui,abstinguem,abstingueu,abstinguin	abstingués,abstinguesses,abstingués,abstinguéssem,abstinguésseu,abstinguessen	abstindr	abstingut	abstenint	abstingues	-	abstinguda	absteniu
abstergir	abstergeixo,abstergeixes,abstergeix,abstergim,abstergiu,abstergeixen	abstergia,abstergies,abstergia,abstergíem,abstergíeu,abstergien	abstergí,abstergires,abstergí,abstergírem,abstergíreu,abstergiren	abstergeixi,abstergeixis,abstergeixi,abstergim,abstergiu,abstergeixin	abstergís,abstergisses,abstergís,abstergíssem,abstergísseu,abstergissen	abstergir	abstergit	abstergint	abstergeix	-	abstergida	abstergiu
abstreure	abstrac,abstraus,abstrau,abstraiem,abstraieu,abstrauen	abstreia,abstreies,abstreia,abstrèiem,abstrèieu,abstreien	abstraguí,abstragueres,abstragué,abstraguérem,abstraguéreu,abstragueren	abstregui,abstreguis,abstregui,abstraguem,abstragueu,abstreguin	abstragués,abstraguessis,abstragués,abstraguéssim,abstraguéssiu,abstraguessin	abstraur	abstret	abstraient	abstrau	-	abstreta	abstraieu
aclameir	aclameeixo,aclameeixes,aclameeix,aclameïm,aclameïu,aclameeixen	aclameïa,aclameïes,aclameïa,aclameíem,aclameíeu,aclameïen	aclameí,aclameïres,aclameí,aclameírem,aclameíreu,aclameïren	aclameeixi,aclameeixis,aclameeixi,aclameïm,aclameïu,aclameeixin	aclameís,aclameïsses,aclameís,aclameíssem,aclameísseu,aclameïssen	aclameir	aclameït	aclameint	aclameeix	-	aclameïda	aclameïu
acollir	acullo,aculls,acull,acollim,acolliu,acullen	acollia,acollies,acollia,acollíem,acollíeu,acollien	acollí,acollires,acollí,acollírem,acollíreu,acolliren	aculli,acullis,aculli,acollim,acolliu,acullin	acollís,acollissis,acollís,acollíssim,acollíssiu,acollissin	acollir	acollit	acollint	acull	1	acollida	acolliu
acomboiar	acomboio,acomboies,acomboia,acomboiem,acomboieu,acomboien	acomboiava,acomboiaves,acomboiava,acomboiàvem,acomboiàveu,acomboiaven	acomboí,acomboiares,acomboià,acomboiàrem,acomboiàreu,acomboiaren	acomboï,acomboïs,acomboï,acomboiem,acomboieu,acomboïn	acomboiés,acomboiesses,acomboiés,acomboiéssem,acomboiésseu,acomboiessen	acomboiar	acomboiat	acomboiant	acomboia	-	acomboiada	acomboieu
acomplir	acompleixo,acompleixes,acompleix,acomplim,acompliu,acompleixen	acomplia,acomplies,acomplia,acomplíem,acomplíeu,acomplien	acomplí,acomplires,acomplí,acomplírem,acomplíreu,acompliren	acompleixi,acompleixis,acompleixi,acomplim,acompliu,acompleixin	acomplís,acomplissis,acomplís,acomplíssim,acomplíssiu,acomplissin	acomplir	acomplert	acomplint	acompleix	-	acomplerta	acompliu
