# lemma	class (uje a i et-i et-eji ne)
archivařit	i
babičkovatět	et-i
babkovatět	et-i
bachratět	et-i
bacit	i
baculatět	et-i
bafuňařit	i
bafčit	i
bahnit	i
balamutit	i
baletit	i
balit	i
barvit	i
batolit	i
bačkorovatět	et-i
bařtipánovatět	et-i
baštit	i
bažit	i
bednit	i
bejčit	i
beranit	i
bečet	et-i
bicanovatět	et-i
blahobytnět	et-i
blahořečit	i
blažit	i
bloudit	i
blouznit	i
blyštět	et-i
blábolit	i
blátovatět	et-i
bláznit	i
blížit	i
blýštět	et-i
bohatit	i
bolavět	et-i
bolet	et-i
bortit	i
boulit	i
bouřit	i
bořit	i
bratřit	i
brebentit	i
brejlit	i
brečet	et-i
brigádničit	i
brnčet	et-i
brnět	et-i
brodit	i
brojit	i
brousit	i
brunátnět	et-i
bruslit	i
bručet	et-i
brzdit	i
bránit	i
brázdit	i
bubřet	et-i
buchtovatět	et-i
budit	i
bujet	et-i
bujnět	et-i
buldočit	i
bulit	i
burácet	et-i
burčet	et-i
bučet	et-i
bušit	i
bydlet	et-i
bystřit	i
bytnět	et-i
bzučet	et-i
bájit	i
bánit	i
básnit	i
bílit	i
býčit	i
bělet	et-i
bělit	i
běsnit	i
běžet	et-i
běžkařit	i
břichatět	et-i
břinčet	et-i
břáňat	a
břídit	i
cedit	i
cejtit	i
cenit	i
cepenět	et-i
chalupařit	i
chamtit	i
chatařit	i
chladit	i
chlácholit	i
chmelařit	i
chmelit	i
chmuřit	i
chodit	i
choulit	i
choulostivět	et-i
chovat	a
chořet	et-i
chrapotit	i
chraptět	et-i
chrastit	i
chrlit	i
chrnout	ne
chrnět	et-i
chroptět	et-i
chruchňat	a
chrudit	i
chránit	i
chrčet	et-i
chumelit	i
churavět	et-i
chvalořečit	i
chválit	i
chybět	et-i
chytit	i
chytračit	i
chýlit	i
chřastit	i
chřestit	i
cigánit	i
cikánit	i
civět	et-i
cizoložit	i
cizopasit	i
clonit	i
cmuchtit	i
cmudit	i
crčet	et-i
cuckovatět	et-i
cukernatět	et-i
cukrovatět	et-i
culit	i
cvičit	i
cvokatět	et-i
cvrčet	et-i
cyklit	i
cásnout	ne
cídit	i
cílit	i
cítit	i
danit	i
darebačit	i
dařit	i
delšit	i
diskotančit	i
divočet	et-i
dloužit	i
dlužit	i
dláždit	i
dobalit	i
dobarvit	i
dobatolit	i
dobečet	et-i
dobolet	et-i
dobouřit	i
dobrečet	et-i
dobrigádničit	i
dobrodit	i
dobrousit	i
dobrořečit	i
dobruslit	i
dobručet	et-i
dobrzdit	i
dobránit	i
dobrázdit	i
doburácet	et-i
dobučet	et-i
dobušit	i
dobzučet	et-i
dobásnit	i
dobíjet	et-i
dobílit	i
docedit	i
docelit	i
docenit	i
dochladit	i
dochlácholit	i
dochmelařit	i
dochodit	i
dochovat	a
dochrastit	i
dochroptět	et-i
dochránit	i
dochrčet	et-i
dochuravět	et-i
dochutit	i
dochytračit	i
docházet	et-i
dochřestit	i
docikánit	i
docizoložit	i
docvičit	i
docyklit	i
docílit	i
docítit	i
dodanit	i
dodláždit	i
dodrmolit	i
dodrnčet	et-i
dodráždit	i
dodržet	et-i
dodunět	et-i
dodusit	i
dodělit	i
dofandit	i
dofarmařit	i
dofotit	i
dofrajeřit	i
dofrčet	et-i
dofunkcionařit	i
dofunět	et-i
dofučet	et-i
doharašit	i
dohartusit	i
dohasit	i
dohihňat	a
dohladit	i
dohlaholit	i
dohloubit	i
dohlučet	et-i
dohlásit	i
dohlížet	et-i
dohmoždit	i
dohnojit	i
dohodit	i
doholit	i
doholubařit	i
dohonit	i
dohospodařit	i
dohovořit	i
dohořet	et-i
dohrnout	ne
dohrčet	et-i
dohulit	i
dohustit	i
dohučet	et-i
dohánět	et-i
doházet	et-i
dohřmět	et-i
dojasnit	i
dojednotit	i
dojezdit	i
doječet	et-i
dojiskřit	i
dojit	i
dojíždět	et-i
dokadit	i
dokamarádit	i
dokeťasit	i
doklidit	i
doklohnit	i
doklovat	a
doklátit	i
doklížit	i
dokojit	i
dokončit	i
dokoulet	et-i
dokoupit	i
dokouzlit	i
dokouřit	i
dokovat	a
dokoňařit	i
dokořenit	i
dokramařit	i
dokreslit	i
dokrojit	i
dokroutit	i
dokroužit	i
dokročit	i
dokrvácet	et-i
dokrájet	et-i
dokrátit	i
dokráčet	et-i
dokuchařit	i
dokuchtit	i
dokulit	i
dokurvit	i
dokutálet	et-i
dokvasit	i
dokvačit	i
dokvičet	et-i
dokvášet	et-i
dokvílet	et-i
dokynout	ne
dokypřit	i
dokyselit	i
dokácet	et-i
dokňučet	et-i
dokřepčit	i
dokřičet	et-i
doladit	i
dolanařit	i
dolenošit	i
dolesnit	i
doletnit	i
doletět	et-i
doleštit	i
dolichvařit	i
doloudit	i
doložit	i
doluštit	i
dolyžařit	i
doláteřit	i
doléčit	i
dolíčit	i
domarodit	i
domastit	i
domedit	i
domejšlet	et-i
domečet	et-i
domladit	i
domlynařit	i
domlátit	i
domlčet	et-i
domnožit	i
domodlit	i
domočit	i
domručet	et-i
domršit	i
domuškařit	i
domyslit	i
domířit	i
domýtit	i
domýšlet	et-i
doměnit	i
doměřit	i
donosit	i
donutit	i
donášet	et-i
doobjasnit	i
doobložit	i
doobsadit	i
doobtáčet	et-i
doodkalit	i
doostřit	i
doosídlit	i
dootáčet	et-i
doozvučit	i
dopachtit	i
dopanikařit	i
doparádit	i
dopařit	i
dopelášit	i
dopepřit	i
dopečetit	i
doplachtit	i
doplahočit	i
doplatit	i
doplenit	i
doplnit	i
doploužit	i
doplužit	i
doplynout	ne
doplácet	et-i
doplížit	i
dopodplácet	et-i
dopodvracet	et-i
dopolitikařit	i
doporučit	i
doporážet	et-i
dopotit	i
dopotácet	et-i
dopouzdřit	i
dopouštět	et-i
doprasit	i
doprdět	et-i
doprosit	i
doprotiřečit	i
doproutkařit	i
doprovodit	i
doprovázet	et-i
dopružit	i
doprýštit	i
dopustit	i
dopádit	i
dopájet	et-i
dopálit	i
dopídit	i
dopíjet	et-i
dopředplácet	et-i
dopřeložit	i
dopřemýšlet	et-i
dopřesnit	i
dopřetáčet	et-i
dopříštipkařit	i
dorachotit	i
doradit	i
dorandit	i
dorazit	i
dorevolucionařit	i
dorozdělit	i
dorozhraničit	i
dorozprávět	et-i
dorozumět	et-i
dorozvracet	et-i
dorozvádět	et-i
doručit	i
dorušit	i
dorybařit	i
doryčet	et-i
dorážet	et-i
dosadit	i
doseřídit	i
doskotačit	i
doskočit	i
doskučet	et-i
dosladit	i
dosloužit	i
doslzet	et-i
dosmažit	i
dosmolit	i
dosmrdět	et-i
dosmáčet	et-i
dosmýčit	i
dosnažit	i
dosněžit	i
dosolit	i
dosoudit	i
dosouložit	i
dosoupeřit	i
dosousedit	i
dosoustružit	i
dosoušet	et-i
dosplavnit	i
dospořit	i
dospájet	et-i
dostavět	et-i
dostačit	i
dostopařit	i
dostoupit	i
dostrašit	i
dostrojit	i
dostrčit	i
dostřelit	i
dostřílet	et-i
dosunout	ne
dosupět	et-i
dosušit	i
dosvačit	i
dosvištět	et-i
dosvítit	i
dosvědčit	i
dosvětlit	i
dosytit	i
dosyčet	et-i
dosázet	et-i
dosídlit	i
dotančit	i
dotaxikařit	i
dotaxíkařit	i
dotlačit	i
dotlumočit	i
dotláčet	et-i
dotočit	i
dotrmácet	et-i
dotrousit	i
dotroškařit	i
dotrpět	et-i
dotruhlařit	i
dotrápit	i
dotvořit	i
dotvrdit	i
dotvářet	et-i
dotábořit	i
dotápět	et-i
dotáčet	et-i
dotěsnit	i
dotěžit	i
dotřeštit	i
dotřídit	i
doudit	i
doudílet	et-i
douhradit	i
douklidit	i
douložit	i
doupřesnit	i
dousnášet	et-i
douspokojit	i
doučinit	i
doučit	i
dovagabundit	i
dovalit	i
dovařit	i
dovelet	et-i
dovečeřet	et-i
dovinařit	i
dovinout	ne
dovladařit	i
dovlažit	i
dovláčet	et-i
dovodit	i
dovolit	i
dovonět	et-i
dovorařit	i
dovotáčet	et-i
dovplácet	et-i
dovraždit	i
dovrstvit	i
dovrtit	i
dovrčet	et-i
dovršit	i
dovtipkařit	i
dovtípit	i
dovyjasnit	i
dovyklidit	i
dovyměnit	i
dovyplatit	i
dovyplnit	i
dovypodložit	i
dovyprávět	et-i
dovytvářet	et-i
dovyvinout	ne
dovyzvánět	et-i
dovyčistit	i
dovyšetřit	i
dovzdušnit	i
dovádět	et-i
doválčit	i
dovářet	et-i
dovážet	et-i
dovážit	i
dovíjet	et-i
dovčelařit	i
dověsit	i
dověšet	et-i
dozachovat	a
dozahájit	i
dozajistit	i
dozakrápět	et-i
dozaplatit	i
dozačlenit	i
dozbrojit	i
dozelenit	i
dozemnit	i
dozkoušet	et-i
dozlatit	i
dozměnit	i
doznačit	i
dozrušit	i
doztížit	i
dozuřit	i
dozvonit	i
dozápasit	i
dozávodit	i
dozářit	i
dozřídit	i
doúchylkařit	i
doúderničit	i
doúhořit	i
doúplatkařit	i
doúpět	et-i
doústupkařit	i
doútočit	i
doúvodníkařit	i
doúčastnit	i
doúředničit	i
dočernit	i
dočinit	i
dočistit	i
dočmoudit	i
dočmudit	i
dočumět	et-i
dořadit	i
doředit	i
dořepařit	i
dořezbařit	i
dořečnit	i
dořeřavět	et-i
dořešit	i
dořinčet	et-i
dořídit	i
došeredit	i
došetřit	i
došinout	ne
došišatit	i
doškolit	i
doškolkařit	i
doškolničit	i
doškorpit	i
doškotit	i
doškrtit	i
doškvařit	i
doškvířit	i
došlechtit	i
došmelinařit	i
došmrdolit	i
došmírařit	i
došpejlit	i
došpinit	i
došprýmařit	i
došrotit	i
došumařit	i
došumět	et-i
došveholit	i
došvitořit	i
dožebračit	i
dožehlit	i
doživořit	i
dožlutit	i
dožnout	ne
dožulit	i
dožvanit	i
drandit	i
dražit	i
dredovatět	et-i
drmolit	i
drnčet	et-i
drolit	i
drožkařit	i
drsnět	et-i
drtit	i
družit	i
dráždit	i
drčet	et-i
držet	et-i
duchařit	i
dunět	et-i
durdit	i
dusit	i
duřet	et-i
dužnatět	et-i
dvojit	i
dvořit	i
dychtit	i
dávit	i
dýmit	i
dědit	i
dědkovatět	et-i
dělit	i
děravět	et-i
děsit	i
dětinštět	et-i
dřepět	et-i
dřevnatět	et-i
dřevoobrábět	et-i
dřevěnět	et-i
fachčit	i
fandit	i
farmařit	i
fasit	i
fialovět	et-i
fintit	i
firnovatět	et-i
fičet	et-i
flekovatět	et-i
fotit	i
fotosázet	et-i
fotrovatět	et-i
frajeřit	i
frfňat	a
frnět	et-i
frčet	et-i
funkcionařit	i
funět	et-i
fučet	et-i
gelovatět	et-i
grafičit	i
grossovatět	et-i
gumovatět	et-i
hajnout	ne
halasit	i
halit	i
hamonit	i
hamounit	i
hanbit	i
hanět	et-i
harašit	i
hartusit	i
hasit	i
hatit	i
havlovatět	et-i
hašteřit	i
hemžit	i
hihňat	a
hladit	i
hladovět	et-i
hlaholit	i
hlaváčkovatět	et-i
hledět	et-i
hlenovatět	et-i
hlomozit	i
hloubit	i
hloučit	i
hlučet	et-i
hlásit	i
hmoždit	i
hniličet	et-i
hnojit	i
hnout	ne
hnusit	i
hnízdit	i
hodit	i
hodnotit	i
hojit	i
holit	i
holubařit	i
homolkovatět	et-i
honit	i
honosit	i
horlit	i
horšit	i
hospodařit	i
hostit	i
houbařit	i
houbovatět	et-i
hovořit	i
hovět	et-i
hořet	et-i
hradit	i
hranit	i
hraničit	i
hrbatit	i
hrbolatit	i
hrdlit	i
hrnout	ne
hrnčet	et-i
hromadit	i
hrotit	i
hroutit	i
hroužit	i
hrozit	i
hrudkovatět	et-i
hrčet	et-i
hubenět	et-i
hudlařit	i
huhňat	a
hulit	i
hustit	i
hutnit	i
hutnět	et-i
hučet	et-i
hvozdit	i
hynout	ne
hysterčit	i
hyzdit	i
hájit	i
házet	et-i
hýřit	i
hňahňat	a
hřešit	i
hřmotit	i
hřmět	et-i
hřížit	i
