# lemma	p1sg	p2sg	p3sg	p1pl	p2pl	p3pl	imp2sg	imp1pl	imp2pl	lptcp	passptcp	cvb-m	cvb-fn ("-" = derive)
archivařit	-	-	-	-	-	-	-	-	-	-	-	archivaře	-	-
babičkovatět	-	-	-	-	-	-	babičkovatěj	babičkovatějme	babičkovatějte	-	babičkovatěn	babičkovatěje	babičkovatějíc	-
babkovatět	-	-	-	-	-	-	babkovatěj	babkovatějme	babkovatějte	-	babkovatěn	babkovatěje	babkovatějíc	-
bachratět	-	-	-	-	-	bachratí	bachrať	bachraťme	bachraťte	-	-	bachratě	bachratíc	-
bacit	-	-	-	-	-	-	-	-	-	-	-	bace	-	-
baculatět	-	-	-	-	-	-	baculatěj	baculatějme	baculatějte	-	baculatěn	baculatěje	baculatějíc	-
bafuňařit	-	-	-	-	-	-	-	-	-	-	-	bafuňaře	-	-
bafčit	-	-	-	-	-	-	bafči	bafčeme	bafčete	-	-	-	-	-
bahnit	-	-	-	-	-	-	bahni	bahněme	bahněte	-	bahněn	-	-	-
balamutit	-	-	-	-	-	-	balamuť	balamuťme	balamuťte	-	balamucen	-	-
baletit	-	-	-	-	-	-	baleť	baleťme	baleťte	-	balecen	-	-	-
balit	-	-	-	-	-	-	-	-	-	-	-	bale	-
barvit	-	-	-	-	-	-	barvi	barvěme	barvěte	-	-	-	-
batolit	-	-	-	-	-	-	-	-	-	-	-	batole	-	-
bačkorovatět	-	-	-	-	-	-	bačkorovatěj	bačkorovatějme	bačkorovatějte	-	bačkorovatěn	bačkorovatěje	bačkorovatějíc	-
bařtipánovatět	-	-	-	-	-	-	bařtipánovatěj	bařtipánovatějme	bařtipánovatějte	-	bařtipánovatěn	bařtipánovatěje	bařtipánovatějíc	-
baštit	-	-	-	-	-	-	bašti	baštěme	baštěte	-	baštěn	-	-
bažit	-	-	-	-	-	-	-	-	-	-	-	baže	-
bdít	bdím	bdíš	bdí	bdíme	bdíte	bdí	bdi	bděme	bděte	bděl	bděn	bdě	bdíc
bednit	-	-	-	-	-	-	bedni	bedněme	bedněte	-	bedněn	-	-	-
bejčit	-	-	-	-	-	-	bejči	bejčeme	bejčete	-	-	bejče	-	-
beranit	-	-	-	-	-	-	beraň	beraňme	beraňte	-	beraněn	-	-	-
bečet	-	-	-	-	-	bečí	beč	bečme	bečte	-	-	beče	bečíc
bicanovatět	-	-	-	-	-	-	bicanovatěj	bicanovatějme	bicanovatějte	-	bicanovatěn	bicanovatěje	bicanovatějíc	-
blahobytnět	-	-	-	-	-	-	-	-	-	-	blahobytněn	blahobytněje	blahobytnějíc	-
blahopřát	blahopřeji	blahopřeješ	blahopřeje	blahopřejeme	blahopřejete	blahopřejou	blahopřej	blahopřejme	blahopřejte	-	blahopřán	-	-	-
blahořečit	-	-	-	-	-	-	-	-	-	-	-	blahořeče	-
blažit	-	-	-	-	-	-	-	-	-	-	-	blaže	-	-
bloudit	-	-	-	-	-	-	bloudi	blouděme	blouděte	-	blouděn	-	-	-
blouznit	-	-	-	-	-	-	blouzni	blouzněme	blouzněte	-	blouzněn	-	-	-
blyštět	-	-	-	-	-	blyští	blyšti	blyštěme	blyštěte	-	blyštěn	blyště	blyštíc	-
blábolit	-	-	-	-	-	-	-	-	-	-	-	blábole	-	-
blátovatět	-	-	-	-	-	-	blátovatěj	blátovatějme	blátovatějte	-	blátovatěn	blátovatěje	blátovatějíc	-
bláznit	-	-	-	-	-	-	blázni	blázněme	blázněte	-	blázněn	-	-
blít	bliji	bliješ	blije	blijeme	blijete	blijou	blij	blijme	blijte	blil	blit	blije	blijíc	-
blížit	-	-	-	-	-	-	bliž	bližme	bližte	-	-	blíže	-
blýštět	-	-	-	-	-	blýští	blýšti	blýštěme	blýštěte	-	blýštěn	blýště	blýštíc	-
bohatit	-	-	-	-	-	-	bohať	bohaťme	bohaťte	-	bohacen	-	-	-
bolavět	-	-	-	-	-	-	bolavěj	bolavějme	bolavějte	-	bolavěn	bolavěje	bolavějíc	-
bolet	-	-	-	-	-	bolejí	bol	bolme	bolte	-	-	bole	bolíc
bortit	-	-	-	-	-	-	borti	bortěme	bortěte	-	borcen	-	-	-
boulit	-	-	-	-	-	-	-	-	-	-	-	boule	-	-
bouřit	-	-	-	-	-	-	bouři	bouřeme	bouřete	-	-	bouře	-
bořit	-	-	-	-	-	-	-	-	-	-	-	boře	-
bratřit	-	-	-	-	-	-	bratři	bratřeme	bratřete	-	-	bratře	-	-
brebentit	-	-	-	-	-	-	-	-	-	-	brebentěn	-	-	-
brejlit	-	-	-	-	-	-	brejli	brejleme	brejlete	-	-	brejle	-	-
