# lemma	auxiliary (har | er | er/har), mined from kaikki head templates
abe	har
abonnere	har
accentuere	har
acceptere	har
addere	har
adlyde	har
adressere	har
advare	har
afbryde	har
afhente	har
afholde	har
afklæde	har
aflive	har
afmærke	har
afspille	har
afvikle	har
afæske	har
akkumulere	er/har
anbefale	har
ane	har
ankre	har
anse	har
antyde	har
arre	har
arve	er/har
ase	har
avancere	er/har
babysitte	har
bade	har
bakse	har
barsle	har
batte	har
bebude	har
bedare	har
bedåre	har
behage	har
bejle	har
bekæmpe	har
beskytte	har
besudle	har
besøge	har
betinge	har
betvivle	har
betyde	har
bevare	har
bevillige	har
bide	har
bjæffe	har
blande	har
blegne	har
blinke	har
blogge	er/har
blokere	er/har
blotte	har
blunde	har
blusse	har
blære	har
blævre	har
bone	har
borge	har
boykotte	er/har
bremse	har
brumme	har
brygge	er/har
brystføde	har
brække	har
bugne	er/har
bøje	har
campere	er/har
changere	har
charme	har
charmere	har
citere	er/har
daffe	har
dale	har
dandse	har
danse	har
date	har
dekantere	er/har
denotere	har
digte	er/har
disse	har
dolke	har
dressere	har
drille	har
driste	har
dufte	har
dyppe	har
dysse	er/har
dyste	har
dåne	har
dåre	har
dække	har
dæmpe	er/har
døbe	har
e-maile	er/har
efterleve	har
eftertænke	har
eje	har
ekspedere	har
eksperimentere	har
eksponere	har
emme	er
ensilere	har
erholde	har
erklære	har
evakuere	har
evaluere	har
fase	har
faste	har
fastsætte	har
fejde	har
feje	har
figurere	har
filetere	er/har
findes	har
fire	har
fiske	har
flage	har
flambere	har
flankere	har
flaske	er/har
flippe	har
flirte	har
flygte	er
fnise	har
folde	er/har
forbande	har
fordanske	har
fordøje	er/har
forene	har
forenkle	har
foreslå	har
forevige	har
forfalske	har
forfatte	er/har
forgifte	har
forglemme	har
forgå	er
forhøje	er/har
forkynde	har
formalisere	har
formaste	har
forme	er/har
formindske	har
forslide	har
forslå	har
forstærke	har
forsøde	har
forsøge	har
fortale	har
forudsige	har
forvandle	har
forøge	har
fosforescere	har
fostre	har
fotografere	har
frembringe	har
fremhæve	har
fremleje	har
frottere	har
frygte	har
fråde	har
funke	har
få	har
fælde	har
fængsle	har
færdes	har
færge	har
følge	er/har
galopere	er/har
gebærde	har
genleve	har
genlæse	er/har
gennemføre	har
gennemleve	har
gennemse	har
gennemtænke	har
genopleve	har
genopstå	er
gide	har
gifte	har
glamme	har
glo	har
gnubbe	har
gratulere	har
grave	har
gravere	har
grimassere	har
grunde	har
grænse	har
gynge	har
gå	er
gø	har
hacke	har
hage	er/har
hale	har
halse	har
halte	har
hamre	har
hamstre	har
handle	har
harke	har
harme	har
harve	har
hedde	har
hejse	har
hele	er
hellige	har
henleve	har
henvende	har
hidse	har
hule	har
humpe	har
huse	har
hviske	har
hydrere	er/har
hypnotisere	er/har
hæfte	er/har
hælde	har
hæle	har
hærge	har
høste	er/har
inddrage	har
indføre	har
indgifte	har
indhøste	har
indleve	har
indtale	har
indtaste	har
indvillige	har
integrere	har
intensivere	har
interessere	har
intuere	har
ionisere	har
