# lemma(1sg.ipfv.pres)	V;1;SG;IPFV;PRS	V;2;SG;IPFV;PRS	V;3;SG;IPFV;PRS	V;1;PL;IPFV;PRS	V;2;PL;IPFV;PRS	V;3;PL;IPFV;PRS	V;1;SG;IPFV;PST	V;2;SG;IPFV;PST	V;3;SG;IPFV;PST	V;1;PL;IPFV;PST	V;2;PL;IPFV;PST	V;3;PL;IPFV;PST	V;1;SG;PFV;PST	V;2;SG;PFV;PST	V;3;SG;PFV;PST	V;1;PL;PFV;PST	V;2;PL;PFV;PST	V;3;PL;PFV;PST	V;2;SG;IMP	V;2;PL;IMP	V;PTCP  ("-" = productive default)
'γγίζω	-	-	-	'γγίζομε	-	-	'γγιζα	'γγιζες	'γγιζε	'γγίζαμε	'γγίζατε	'γγίζαν	'γγιξα	'γγιξες	'γγιξε	'γγίξαμε	'γγίξατε	'γγίξαν	'γγιζε	'γγίζετε	-
άγω	-	-	-	-	-	-	—	—	—	—	—	—	‑ήγαγα	‑ήγαγες	‑ήγαγε	‑αγάγαμε	‑αγάγατε	‑ήγαγαν	—	—	-
έλκω	-	-	-	-	-	-	είλκα	είλκες	είλκε	έλκαμε	έλκατε	έλκαν	είλξα	είλξες	είλξε	έλξαμε	έλξατε	έλξαν	έλκε	έλκετε	-
έρπω	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	[{έρπε}]	έρπετε	-
έρχομαι	έρχομαι	έρχεσαι	έρχεται	ερχόμαστε	έρχεστε	έρχονται	ερχόμουν	ερχόσουν	ερχόταν	ερχόμασταν	ερχόσασταν	έρχονταν	ήλθα	ήλθες	ήλθε	ήλθαμε	ήλθατε	ήλθαν	έλα	ελάτε	-
έχε	έχω	έχεις	έχει	έχομε	έχετε	έχουν	είχα	είχες	είχε	είχαμε	είχατε	είχαν	-	-	-	-	-	-	έχε	έχετε	έχοντας
έχει	έχω	έχεις	έχει	έχομε	έχετε	έχουν	είχα	είχες	είχε	είχαμε	είχατε	είχαν	-	-	-	-	-	-	έχε	έχετε	έχοντας
έχεις	έχω	έχεις	έχει	έχομε	έχετε	έχουν	είχα	είχες	είχε	είχαμε	είχατε	είχαν	-	-	-	-	-	-	έχε	έχετε	έχοντας
έχετε	έχω	έχεις	έχει	έχομε	έχετε	έχουν	είχα	είχες	είχε	είχαμε	είχατε	είχαν	-	-	-	-	-	-	έχε	έχετε	έχοντας
έχοντας	έχω	έχεις	έχει	έχομε	έχετε	έχουν	είχα	είχες	είχε	είχαμε	είχατε	είχαν	-	-	-	-	-	-	έχε	έχετε	έχοντας
έχουμε	έχω	έχεις	έχει	έχομε	έχετε	έχουν	είχα	είχες	είχε	είχαμε	είχατε	είχαν	-	-	-	-	-	-	έχε	έχετε	έχοντας
έχουν	έχω	έχεις	έχει	έχομε	έχετε	έχουν	είχα	είχες	είχε	είχαμε	είχατε	είχαν	-	-	-	-	-	-	έχε	έχετε	έχοντας
έχουνε	έχω	έχεις	έχει	έχομε	έχετε	έχουν	είχα	είχες	είχε	είχαμε	είχατε	είχαν	-	-	-	-	-	-	έχε	έχετε	έχοντας
έχω	-	-	-	-	-	-	είχα	είχες	είχε	είχαμε	είχατε	είχαν	-	-	-	-	-	-	έχε	έχετε	-
ήμασταν	είμαι	είσαι	είναι	είμαστε1	-	είναι	-	-	-	-	-	-	-	-	-	-	-	-	—	—	όντας
ήμαστε	είμαι	είσαι	είναι	είμαστε1	-	είναι	-	-	-	-	-	-	-	-	-	-	-	-	—	—	όντας
ήμουν	είμαι	είσαι	είναι	είμαστε1	-	είναι	-	-	-	-	-	-	-	-	-	-	-	-	—	—	όντας
ήμουνα	είμαι	είσαι	είναι	είμαστε1	-	είναι	-	-	-	-	-	-	-	-	-	-	-	-	—	—	όντας
