# lemma	past	past-participle	present-participle	third-singular ("-" = derive)
Christmas	Christmassed	Christmassed	Christmassing	-
Goddam	Goddammed	Goddammed	Goddamming	-
Photostat	Photostatted	Photostatted	Photostatting	-
TELNET	TELNETTed	TELNETTed	TELNETTing	-
Tom	Tommed	Tommed	Tomming	-
abet	abetted	abetted	abetting	-
abhor	abhorred	abhorred	abhorring	-
abut	abutted	abutted	abutting	-
accinge	-	-	accinging	-
acquit	acquitted	acquitted	acquitting	-
admit	admitted	admitted	admitting	-
airdrop	airdropped	airdropped	airdropping	-
allot	allotted	allotted	allotting	-
amas	amassed	amassed	amassing	amasses
anagram	anagrammed	anagrammed	anagramming	-
annul	annulled	annulled	annulling	-
antic	anticked	anticked	anticking	-
appal	appalled	appalled	appalling	-
applique	-	-	appliqueing	-
aret	aretted	aretted	aretting	-
arise	arose	arisen	-	-
arrange	-	-	arranging	-
asses	assessed	assessed	assessing	assesses
astringe	-	-	astringing	-
attrap	attrapped	attrapped	attrapping	-
auto	-	-	-	autos
avenge	-	-	avenging	-
aver	averred	averred	averring	-
babysit	-	babysat	babysitting	-
bachelor	bachelorred	bachelorred	bachelorring	-
backbite	backbit	backbitten	-	-
backdrop	backdropped	backdropped	backdropping	-
backfit	backfitted	backfitted	backfitting	-
backlog	backlogged	backlogged	backlogging	-
backslap	backslapped	backslapped	backslapping	-
backslide	backslid	backslid	-	-
backstab	backstabbed	backstabbed	backstabbing	-
backstop	backstopped	backstopped	backstopping	-
bag	bagged	bagged	bagging	-
ballyhoo	-	-	-	ballyhoos
ballyrag	ballyragged	ballyragged	ballyragging	-
bam	bammed	bammed	bamming	-
ban	banned	banned	banning	-
bar	barred	barred	barring	-
barhop	barhopped	barhopped	barhopping	-
bat	batted	batted	batting	-
be	was	been	being	is
bear	bore	born	-	-
beat	beat	beaten	-	-
bebop	bebopped	bebopped	bebopping	-
becap	becapped	becapped	becapping	-
beclog	beclogged	beclogged	beclogging	-
become	became	become	-	-
bed	bedded	bedded	bedding	-
bedim	bedimmed	bedimmed	bedimming	-
bedrug	bedrugged	bedrugged	bedrugging	-
befall	befell	befallen	-	-
befit	befit	befit	befitting	-
beflag	beflagged	beflagged	beflagging	-
befog	befogged	befogged	befogging	-
befret	befretted	befretted	befretting	-
befringe	-	-	befringing	-
beg	begged	begged	begging	-
beget	begot	begotten	begetting	-
begin	began	begun	beginning	-
beglad	begladded	begladded	begladding	-
begrim	begrimmed	begrimmed	begrimming	-
begum	begummed	begummed	begumming	-
behold	beheld	beheld	-	-
beknot	beknotted	beknotted	beknotting	-
bel	belled	belled	belling	-
bend	bent	bent	-	-
benet	benetted	benetted	benetting	-
berob	berobbed	berobbed	berobbing	-
beset	beset	beset	besetting	-
besit	besat	besat	besitting	-
besmut	besmutted	besmutted	besmutting	-
besot	besotted	besotted	besotting	-
bespeak	bespoke	bespoken	-	-
bespot	bespotted	bespotted	bespotting	-
bespread	bespread	bespread	-	-
bestir	bestirred	bestirred	bestirring	-
bestrid	bestrid	bestrid	-	-
bestride	bestrode	bestrid	-	-
bestud	bestudded	bestudded	bestudding	-
bet	bet	bet	betting	-
betake	betook	betaken	-	-
bethink	bethought	bethought	-	-
beweep	bewept	bewept	-	-
bewig	bewigged	bewigged	bewigging	-
bewrap	bewrapped	bewrapped	bewrapping	-
bib	bibbed	bibbed	bibbing	-
bid	bade	bidden	bidding	-
big	bigged	bigged	bigging	-
bin	binned	binned	binning	-
bind	bound	bound	-	-
binge	-	-	binging	-
birddog	birddogged	birddogged	birddogging	-
birdie	-	-	birdieing	-
bit	bitted	bitted	bitting	-
bite	bit	bitten	-	-
bivouac	bivouacked	bivouacked	bivouacking	-
blab	blabbed	blabbed	blabbing	-
blackleg	blacklegged	blacklegged	blacklegging	-
blacktop	blacktopped	blacktopped	blacktopping	-
blag	blagged	blagged	blagging	-
blat	blatted	blatted	blatting	-
bleed	bled	bled	-	-
blip	blipped	blipped	blipping	-
blob	blobbed	blobbed	blobbing	-
bloc	blocked	blocked	blocking	-
blot	blotted	blotted	blotting	-
blub	blubbed	blubbed	blubbing	-
blunge	-	-	blunging	-
blur	blurred	blurred	blurring	-
bob	bobbed	bobbed	bobbing	-
bobsled	bobsledded	bobsledded	bobsledding	-
bog	bogged	bogged	bogging	-
bogie	-	-	bogieing	-
boo	-	-	-	boos
boohoo	-	-	-	boohoos
bootleg	bootlegged	bootlegged	bootlegging	-
