# lemma	p1sg	p3sg	da	pst1sg	nud	tud	imp2sg	gu	takse ("-" = derive)
aitama	-	-	aidata	-	aidanud	aidatud	-	aidaku	aidatakse
ajama	-	-	-	-	-	aetud	-	-	aetakse	-	-
algama	-	-	alata	-	alanud	alatud	-	alaku	alatakse
andma	annan	annab	anda	andsin	-	antud	anna	andku	antakse	andis	andev
arvama	-	-	arvata	-	-	-	-	arvaku	-
embama	-	-	emmata	-	emmanud	emmatud	-	emmaku	emmatakse
haarama	-	-	haarata	-	-	-	-	haaraku	-
haistma	haistan	haistab	haista	haistsin	-	haistetud	haista	haistku	haistetakse	haistis	haistev
hakkama	-	-	hakata	-	hakanud	hakatud	-	hakaku	hakatakse
hakkima	hakin	hakib	-	-	-	hakitud	haki	-	hakitakse
haldama	-	-	hallata	-	hallanud	hallatud	-	hallaku	hallatakse
hankima	hangin	hangib	-	-	-	hangitud	hangi	-	hangitakse
harjama	-	-	harjata	-	-	-	-	harjaku	-	-	-
haukuma	haugun	haugub	-	-	-	haugutud	haugu	-	haugutakse	-	-
heitma	heidan	heidab	heita	heitsin	-	heidetud	heida	heitku	heidetakse	heitis	heitev
hindama	-	-	hinnata	-	hinnanud	hinnatud	-	hinnaku	hinnatakse
hingama	-	-	hingata	-	-	-	-	hingaku	-
hoidma	hoian	hoiab	hoida	hoidsin	-	hoitud	hoia	hoidku	hoitakse	hoidis	hoidev
hoomama	-	-	hoomata	-	-	-	-	hoomaku	-
hoorama	-	-	hoorata	-	-	-	-	hooraku	-
huiama	-	-	huiata	-	-	-	-	huiaku	-
hukkama	-	-	hukata	-	hukanud	hukatud	-	hukaku	hukatakse
häkkima	häkin	häkib	-	-	-	häkitud	häki	-	häkitakse
hõivama	-	-	hõivata	-	-	-	-	hõivaku	-
hõlmama	-	-	hõlmata	-	-	-	-	hõlmaku	-
hülgama	-	-	hüljata	-	hüljanud	hüljatud	-	hüljaku	hüljatakse
hüppama	-	-	hüpata	-	hüpanud	hüpatud	-	hüpaku	hüpatakse
hüüdma	hüüan	hüüab	hüüda	hüüdsin	-	hüütud	hüüa	hüüdku	hüütakse	hüüdis	hüüdev
jahtima	jahin	jahib	-	-	-	jahitud	jahi	-	jahitakse
jaksama	-	-	jaksata	-	-	-	-	jaksaku	-
jooksma	jooksen	jookseb	joosta	jooksin	-	joostud	jookse	jooksku	joostakse	jooksis	jooksev
jooma	-	-	juua	jõin	-	joodud	-	-	juuakse
jootma	joodan	joodab	joota	jootsin	-	joodetud	jooda	jootku	joodetakse	jootis	jootev
juhtima	juhin	juhib	-	-	-	juhitud	juhi	-	juhitakse
jätkama	-	-	jätkata	-	-	-	-	jätkaku	-
jätma	jätan	jätab	jätta	jätsin	-	jäetud	jäta	jätku	jäetakse	jättis	jättev
jääma	-	-	-	jäin	-	jäädud	-	-	jäädakse
jõudma	jõuan	jõuab	jõuda	jõudsin	-	jõutud	jõua	jõudku	jõutakse	jõudis	jõudev
kaapima	kaabin	kaabib	-	-	-	kaabitud	kaabi	-	kaabitakse
kaduma	kaon	kaob	-	-	-	kaotud	kao	-	kaotakse
kaebama	-	-	kaevata	-	kaevanud	kaevatud	-	kaevaku	kaevatakse
