# lemma(infinitive)	V;NFIN	V;IND;PRS;1;SG	V;IND;PRS;2;SG	V;IND;PRS;3;SG	V;IND;PRS;3	V;IND;PST;1;SG	V;IND;PST;2;SG	V;IND;PST;3;SG	V;IND;PST;3	V;IMP;2;SG	V;IMP;2;PL	V.CVB	V.PTCP.PRS	V.PTCP.PST  ("-" = productive default)
aka	-	-	ekur	ekur	-	ók	ókst	ók	óku	-	-	ikið	-	ikin
ala	-	-	elur	elur	-	ól	ólst	ól	ólu	-	-	alið	-	alin
anda	-	-	-	-	-	-	-	-	-	anda	-	-	-	-
andast	andast	andist	andast	andast	andast	andaðist	andaðist	andaðist	andaðust	-	-	andast	-	-
arbeiða	-	-	arbeiðir	arbeiðir	-	arbeiddi	arbeiddi	arbeiddi	arbeiddu	-	-	arbeitt	-	arbeiddur
avdúka	-	-	-	-	-	-	-	-	-	avdúka	-	-	-	-
avreiða	-	-	avreiðir	avreiðir	-	avreiddi	avreiddi	avreiddi	avreiddu	-	-	avreitt	-	avreiddur
babba	-	-	-	-	-	-	-	-	-	babba	-	-	-	-
baka	-	-	-	-	-	-	-	-	-	baka	-	-	-	-
balla	-	-	-	-	-	-	-	-	-	balla	-	-	-	-
banka	-	-	-	-	-	-	-	-	-	banka	-	-	-	-
banna	-	-	-	-	-	-	-	-	-	banna	-	-	-	-
bar	bera	beri	bert	ber	bera	bar	bart	bar	bóru	ber	berið	borið	berandi	borin
batna	-	-	-	-	-	-	-	-	-	batna	-	-	-	-
baða	-	-	-	-	-	-	-	-	-	baða	-	-	-	-
beina	-	-	beinir	beinir	-	beindi	beindi	beindi	beindu	-	-	beint	-	beindur
benda	-	-	bendir	bendir	-	bendi	bendi	bendi	bendu	-	-	bent	-	bendur
berja	-	berji	berjir	berjir	-	bardi	bardi	bardi	bardu	berj	-	bart	-	bardur
binda	-	-	bindur	bindur	-	bant	banst	bant	bundu	-	-	bundið	-	bundin
biðja	-	biðji	biður	biður	-	bað	baðst	bað	bóðu	-	-	biðið	-	biðin
bjarga	-	-	-	-	-	-	-	-	-	bjarga	-	-	-	-
bjóða	-	-	býður	býður	-	beyð	beyðst	beyð	buðu	-	-	boðið	-	boðin
blaka	-	-	-	-	-	-	-	-	-	blaka	-	-	-	-
blása	-	-	blæs	blæs	-	blásti	blásti	blásti	blástu	blás!	blásið!	blást	blástandi	-
blíva	-	-	blívur	blívur	-	bleiv	bleivst	bleiv	blivu	-	-	blivið	-	blivin
bløða	-	-	bløðir	bløðir	-	bløddi	bløddi	bløddi	bløddu	-	-	bløtt	-	bløddur
borin	bera	beri	bert	ber	bera	bar	bart	bar	bóru	ber	berið	borið	berandi	borin
boyggja	-	-	boyggir	boyggir	-	boygdi	boygdi	boygdi	boygdu	-	boyggið	boygt	-	boygdur
boða	-	-	-	-	-	-	-	-	-	boða	-	-	-	-
boðsenda	-	-	boðsendir	boðsendir	-	boðsendi	boðsendi	boðsendi	boðsendu	-	-	boðsent	-	boðsendur
branda	-	-	-	-	-	-	-	-	-	branda	-	-	-	-
brandar	branda	brandi	brandar	brandar	branda	brandaði	brandaði	brandaði	brandaðu	branda	brandið	brandað	brandandi	brandaður
brann	brenna	brenni	brennur	brennur	brenna	brann	branst	brann	brunnu	brenn	brennið	brunnið	brennandi	brunnin
bregða	-	-	-	-	-	-	-	-	-	bregð!	bregðið!	-	-	-
bresta	-	-	brestur	brestur	-	brast	brastst	brast	brustu	-	-	brostið	-	brostin
broyta	-	-	broytir	broytir	-	broytti	broytti	broytti	broyttu	-	-	broytt	-	broyttur
bróta	-	-	brýtur	brýtur	-	breyt	breytst	breyt	brutu	-	-	brotið	-	brotin
brúka	-	-	-	-	-	brúkti	brúkti	brúkti	brúktu	brúka	-	-	-	brúktur
buka	-	-	-	-	-	-	-	-	-	buka	-	-	-	-
byggja	-	-	byggir	byggir	-	bygdi	bygdi	bygdi	bygdu	-	byggið	bygt	-	bygdur
byrja	-	byrji	-	-	-	-	-	-	-	byrja	-	-	-	-
bína	-	-	bínir	bínir	-	bíndi	bíndi	bíndi	bíndu	-	-	bínt	-	bíndur
bíta	-	-	bítur	bítur	-	beit	beitst	beit	bitu	-	-	bitið	-	bitin
bíða	-	-	-	-	-	-	-	-	-	bíða	-	-	-	-
bólgna	-	-	-	-	-	-	-	-	-	bólgna	-	-	-	-
búgva	-	-	býrt	býr	-	búði	búði	búði	búðu	-	-	búð	-	búgvin
búseta	-	-	búsetur	búsetur	-	búsetti	búsetti	búsetti	búsettu	-	-	búsett	-	búsettur
býta	-	-	býtir	býtir	-	býtti	býtti	býtti	býttu	-	-	býtt	-	býttur
dagføra	-	-	dagførir	dagførir	-	dagførdi	dagførdi	dagførdi	dagførdu	-	-	dagført	-	dagførdur
dansa	-	-	-	-	-	-	-	-	-	dansa	-	-	-	-
detta	-	-	dettur	dettur	-	datt	datst	datt	duttu	-	-	dottið	-	dottin
doyggja	-	-	doyrt	doyr	-	doyði	doyði	doyði	doyðu	doyggj	doyggið	doyð	-	-
doypa	-	-	doypir	doypir	-	doypti	doypti	doypti	doyptu	-	-	doypt	-	doyptur
draga	-	-	dregur	dregur	-	dró	dróst	dró	drógu	-	-	drigið	-	drigin
drekka	-	-	drekkur	drekkur	-	drakk	drakst	drakk	drukku	-	-	drukkið	-	drukkin
drepa	-	-	drepur	drepur	-	drap	drapst	drap	drópu	-	-	dripið	-	dripin
droyma	-	-	droymir	droymir	-	droymdi	droymdi	droymdi	droymdu	-	-	droymt	-	droymdur
drýpa	-	-	drýpir	drýpir	-	drýpti	drýpti	drýpti	drýptu	-	-	drýpt	-	drýptur
duga	-	-	dugir	dugir	-	dugdi	dugdi	dugdi	dugdu	duga	-	-	-	-
dugi	duga	dugi	dugir	dugir	duga	dugdi	dugdi	dugdi	dugdu	duga	dugið	dugað	dugandi	dugaður
dálka	-	-	-	-	-	-	-	-	-	dálka	-	-	-	-
døma	-	-	dømir	dømir	-	dømdi	dømdi	dømdi	dømdu	-	-	dømt	-	dømdur
eggja	-	eggji	-	-	-	-	-	-	-	eggja	-	-	-	-
eigur	eiga	eigi	eigureigir	eigureigir	eiga	áttiár	áttiár	áttiár	áttu	eig	eigið	átt	eigandi	-
eita	-	-	eitur	eitur	-	hæt	hæt	hæt	hitu	-	-	hitið	-	hitin
elska	-	-	-	-	-	-	-	-	-	elska	-	-	-	-
enda	-	-	-	-	-	-	-	-	-	enda	-	-	-	-
er	vera	eri	ert	er	eru	var	vart	var	vóru	ver	verið	verið	verandi	-
ert	vera	eri	ert	er	eru	var	vart	var	vóru	ver	verið	verið	verandi	-
eru	vera	eri	ert	er	eru	var	vart	var	vóru	ver	verið	verið	verandi	-
eydnast	eydnast	eydnist	eydnast	eydnast	eydnast	eydnaðist	eydnaðist	eydnaðist	eydnaðust	-	-	eydnast	-	-
eydnaðist	eydnast	eydnist	eydnast	eydnast	eydnast	eydnaðist	eydnaðist	eydnaðist	eydnaðust	-	-	eydnast	-	-
eyka	-	-	-	-	-	-	-	-	-	eyka	-	-	-	-
eyðkenna	-	-	eyðkennir	eyðkennir	-	eyðkendi	eyðkendi	eyðkendi	eyðkendu	eyðkenna	-	eyðkent	-	eyðkendur
fagna	-	-	-	-	-	-	-	-	-	fagna	-	-	-	-
falla	-	-	fellur	fellur	-	fallfell	fall	fallfell	fullu	-	-	fallið	-	fallin
fara	-	-	fert	fer	-	fór	fórt	fór	fóru	-	-	farið	-	farin
fata	-	-	-	-	-	-	-	-	-	fata	-	-	-	-
fegna	-	-	-	-	-	-	-	-	-	fegna	-	-	-	-
fegnast	fegnast	fegnist	fegnast	fegnast	fegnast	fegnaðist	fegnaðist	fegnaðist	fegnaðust	-	-	fegnast	-	-
fekk	fáa	fái	fært	fær	fáa	fekk	fekst	fekk	fingu	fá	fáið	fingið	-	fingin
fella	-	-	fellir	fellir	-	feldi	feldi	feldi	feldu	fella	-	felt	-	feldur
ferðast	ferðast	ferðist	ferðast	ferðast	ferðast	ferdaðist	ferdaðist	ferdaðist	ferdaðust	-	-	ferdast	-	-
festa	-	-	festir	festir	-	festi	festi	festi	festu	-	-	fest	-	festur
fevna	-	-	fevnir	fevnir	-	fevndi	fevndi	fevndi	fevndu	-	-	fevnt	-	fevndur
fingin	fáa	fái	fært	fær	fáa	fekk	fekst	fekk	fingu	fá	fáið	fingið	-	fingin
fingið	fáa	fái	fært	fær	fáa	fekk	fekst	fekk	fingu	fá	fáið	fingið	-	fingin
fiska	-	-	-	-	-	-	-	-	-	fiska	-	-	-	-
fjala	-	-	fjalir	fjalir	-	fjaldi	fjaldi	fjaldi	fjaldu	-	-	fjalt	-	fjaldur
fjarstýra	-	-	fjarstýrir	fjarstýrir	-	fjarstýrdi	fjarstýrdi	fjarstýrdi	fjarstýrdu	-	-	fjarstýrt	-	fjarstýrdur
fjasa	-	-	-	-	-	-	-	-	-	fjasa	-	-	-	-
flagsa	-	-	-	-	-	-	-	-	-	flagsa	-	-	-	-
flekja	-	-	flekir	flekir	-	flakti	flakti	flakti	flaktu	-	flekið	flakt	-	flaktur
flenna	-	-	flennir	flennir	-	flenti	flenti	flenti	flentu	-	-	flent	-	flentur
fletta	-	-	flettir	flettir	-	fletti	fletti	fletti	flettu	-	-	flett	-	flettur
fljúgva	-	-	fljýgur	fljýgur	-	fljeyg	fljeygst	fljeyg	fljugu	fljúg	fljúgið	fljogið	-	fljogin
flysa	-	-	flysur	flysur	-	flusti	flusti	flusti	flustu	-	-	flust	-	flustur
flyta	-	-	flytur	flytur	-	flutti	flutti	flutti	fluttu	-	-	flutt	-	fluttur
flóta	-	-	flýtur	flýtur	-	fleyt	fleytst	fleyt	flutu	-	-	flotið	-	flotin
flúgva	-	-	flýgur	flýgur	-	fleyg	fleygst	fleyg	flugu	flúg	flúgið	flogið	-	flogin
forelska	-	-	-	-	-	-	-	-	-	forelska	-	-	-	-
fortelja	-	fortelji	fortelur	fortelur	-	fortaldi	fortaldi	fortaldi	fortaldu	-	-	fortalt	-	fortaldur
frata	-	-	-	-	-	-	-	-	-	frata	-	-	-	-
freista	-	-	-	-	-	-	-	-	-	freista	-	-	-	-
frelsa	-	-	frelsir	frelsir	-	frelsti	frelsti	frelsti	frelstu	-	-	frelst	-	frelstur
fremja	-	fremji	fremur	fremur	-	framdi	framdi	framdi	framdu	-	-	framt	-	framdur
frysta	-	-	frystir	frystir	-	frysti	frysti	frysti	frystu	-	-	fryst	-	frystur
frætta	-	-	frættir	frættir	-	frætti	frætti	frætti	frættu	-	-	frætt	-	frættur
fríggja	-	fríggji	-	-	-	-	-	-	-	fríggja	-	-	-	-
frøa	-	-	frøir	frøir	-	frøddi	frøddi	frøddi	frøddu	-	-	frøtt	-	frøddur
fylla	-	-	fyllir	fyllir	-	fylti	fylti	fylti	fyltu	-	-	fylt	-	fyltur
fíggja	-	fíggji	-	-	-	-	-	-	-	fíggja	-	-	-	-
fóðra	-	-	-	-	-	-	-	-	-	fóðra	-	-	-	-
føla	-	-	følir	følir	-	føldi	føldi	føldi	føldu	-	-	følt	-	føldur
følna	-	-	-	-	-	-	-	-	-	følna	-	-	-	-
føra	-	-	førir	førir	-	førdi	førdi	førdi	førdu	-	-	ført	-	førdur
førdu	føra	føri	førir	førir	føra	førdi	førdi	førdi	førdu	før	førið	ført	førandi	førdur
føða	-	-	føðir	føðir	-	føddi	føddi	føddi	føddu	-	-	føtt	-	føddur
fúka	-	-	fýkur	fýkur	-	feyk	feykst	feyk	fuku	-	-	fokið	-	fokin
fýkur	fúka	fúki	fýkur	fýkur	fúka	feyk	feykst	feyk	fuku	fúk	fúkið	fokið	fúkandi	fokin
gala	-	-	gelur	gelur	-	gól	gólst	gól	gólu	-	-	galið	-	galin
ganda	-	-	-	-	-	-	-	-	-	ganda	-	-	-	-
ganga	-	-	gongur	gongur	-	gekk	gekst	gekk	gingu	gakk	-	gingið	-	gingin
gangandi	ganga	gangi	gongur	gongur	ganga	gekk	gekst	gekk	gingu	gakk	gangið	gingið	gangandi	gingin
gangi	ganga	gangi	gongur	gongur	ganga	gekk	gekst	gekk	gingu	gakk	gangið	gingið	gangandi	gingin
gangið	ganga	gangi	gongur	gongur	ganga	gekk	gekst	gekk	gingu	gakk	gangið	gingið	gangandi	gingin
gekk	ganga	gangi	gongur	gongur	ganga	gekk	gekst	gekk	gingu	gakk	gangið	gingið	gangandi	gingin
gekst	ganga	gangi	gongur	gongur	ganga	gekk	gekst	gekk	gingu	gakk	gangið	gingið	gangandi	gingin
gelda	-	-	geldir	geldir	-	geldi	geldi	geldi	geldu	-	-	gelt	-	geldur
gerast	gerast	gerist	gerst	gerst	gerast	gjørdist	gjørdist	gjørdist	gjørdust	-	-	gerast	-	-
geva	-	-	gevur	gevur	-	gav	gavst	gav	góvu	-	-	givið	-	givin
gevast	gevast	gevist	gevst	gevst	gevast	gavst	gavst	gavst	góvust	gevast!	gevast!	gevast	-	-
gifta	-	-	giftir	giftir	-	gifti	gifti	gifti	giftu	-	-	gift	-	giftur
gingin	ganga	gangi	gongur	gongur	ganga	gekk	gekst	gekk	gingu	gakk	gangið	gingið	gangandi	gingin
gingið	ganga	gangi	gongur	gongur	ganga	gekk	gekst	gekk	gingu	gakk	gangið	gingið	gangandi	gingin
gingu	ganga	gangi	gongur	gongur	ganga	gekk	gekst	gekk	gingu	gakk	gangið	gingið	gangandi	gingin
gista	-	-	gistir	gistir	-	gisti	gisti	gisti	gistu	-	-	gist	-	gistur
gjalda	-	-	geldur	geldur	-	galt	galt	galt	guldu	-	-	goldið	-	goldin
gjósa	-	-	gýsur	gýsur	-	geys	geyst	geys	gusu	-	-	gosið	-	gosin
gjørdi	gera	geri	gert	ger	gera	gjørdi	gjørdi	gjørdi	gjørdu	ger	gerið	gjørt	gerandi	gjørdur
glampa	-	-	-	-	-	-	-	-	-	glampa	-	-	-	-
gleppa	-	-	gleppur	gleppur	-	glapp	glapst	glapp	gluppu	-	-	gloppið	-	gloppin
gleða	-	-	gleðir	gleðir	-	gleddi	gleddi	gleddi	gleddu	-	-	glett	-	gleddur
