# lemma	p1sg	p3sg	pst1sg	pst3sg	nut	pass-prs	pass-pst	imp2sg ("-" = type-I default)
aakkostaa	-	-	aakkostin	aakkosti	-	aakkostetaan	aakkostettiin	-	-	-	-	aakkostanee
aallota	aaltoan	aaltoaa	aaltosin	aaltosi	aallonnut	aallotaan	aallottiin	aaltoa	-	aallotkaa	-	aallonnee
aallottaa	aallotan	-	aallotin	aallotti	-	aallotetaan	aallotettiin	aallota	-	-	-	aallottanee
aaltoilla	aaltoilen	aaltoilee	aaltoilin	aaltoili	aaltoillut	aaltoillaan	aaltoiltiin	aaltoile	-	-	-	aaltoillee
aamiaistaa	-	-	aamiaistin	aamiaisti	-	aamiaistetaan	aamiaistettiin	-	-	-	-	aamiaistanee
aarporata	aarporaan	aarporaa	aarporasin	aarporasi	aarporannut	aarporataan	aarporattiin	aarporaa	aarporaavat	aarporatkaa	-	aarporannee
aatella	aattelen	aattelee	aattelin	aatteli	aatellut	aatellaan	aateltiin	aattele	-	-	-	aatellee
aateloida	aateloin	aateloi	aateloin	aateloi	aateloinut	aateloidaan	aateloitiin	aateloi	aateloivat	-	-	aateloinee
aavikoittaa	aavikoitan	-	aavikoitin	aavikoitti	-	aavikoitetaan	aavikoitettiin	aavikoita	-	-	-	aavikoittanee
aavikoitua	aavikoidun	-	aavikoiduin	aavikoitui	-	aavikoidutaan	aavikoiduttiin	aavikoidu	-	-	-	aavikoitunee
aavistaa	-	-	aavistin	aavisti	-	aavistetaan	aavistettiin	-	-	-	-	aavistanee
aavistella	aavistelen	aavistelee	aavistelin	aavisteli	aavistellut	aavistellaan	aavisteltiin	aavistele	-	-	-	aavistellee
abdikoida	abdikoin	abdikoi	abdikoin	abdikoi	abdikoinut	abdikoidaan	abdikoitiin	abdikoi	abdikoivat	-	-	abdikoinee
abduktoida	abduktoin	abduktoi	abduktoin	abduktoi	abduktoinut	abduktoidaan	abduktoitiin	abduktoi	abduktoivat	-	-	abduktoinee
abhaasintaa	abhaasinnan	-	abhaasinsin	abhaasinsi	-	abhaasinnetaan	abhaasinnettiin	abhaasinna	-	-	-	abhaasintanee
abortoida	abortoin	abortoi	abortoin	abortoi	abortoinut	abortoidaan	abortoitiin	abortoi	abortoivat	-	-	abortoinee
absorboida	absorboin	absorboi	absorboin	absorboi	absorboinut	absorboidaan	absorboitiin	absorboi	absorboivat	-	-	absorboinee
absorboitua	absorboidun	-	absorboiduin	absorboitui	-	absorboidutaan	absorboiduttiin	absorboidu	-	-	-	absorboitunee
abstrahoida	abstrahoin	abstrahoi	abstrahoin	abstrahoi	abstrahoinut	abstrahoidaan	abstrahoitiin	abstrahoi	abstrahoivat	-	-	abstrahoinee
abstrahoitua	abstrahoidun	-	abstrahoiduin	abstrahoitui	-	abstrahoidutaan	abstrahoiduttiin	abstrahoidu	-	-	-	abstrahoitunee
abstraktistaa	-	-	abstraktistin	abstraktisti	-	abstraktistetaan	abstraktistettiin	-	-	-	-	abstraktistanee
abstraktistua	-	-	-	-	-	-	-	-	-	-	-	abstraktistunee
abstraktoida	abstraktoin	abstraktoi	abstraktoin	abstraktoi	abstraktoinut	abstraktoidaan	abstraktoitiin	abstraktoi	abstraktoivat	-	-	abstraktoinee
adaptoida	adaptoin	adaptoi	adaptoin	adaptoi	adaptoinut	adaptoidaan	adaptoitiin	adaptoi	adaptoivat	-	-	adaptoinee
adaptoitua	adaptoidun	-	adaptoiduin	adaptoitui	-	adaptoidutaan	adaptoiduttiin	adaptoidu	-	-	-	adaptoitunee
addiktoida	addiktoin	addiktoi	addiktoin	addiktoi	addiktoinut	addiktoidaan	addiktoitiin	addiktoi	addiktoivat	-	-	addiktoinee
addiktoitua	addiktoidun	-	addiktoiduin	addiktoitui	-	addiktoidutaan	addiktoiduttiin	addiktoidu	-	-	-	addiktoitunee
adoptoida	adoptoin	adoptoi	adoptoin	adoptoi	adoptoinut	adoptoidaan	adoptoitiin	adoptoi	adoptoivat	-	-	adoptoinee
adsorboida	adsorboin	adsorboi	adsorboin	adsorboi	adsorboinut	adsorboidaan	adsorboitiin	adsorboi	adsorboivat	-	-	adsorboinee
adsorboitua	adsorboidun	-	adsorboiduin	adsorboitui	-	adsorboidutaan	adsorboiduttiin	adsorboidu	-	-	-	adsorboitunee
adusoida	adusoin	adusoi	adusoin	adusoi	adusoinut	adusoidaan	adusoitiin	adusoi	adusoivat	-	-	adusoinee
aerobicata	aerobickaan	aerobickaa	aerobickasin	aerobickasi	aerobicannut	aerobicataan	aerobicattiin	aerobickaa	aerobickaavat	aerobicatkaa	-	aerobicannee
aerobikata	aerobikkaan	aerobikkaa	aerobikkasin	aerobikkasi	aerobikannut	aerobikataan	aerobikattiin	aerobikkaa	aerobikkaavat	aerobikatkaa	-	aerobikannee
affisioida	affisioin	affisioi	affisioin	affisioi	affisioinut	affisioidaan	affisioitiin	affisioi	affisioivat	-	-	affisioinee
afrikaansintaa	afrikaansinnan	-	afrikaansinsin	afrikaansinsi	-	afrikaansinnetaan	afrikaansinnettiin	afrikaansinna	-	-	-	afrikaansintanee
afrikkalaistaa	-	-	afrikkalaistin	afrikkalaisti	-	afrikkalaistetaan	afrikkalaistettiin	-	-	-	-	afrikkalaistanee
afrikkalaistua	-	-	-	-	-	-	-	-	-	-	-	afrikkalaistunee
agglutinoida	agglutinoin	agglutinoi	agglutinoin	agglutinoi	agglutinoinut	agglutinoidaan	agglutinoitiin	agglutinoi	agglutinoivat	-	-	agglutinoinee
aggregoida	aggregoin	aggregoi	aggregoin	aggregoi	aggregoinut	aggregoidaan	aggregoitiin	aggregoi	aggregoivat	-	-	aggregoinee
agitoida	agitoin	agitoi	agitoin	agitoi	agitoinut	agitoidaan	agitoitiin	agitoi	agitoivat	-	-	agitoinee
ahavoida	ahavoin	ahavoi	ahavoin	ahavoi	ahavoinut	ahavoidaan	ahavoitiin	ahavoi	ahavoivat	-	-	ahavoinee
ahavoittaa	ahavoitan	-	ahavoitin	ahavoitti	-	ahavoitetaan	ahavoitettiin	ahavoita	-	-	-	ahavoittanee
ahavoitua	ahavoidun	-	ahavoiduin	ahavoitui	-	ahavoidutaan	ahavoiduttiin	ahavoidu	-	-	-	ahavoitunee
ahdata	ahtaan	ahtaa	ahtasin	ahtasi	ahdannut	ahdataan	ahdattiin	ahtaa	ahtaavat	ahdatkaa	-	ahdannee
ahdistaa	-	-	ahdistin	ahdisti	-	ahdistetaan	ahdistettiin	-	-	-	-	ahdistanee
ahdistella	ahdistelen	ahdistelee	ahdistelin	ahdisteli	ahdistellut	ahdistellaan	ahdisteltiin	ahdistele	-	-	-	ahdistellee
ahdistua	-	-	-	-	-	-	-	-	-	-	-	ahdistunee
ahertaa	aherran	-	ahersin	ahersi	-	aherretaan	aherrettiin	aherra	-	-	-	ahertanee
ahkeroida	ahkeroin	ahkeroi	ahkeroin	ahkeroi	ahkeroinut	ahkeroidaan	ahkeroitiin	ahkeroi	ahkeroitsevat	ahkeroikaa	ahkeroisi	ahkeroinee
ahmaista	ahmaisen	ahmaisee	ahmaisin	ahmaisi	ahmaissut	ahmaistaan	ahmaistiin	ahmaise	-	-	-	ahmaissee
ahmia	-	-	ahmin	ahmi	-	-	-	-	-	-	-	ahminee
ahnastella	ahnastelen	ahnastelee	ahnastelin	ahnasteli	ahnastellut	ahnastellaan	ahnasteltiin	ahnastele	-	-	-	ahnastellee
ahnehtia	ahnehdin	-	ahnehdin	ahnehti	-	ahnehditaan	ahnehdittiin	ahnehdi	-	-	-	ahnehtinee
ahtaa	ahdan	-	ahdoin	ahtoi	-	ahdetaan	ahdettiin	ahda	-	-	-	ahtanee
ahtauttaa	ahtautan	-	ahtautin	ahtautti	-	ahtautetaan	ahtautettiin	ahtauta	-	-	-	ahtauttanee
ahtautua	ahtaudun	-	ahtauduin	ahtautui	-	ahtaudutaan	ahtauduttiin	ahtaudu	-	-	-	ahtautunee
ahtoutua	ahtoudun	-	ahtouduin	ahtoutui	-	ahtoudutaan	ahtouduttiin	ahtoudu	-	-	-	ahtoutunee
aidata	aitaan	aitaa	aitasin	aitasi	aidannut	aidataan	aidattiin	aitaa	aitaavat	aidatkaa	-	aidannee
aidoittaa	aidoitan	-	aidoitin	aidoitti	-	aidoitetaan	aidoitettiin	aidoita	-	-	-	aidoittanee
