# lemma	past	future	vn	ptcp  (mined principal parts, delenited past; "-" = derive)
abair	tuirt	their	ràdh	ràite
adhbharaich	adhbharaich	adhbharaichidh	adhbharachadh	adhbharaichte
adhlac	adhlac	adhlacaidh	adhlacadh	adhlacte
adhlaic	adhlaic	adhlaicidh	adhlacadh	-
ag	ag	agidh	agadh	-
agair	agair	agairidh	agairt	-
aidich	aidich	aidichidh	aideachadh	aidichte
ainlean	ainlean	ainleanaidh	ainleanmhainn	ainleanta
ainmich	ainmich	ainmichidh	ainmeachadh	ainmichte
ainneartaich	ainneartaich	ainneartaichidh	ainneartachadh	ainneartaichte
aisling	aisling	aislingidh	aisling	aislingte
aithnich	aithnich	aithnichidh	aithneachadh	aithnichte
aithris	aithris	aithrisidh	aithris	aithriste
altraim	altraim	altraimidh	altram	altraimte
amail	amail	amailidh	amal	amailte
amais	amais	amaisidh	amas	amaiste
amhairc	amhairc	amhaircidh	amharc	amhaircte
aodaich	aodaich	aodaichidh	aodachadh	aodaichte
aonaich	aonaich	aonaichidh	aonachadh	aonaichte
aontaich	aontaich	aontaichidh	aontachadh	aontaichte
armaich	armaich	armaichidh	armachadh	armaichte
at	at	ataidh	at	athte
ath-agair	ath-agair	ath-agairidh	ath-agairt	ath-agairte
ath-ainmich	ath-ainmich	ath-ainmichidh	ath-ainmeachadh	ath-ainmichte
ath-aithris	ath-aithris	ath-aithrisidh	ath-aithris	ath-aithriste
ath-bheachdaich	ath-bheachdaich	ath-bheachdaichidh	ath-bheachdachadh	ath-bheachdaichte
ath-bheothaich	ath-bheothaich	ath-bheothaichidh	ath-bheothachadh	ath-bheothaichte
ath-bheòthaich	ath-bheòthaich	ath-bheòthaichidh	ath-bheòthachadh	ath-bheòthaichte
ath-bhreithnich	ath-bhreithnich	ath-bhreithnichidh	ath-bhreithneachadh	ath-bhreithnichte
ath-bhrod	-	-	ath-bhrodadh	-
ath-bhrosnaich	ath-bhrosnaich	ath-bhrosnaichidh	ath-bhrosnachadh	ath-bhrosnaichte
ath-bhuannaich	ath-bhuannaich	ath-bhuannaichidh	ath-bhuannachadh	ath-bhuannaichte
ath-bhuidhinn	ath-bhuidhinn	ath-bhuidhnidh	ath-bhuidhinn	ath-bhuidhinnte
ath-chagainn	ath-chagainn	ath-chagnaidh	ath-chagnadh	ath-chagainnte
ath-cheannaich	ath-cheannaich	ath-cheannaichidh	ath-cheannach	ath-cheannaichte
ath-cheannsaich	ath-cheannsaich	ath-cheannsaichidh	ath-cheannsachadh	ath-cheannsaichte
ath-cheasnaich	ath-cheasnaich	ath-cheasnaichidh	ath-cheasnachadh	ath-cheasnaichte
ath-chlaon	ath-chlaon	ath-chlaonaidh	ath-chlaonadh	ath-chlaonte
ath-choisich	ath-choisich	ath-choisichidh	ath-choiseachd	ath-choisichte
ath-chruinnich	ath-chruinnich	ath-chruinnichidh	ath-chruinneachadh	ath-chruinnichte
