# Guarani principal parts: lemma ⇥ conjugation class.
# The class is read verbatim from the kaikki gug-conj-* inflection
# template (see scripts/grn/build.py); the engine in src/grn.rs
# derives the whole paradigm from it. gn-conj-* is folded into gug-.
lemma	class
'a	h
'u	h
guata	areal-oral
gueraha	areal-oral
g̃uahe	areal-nasal
hai	areal-oral
hecha	areal-oral
hechaga'u	areal-oral
heka	areal-oral
hekuavo	areal-oral
hendu	areal-nasal
hesape	areal-oral
hupi	areal-oral
hupyty	areal-oral
ime	areal-nasal
jaho'i	areal-oral
jajái	areal-oral
japo	areal-oral
jehekýi	areal-oral
jehu	areal-oral
jepy'amongeta	areal-oral
jeroky	areal-oral
jerure	areal-oral
jogua	areal-oral
johéi	areal-oral
jopy	areal-oral
juka	areal-oral
jupi	areal-oral
juvy	areal-oral
karu	areal-oral
kañy	areal-nasal
ke	aireal-oral
kuaa	aireal-oral
kuave'ẽ	areal-oral
kytĩ	aireal-nasal
ma'ẽ	areal-nasal
mano	areal-nasal
mbo'e	areal-nasal
mbohovái	areal-nasal
mbohéra	areal-nasal
mboja'o	areal-nasal
mbopiro'y	areal-nasal
mbopu	areal-nasal
mboty	areal-nasal
mbotyryry	areal-nasal
mbyepoti	areal-nasal
monde	areal-nasal
muña	areal-nasal
myenyhẽ	areal-nasal
pe'a	aireal-oral
poi	areal-oral
porandu	areal-oral
puka	areal-oral
purahéi	areal-oral
puru	aireal-oral
pytyvõ	areal-oral
rambosa	areal-nasal
reko	areal-oral
soro	areal-nasoral
sãmbyhy	areal-nasal
timbo	areal-nasal
veve	areal-oral
y'u	h
ñani	areal-nasal
ñapytĩ	areal-nasal
ñe'ẽ	areal-nasal
ñembo'y	areal-nasal
ñembosarái	areal-nasal
