# lemma	past	future	present	infinitive
אבד	אבד	יאבד	אובד	לאבוד
אבה	אבה	יאבה	אובה	לאבות
אבזר	אבזר	יאבזר	מאבזר	-
אבחן	אבחן	יאבחן	מאבחן	-
אבטח	אבטח	יאבטח	מאבטח	-
אבל	אבל	יאבל	אבל	לאבול
אגר	אגר	יאגור	אוגר	לאגור
אהב	אהב	יאהב	אוהב	לאהוב
אהד	אהד	יאהד	אוהד	לאהוד
אהל	אהל	יאהל	אוהל	-
אובזר	אובזר	יאובזר	מאובזר	-
אובחן	אובחן	יאובחן	מאובחן	-
אובטח	אובטח	יאובטח	מאובטח	-
אוגד	אגד	יאגד	מאגד	-
אוורר	אורר	יאורר	מאורר	-
אוזכר	אוזכר	יאוזכר	מאוזכר	-
אוחד	אוחד	יאוחד	מאוחד	-
אוית	אית	יאית	מאית	-
אוכל	אוכל	יאוכל	מאוכל	-
אומלל	אומלל	יאומלל	מאומלל	-
אומן	אומן	יאומן	מאומן	-
אומץ	אומץ	יאומץ	מאומץ	-
אונן	אונן	יאונן	מאונן	לאונן
אור	אור	יאור	אור	-
אורס	אורס	יאורס	מאורס	-
אושר	אשר	יאשר	מאשר	-
אותר	אתר	יאתר	מאתר	-
אותת	אותת	יאותת	מאותת	לאותת
אזכר	אזכר	יאזכר	מאזכר	-
אזל	אזל	יאזל	אוזל	לאזול
אחז	אחז	יאחז	אוחז	לאחוז
אחסן	אחסן	יאחסן	מאחסן	-
אטלק	אטלק	יאטלק	מאטלק	-
אטם	אטם	יאטם	אוטם	-
אטר	אטר	יאטר	אוטר	-
איבד	איבד	יאבד	מאבד	לאבד
איבזר	איבזר	יאבזר	מאבזר	לאבזר
איבטח	איבטח	יאבטח	מאבטח	לאבטח
אידה	אידה	יאדה	מאדה	לאדות
איווה	אוה	יאוה	מאוה	-
איזכר	איזכר	יאזכר	מאזכר	לאזכר
איזן	אזן	יאזן	מאזן	-
איחד	איחד	יאחד	מאחד	לאחד
איחל	אחל	יאחל	מאחל	-
איחר	איחר	יאחר	מאחר	לאחר
איים	איים	יאיים	מאיים	לאיים
אייר	איר	יאיר	מאיר	-
איית	אית	יאית	מאית	-
איכל	אכל	יאכל	מאכל	-
איכף	אכף	יאכף	מאכף	-
אילם	אלם	יאלם	מאלם	-
אילף	אילף	יאלף	מאלף	לאלף
אימן	אמן	יאמן	מאמן	-
אימץ	אימץ	יאמץ	מאמץ	לאמץ
אימת	אמת	יאמת	מאמת	-
איפר	אפר	יאפר	מאפר	-
אירח	ארח	יארח	מארח	-
אירע	ארע	-	-	-
אירש	ארש	יארש	מארש	-
אישר	אישר	יאשר	מאשר	לאשר
איתר	אתר	יאתר	מאתר	-
אכזב	אכזב	יאכזב	מאכזב	-
אכל	אכל	יאכל	אוכל	לאכול
אכלס	אכלס	יאכלס	מאכלס	-
אלתר	אלתר	יאלתר	מאלתר	-
אמד	אמד	יאמוד	אומד	לאמוד
אמלל	אמלל	יאמלל	מאמלל	-
אמר	אמר	יאמר	אומר	לומר
אנס	אנס	יאנוס	אונס	לאנוס
אסף	אסף	יאסוף	אוסף	לאסוף
אספן	אספן	יאספן	מאספן	-
אסר	אסר	יאסור	אוסר	לאסור
אפה	אפה	יאפה	אופה	לאפות
אפיין	אפין	יאפין	מאפין	-
אפשר	אפשר	יאפשר	מאפשר	-
אץ	אץ	יאוץ	אץ	לאוץ
אצר	אצר	יאצר	אוצר	-
ארב	ארב	יארוב	אורב	לארוב
ארג	ארג	יארג	אורג	-
ארגן	ארגן	יארגן	מארגן	-
ארז	ארז	יארוז	אורז	לארוז
ארח	ארח	יארח	אורח	לארוח
אשם	אשם	יאשם	אושם	-
אשפז	אשפז	יאשפז	מאשפז	-
אשרר	אשרר	יאשרר	מאשרר	-
אתגר	אתגר	יאתגר	מאתגר	-
אתה	אתה	יאתה	אותה	-
בא	בא	יבוא	בא	לבוא
באש	באש	יבאש	בואש	-
בגד	בגד	יבגוד	בוגד	לבגוד
בדה	בדה	יבדה	בודה	לבדות
בדל	בדל	יבדל	בדל	-
בדק	בדק	יבדוק	בודק	לבדוק
בהה	בהה	יבהה	בוהה	-
בואר	באר	יבאר	מבאר	-
בודד	בודד	יבודד	מבודד	לבודד
בוזה	בזה	יבזה	מבזה	-
בוטא	בוטא	יבוטא	מבוטא	-
בוטל	בוטל	יבוטל	מבוטל	-
בוית	בית	יבית	מבית	-
בוקר	בוקר	יבוקר	מבוקר	-
בורך	בורך	יבורך	מבורך	-
בוש	בוש	יבוש	בוש	לבוש
בז	בז	יבוז	בז	לבוז
בזבז	בזבז	יבזבז	מבזבז	-
בזה	בזה	יבזה	מבזה	-
בחן	בחן	יבחן	בוחן	-
בחר	בחר	יבחר	בוחר	לבחור
בחש	בחש	יבחש	בוחש	-
בטח	בטח	יבטח	בוטח	לבטוח
בטל	בטל	יבטל	בטל	-
ביאס	ביאס	יבאס	מבאס	לבאס
ביאר	ביאר	יבאר	מבאר	לבאר
בידח	בידח	יבדח	מבדח	לבדח
בידל	בידל	יבדל	מבדל	לבדל
ביהל	בהל	יבהל	מבהל	-
ביזבז	ביזבז	יבזבז	מבזבז	לבזבז
ביזה	בזה	יבזה	מבזה	-
ביטא	ביטא	יבטא	מבטא	לבטא
ביטל	ביטל	יבטל	מבטל	לבטל
ביים	בים	יבים	מבים	-
ביית	בית	יבית	מבית	-
ביכה	ביכה	יבכה	מבכה	לבכות
ביכר	ביכר	יבכר	מבכר	לבכר
בילבל	בילבל	יבלבל	מבלבל	לבלבל
בילה	בילה	יבלה	מבלה	לבלות
בילע	בילע	יבלע	מבלע	לבלע
ביסס	בסס	יבסס	מבסס	-
ביער	בער	יבער	מבער	-
ביצע	ביצע	יבצע	מבצע	לבצע
ביקע	ביקע	יבקע	מבקע	לבקע
ביקר	ביקר	יבקר	מבקר	לבקר
ביקש	ביקש	יבקש	מבקש	לבקש
בירך	בירך	יברך	מברך	לברך
בישל	בישל	יבשל	מבשל	לבשל
בישר	בישר	יבשר	מבשר	לבשר
בכה	בכה	יבכה	בוכה	לבכות
בלבל	בלבל	יבלבל	מבלבל	-
בלה	בלה	יבלה	בלה	לבלות
בלט	בלט	יבלט	בולט	-
בלל	בלל	יבלל	בולל	-
בלם	בלם	יבלום	בולם	לבלום
בלע	בלע	יבלע	בולע	לבלוע
בן	בן	יבין	בן	לבין
בנה	בנה	יבנה	בונה	לבנות
בעבע	בעבע	יבעבע	מבעבע	-
בעט	בעט	יבעט	בועט	לבעוט
בעל	בעל	יבעל	בועל	לבעול
בער	בער	יבער	בוער	לבעור
בצר	בצר	יבצר	בוצר	-
בקבק	בקבק	יבקבק	מבקבק	-
בקע	בקע	יבקע	בוקע	לבקוע
ברא	ברא	יברא	בורא	לברוא
ברבר	ברבר	יברבר	מברבר	-
ברח	ברח	יברח	בורח	לברוח
ברר	ברר	יבר	בורר	-
בתר	בתר	יבתר	בותר	-
גאה	גאה	יגאה	גואה	-
גאל	גאל	יגאל	גואל	לגאול
גבה	גבה	יגבה	גובה	-
גבל	גבל	יגבל	גובל	-
גבר	גבר	יגבר	גובר	לגבור
גדל	גדל	יגדל	גדל	לגדול
גדש	גדש	יגדש	גודש	-
גווע	גוע	יגוע	גווע	-
גויס	גיס	יגיס	מגיס	-
גולה	גולה	יגולה	מגולה	-
גורש	גורש	יגורש	מגורש	-
גז	גז	יגוז	גז	לגוז
גזז	גזז	יגזז	גוזז	-
גזל	גזל	יגזל	גוזל	-
גזר	גזר	יגזור	גוזר	לגזור
גז׳דר	גז׳דר	יגז׳דר	מגז׳דר	-
גחן	גחן	יגחן	גוחן	-
גיבה	גיבה	יגבה	מגבה	לגבות
גיגל	גגל	יגגל	מגגל	-
גידל	גידל	יגדל	מגדל	לגדל
גידף	גדף	יגדף	מגדף	-
גיהק	גהק	יגהק	מגהק	-
גייס	גיס	יגיס	מגיס	-
גייר	גיר	יגיר	מגיר	-
גילגל	גילגל	יגלגל	מגלגל	לגלגל
גילה	גילה	יגלה	מגלה	לגלות
גילח	גילח	יגלח	מגלח	לגלח
גילף	גלף	יגלף	מגלף	-
גימד	גימד	יגמד	מגמד	לגמד
גינה	גינה	יגנה	מגנה	לגנות
גינן	גנן	יגנן	מגנן	-
גירד	גרד	יגרד	מגרד	-
גירה	גירה	יגרה	מגרה	לגרות
גירר	גרר	יגרר	מגרר	-
גירש	גירש	יגרש	מגרש	לגרש
גישר	גשר	יגשר	מגשר	-
גישש	גשש	יגשש	מגשש	-
גלגל	גלגל	יגלגל	מגלגל	-
גלה	גלה	יגלה	גולה	לגלות
גלל	גלל	יגלל	גולל	-
גלף	גלף	יגלף	גולף	-
גלש	גלש	יגלש	גולש	-
גמגם	גמגם	יגמגם	מגמגם	-
גמל	גמל	יגמול	גומל	לגמול
גמר	גמר	יגמור	גומר	לגמור
גנב	גנב	יגנוב	גונב	לגנוב
גנז	גנז	יגנוז	גונז	לגנוז
גנן	גנן	יגנן	גונן	-
גר	גר	יגור	גר	לגור
גרב	גרב	יגרוב	גורב	לגרוב
גרם	גרם	יגרום	גורם	לגרום
גרס	גרס	יגרס	גורס	-
גרף	גרף	יגרף	גורף	-
גרר	גרר	יגרור	גורר	לגרור
גשר	גשר	יגשר	גושר	-
ג׳ונרט	ג׳נרט	יג׳נרט	מג׳נרט	-
דאב	דאב	ידאב	דואב	-
דאג	דאג	ידאג	דואג	לדאוג
דאה	דאה	ידאה	דואה	לדאות
דבלל	דבלל	ידבלל	מדבלל	-
דבק	דבק	ידבק	דובק	לדבוק
דג	דג	ידוג	דג	לדוג
דגדג	דגדג	ידגדג	מדגדג	-
דהר	דהר	ידהר	דוהר	-
דובר	דובר	ידובר	מדובר	-
דוכא	דוכא	ידוכא	מדוכא	-
דוכדך	דוכדך	ידוכדך	מדוכדך	-
דומה	דמה	ידמה	מדמה	-
דחה	דחה	ידחה	דוחה	לדחות
דחס	דחס	ידחס	דוחס	-
דחף	דחף	ידחוף	דוחף	לדחוף
דיבר	דיבר	ידבר	מדבר	לדבר
דיגדג	דיגדג	ידגדג	מדגדג	לדגדג
דיגל	דיגל	ידגל	מדגל	לדגל
דיווח	דוח	ידוח	מדוח	-
דיכא	דיכא	ידכא	מדכא	לדכא
דיכדך	דיכדך	ידכדך	מדכדך	לדכדך
דילל	דלל	ידלל	מדלל	-
דימה	דמה	ידמה	מדמה	-
דימם	דימם	ידמם	מדמם	לדמם
דכדך	דכדך	ידכדך	מדכדך	-
דלה	דלה	ידלה	דולה	לדלות
דלף	דלף	ידלף	דולף	-
דלק	דלק	ידלק	דולק	-
דמה	דמה	ידמה	דומה	לדמות
דמיין	דמיין	ידמיין	מדמיין	-
דמם	דמם	ידם	דומם	-
דמע	דמע	ידמע	דומע	-
דן	דן	ידון	דן	לדון
דעך	דעך	ידעך	דועך	-
דפדף	דפדף	ידפדף	מדפדף	-
דפס	דפס	ידפס	דופס	-
דפק	דפק	ידפוק	דופק	לדפוק
דקלם	דקלם	ידקלם	מדקלם	-
דקר	דקר	ידקור	דוקר	לדקור
דר	דר	ידור	דר	לדור
דרדר	דרדר	ידרדר	מדרדר	-
דרך	דרך	ידרוך	דורך	לדרוך
דרס	דרס	ידרוס	דורס	לדרוס
דרש	דרש	ידרוש	דורש	לדרוש
דש	דש	ידוש	דש	לדוש
דשא	דשא	ידשא	דושא	-
האביס	האביס	יאביס	מאביס	להאביס
האביר	האביר	יאביר	מאביר	-
האדים	האדים	יאדים	מאדים	-
האזין	האזין	יאזין	מאזין	-
האחיד	האחיד	יאחיד	מאחיד	-
האט	האט	יאט	מאט	להאט
האיץ	האיץ	יאיץ	מאיץ	להאיץ
האיר	האיר	יאיר	מאיר	להאיר
האמין	האמין	יאמין	מאמין	להאמין
האמיר	האמיר	יאמיר	מאמיר	-
האריך	האריך	יאריך	מאריך	-
האשים	האשים	יאשים	מאשים	-
הבאיש	הבאיש	יבאיש	מבאיש	-
הבדיל	הבדיל	יבדיל	מבדיל	להבדיל
הבהיר	הבהיר	יבהיר	מבהיר	להבהיר
הבטיח	הבטיח	יבטיח	מבטיח	להבטיח
הביא	הביא	יביא	מביא	להביא
הביט	הביט	יביט	מביט	להביט
הביך	הביך	יביך	מביך	-
הבין	הבין	יבין	מבין	להבין
הביס	הביס	יביס	מביס	להביס
הביע	הביע	יביע	מביע	-
הבליט	הבליט	יבליט	מבליט	-
הבליע	הבליע	יבליע	מבליע	להבליע
הבנה	הבנה	יבנה	מבנה	-
הבעיר	הבעיר	יבעיר	מבעיר	-
הבקיע	הבקיע	יבקיע	מבקיע	-
הבריא	הבריא	יבריא	מבריא	-
