# Armenian irregular verbs.
#
# Mined from the UniMorph ∩ uniparser agreement for the lemmas the
# rule engine misses (empty-table capture,
# scripts/hye/capture_irregulars.sh), plus the core irregulars of
# scripts/hye/manual.tsv, which UniMorph hye does not list.
# Regenerate: python3 scripts/hye/mine_verbs.py
#
# aor is the aorist stem; aorset picks its endings — 1 for
# -ի/-իր/-∅/-ինք/-իք/-ին (գրեցի, գրեց), 2 for -ա/-ար/-ավ/-անք/
# -աք/-ան (եկա, եկավ), 3 for the causatives' mixed -ի/-իր/-եց
# (հասցրի, հասցրեց). A `-` cell falls through to the rule.
# lemma	ipfv	perf	aor	aorset	imp_sg	imp_pl	sub	pass	caus
անել	-	ար	արեց	1	արա	արեք	-	-	-
անցնել	-	անց	անց	2	անցիր	անցեք	-	-	-
առնել	-	առ	առ	2	առ	առեք	-	-	-
ասել	-	-	ասաց	1	ասա	ասացեք	-	-	-
բառնալ	բառնում	բարձ	բարձեց	1	բարձիր	բարձեք	բարձ	-	բարձնել
բերել	-	-	-	-	բեր	-	-	-	-
բուծանել	բուծանում	բուծան	բուծանեց	1	բուծանիր	բուծանեք	բուծան	-	-
գալ	գալիս	եկ	եկ	2	արի	եկեք	-	-	-
գտնել	-	գտ	գտ	2	գտիր	գտեք	-	-	-
դառնալ	-	դարձ	դարձ	2	դարձիր	դարձեք	-	-	դարձնել
դնել	-	դր	դրեց	1	դիր	դրեք	-	-	-
ելնել	-	ել	ել	2	ելիր	ելեք	-	-	-
երթալ	երթում	գնաց	գնաց	1	երթա	գնացեք	գնաց	-	գնացնել
էթալ	էթում	գնաց	գնաց	1	էթա	գնացեք	գնաց	-	գնացնել
էղնել	էղնում	էղ	էղ	2	էղիր	էղեք	էղն	-	-
ընգնել	ընգնում	ընգ	ընգ	2	ընգիր	ընգեք	ընգն	-	-
ընկնել	-	ընկ	ընկ	2	ընկիր	ընկեք	-	-	-
թողնել	-	թող	թողեց	1	թող	թողեք	-	-	-
թռնել	թռնում	թռ	թռ	2	թռիր	թռեք	թռն	-	թռցնել
թռչել	-	թռ	թռ	2	թռիր	թռեք	-	-	թռցնել
իջնել	-	իջ	իջ	2	իջիր	իջեք	-	-	-
լալ	լալիս	-	-	-	-	-	-	-	-
լինել	-	եղ	եղ	2	եղիր	եղեք	-	-	-
լվանալ	լվանում	լվաց	լվաց	1	լվա	լվացեք	լվաց	-	լվացնել
խոպոպանալ	խոպոպանում	խոպոպաց	խոպոպաց	2	խոպոպացիր	խոպոպացեք	խոպոպաց	-	խոպոպացնել
կալնել	կալնում	կալ	կալ	2	կալիր	կալեք	կալն	կալնվել	-
հագնել	-	հագ	հագ	2	հագիր	հագեք	-	-	հագցնել
համենալ	համենում	համեց	համեց	2	համեցիր	համեցեք	համեց	-	համեցնել
հասնել	-	հաս	հաս	2	հասիր	հասեք	-	-	հասցնել
հատնել	հատնում	հատ	հատ	2	հատիր	հատեք	հատն	-	-
հելնել	հելնում	հել	հել	2	հելիր	հելեք	հելն	-	հելցնել
հեծնել	հեծնում	հեծ	հեծ	2	հեծիր	հեծեք	հեծն	հեծնվել	-
մեռնել	-	մեռ	մեռ	2	մեռիր	մեռեք	-	-	-
մտնել	-	մտ	մտ	2	մտիր	մտեք	-	-	մտցնել
ուտել	-	կեր	կեր	2	կեր	կերեք	-	-	-
պագնել	պագնում	պագ	պագ	2	պագիր	պագեք	պագն	պագնվել	-
վերադառնալ	վերադառնում	վերադարձ	վերադարձ	2	վերադարձիր	վերադարձեք	վերադարձ	-	վերադարձնել
տալ	տալիս	տվ	տվեց	1	տուր	տվեք	-	-	-
տանել	-	տար	տար	2	տար	տարեք	-	-	-
տենալ	տենում	տես	տես	2	-	տեսեք	տես	-	տեսնել
տեսնել	-	տես	տես	2	տես	տեսեք	-	-	-
փախնել	փախնում	փախ	փախ	2	փախիր	փախեք	փախն	-	փախցնել
