# Icelandic irregular verbs — mined from BÍN gold (∩ kaikki where
# they agree). Base lemmas; prefixed derivatives match by suffix
# unless the base is exact-only (col 9). A '-' tense falls through
# to the ō-class rule engine.
# Regenerate: python3 scripts/isl/mine_verbs.py
# lemma	pres	past	subjpres	subjpast	supine	presp	imp2	imp2pl	exact
DNA-greina	DNA-greini,DNA-greinir,DNA-greinir,DNA-greinum,DNA-greinið,DNA-greina	DNA-greindi,DNA-greindir,DNA-greindi,DNA-greindum,DNA-greinduð,DNA-greindu	-	DNA-greindi,DNA-greindir,DNA-greindi,DNA-greindum,DNA-greinduð,DNA-greindu	DNA-greint	-	DNA-grein	-	-
abstraktgera	abstraktgeri,abstraktgerir,abstraktgerir,abstraktgerum,abstraktgerið,abstraktgera	abstraktgerði,abstraktgerðir,abstraktgerði,abstraktgerðum,abstraktgerðuð,abstraktgerðu	-	abstraktgerði,abstraktgerðir,abstraktgerði,abstraktgerðum,abstraktgerðuð,abstraktgerðu	abstraktgert	-	abstraktger	-	-
afbera	afber,afberð,afber,afberum,afberið,afbera	afbar,afbarst,afbar,afbárum,afbáruð,afbáru	-	afbæri,afbærir,afbæri,afbærum,afbæruð,afbæru	afborið	-	afber	-	-
afbrenna	afbrenn,afbrennir,afbrennir,afbrennum,afbrennið,afbrenna	afbrann,afbrannst,afbrann,afbrenndum,afbrennduð,afbrenndu	-	afbrenndi,afbrenndir,afbrenndi,afbrenndum,afbrennduð,afbrenndu	afbrennt	-	afbrenn	-	-
afeinhverfa	afeinhverfi,afeinhverfir,afeinhverfir,afeinhverfum,afeinhverfið,afeinhverfa	afeinhverfði,afeinhverfðir,afeinhverfði,afeinhverfðum,afeinhverfðuð,afeinhverfðu	-	afeinhverfði,afeinhverfðir,afeinhverfði,afeinhverfðum,afeinhverfðuð,afeinhverfðu	afeinhverft	-	-	-	-
affexa	affexi,affexir,affexir,affexum,affexið,affexa	affexti,affextir,affexti,affextum,affextuð,affextu	-	affexti,affextir,affexti,affextum,affextuð,affextu	affext	-	-	-	-
affæra	aftfæri,aftfærir,aftfærir,affærum,aftfærið,affæra	affærði,affærðir,affærði,affærðum,affærðuð,affærðu	aftfæri,aftfærir,aftfæri,affærum,aftfærið,aftfæri	affærði,affærðir,affærði,affærðum,affærðuð,affærðu	affært	-	-	-	1
afgelda	afgeldi,afgeldir,afgeldir,afgeldum,afgeldið,afgelda	afgelti,afgeltir,afgelti,afgeltum,afgeltuð,afgeltu	-	afgelti,afgeltir,afgelti,afgeltum,afgeltuð,afgeltu	afgelt	-	afgeld	-	-
afgera	afgeri,afgerir,afgerir,afgerum,afgerið,afgera	afgerði,afgerðir,afgerði,afgerðum,afgerðuð,afgerðu	-	afgerði,afgerðir,afgerði,afgerðum,afgerðuð,afgerðu	afgert	-	afger	-	-
afgreina	afgreini,afgreinir,afgreinir,afgreinum,afgreinið,afgreina	afgreindi,afgreindir,afgreindi,afgreindum,afgreinduð,afgreindu	-	afgreindi,afgreindir,afgreindi,afgreindum,afgreinduð,afgreindu	afgreint	-	-	-	-
