# lemma	auxiliary (default: avere)
abarrarsi	essere
abbacchiarsi	essere
abbacinarsi	essere
abbagliare	essere/avere
abbagliarsi	essere
abballottarsi	essere
abbaluginare	essere
abbaluginarsi	essere
abbandonarsi	essere
abbarbagliarsi	essere
abbarbarsi	essere
abbarbicarsi	essere
abbarrarsi	essere
abbaruffarsi	essere
abbassarsi	essere
abbastare	essere
abbattersi	essere
abbatuffolarsi	essere
abbellarsi	essere
abbellire	essere/avere
abbellirsi	essere
abbeverarsi	essere
abbicarsi	essere
abbigliarsi	essere
abbinarsi	essere
abbindolarsi	essere
abbioccarsi	essere
abbiosciare	essere
abbiosciarsi	essere
abbisciarsi	essere
abboccarsi	essere
abboffarsi	essere
abbonacciare	essere/avere
abbonacciarsi	essere
abbonarsi	essere
abbondare	essere/avere
abbonirsi	essere
abbottonarsi	essere
abbozzolarsi	essere
abbracciarsi	essere
abbrancarsi	essere
abbrividire	essere
abbronzarsi	essere
abbrumare	essere
abbrunarsi	essere
abbrunire	essere/avere
abbrustolirsi	essere
abbrutire	essere/avere
abbrutirsi	essere
abbruttire	essere/avere
abbruttirsi	essere
abbuffarsi	essere
abbuiare	essere/avere
abbuiarsi	essere
abilitarsi	essere
abissare	essere/avere
abituarsi	essere
abondare	essere/avere
abortire	essere/avere
accadere	essere
accagliarsi	essere
accalcarsi	essere
accaldarsi	essere
accalorarsi	essere
accamparsi	essere
accanirsi	essere
accaparrarsi	essere
accapigliarsi	essere
accapricciare	essere/avere
accarezzarsi	essere
accarnare	essere/avere
accartocciarsi	essere
accasarsi	essere
accascare	essere
accasciarsi	essere
accatarrare	essere
accattivarsi	essere
accavallarsi	essere
accecare	essere/avere
accecarsi	essere
accedere	essere/avere
accendersi	essere
accentrarsi	essere
accentuarsi	essere
accertarsi	essere
accestire	essere
accettarsi	essere
acchiapparsi	essere
acchiocciolarsi	essere
acciambellarsi	essere
accidere	essere/avere
accigliarsi	essere
accingersi	essere
acciocchire	essere/avere
accipigliarsi	essere
acciucchire	essere/avere
acciuffarsi	essere
acclimatarsi	essere
accoccolarsi	essere
accoccovarsi	essere
accodarsi	essere
accogliersi	essere
accollarsi	essere
accomiatarsi	essere
accommiatarsi	essere
accomodarsi	essere
accompagnarsi	essere
acconciarsi	essere
acconfarsi	essere
accontentarsi	essere
accoppiarsi	essere
accorarsi	essere
