# Italian strong verbs: lemma <TAB> passato remoto 1sg <TAB> past participle.
# Suffix-matched (descrivere finds scrivere). Mined from the gold oracles.
accendere	accesi	acceso
accingere	accinsi	accinto
accludere	acclusi	accluso
accondiscendere	accondiscesi	accondisceso
accorrere	accorsi	accorso
addire	addissi	addetto
adergere	adersi	aderto
affiggere	affissi	affisso
affliggere	afflissi	afflitto
aggiungere	aggiunsi	aggiunto
alludere	allusi	alluso
ammettere	ammisi	ammesso
appendere	appesi	appeso
apprendere	appresi	appreso
ardere	arsi	arso
arridere	arrisi	arriso
ascendere	ascesi	asceso
ascondere	ascosi	ascosto
ascrivere	ascrissi	ascritto
aspergere	aspersi	asperguto
assumere	assunsi	assunto
assurgere	assursi	assurto
astringere	astrinsi	astringuto
attendere	attesi	atteso
attingere	attinsi	attinto
attorcere	attorsi	attorto
autodistruggere	autodistrussi	autodistrutto
avellere	avelsi	avelluto
avvincere	avvinsi	avvinto
avvolgere	avvolsi	avvolto
cadere	caddi	caduto
capovolgere	capovolsi	capovolto
chiedere	chiesi	chiesto
chiudere	chiusi	chiuso
cingere	cinsi	cinto
circoncidere	circoncisi	circonciso
circonfondere	circonfusi	circonfuso
circoscrivere	circoscrissi	circoscritto
coincidere	coincisi	coinciso
coinvolgere	coinvolsi	coinvolto
colludere	collusi	colluso
commettere	commisi	commesso
commuovere	commossi	commosso
compiangere	compiansi	compianto
comprendere	compresi	compreso
comprimere	compressi	compresso
compromettere	compromisi	compromesso
compungere	compunsi	compunto
conchiudere	conchiusi	conchiuso
concludere	conclusi	concluso
concorrere	concorsi	concorso
condiscendere	condiscesi	condisceso
condividere	condivisi	condiviso
configgere	confissi	confitto
confliggere	conflissi	conflitto
confondere	confusi	confuso
congiungere	congiunsi	congiunto
conoscere	conobbi	conosciuto
contendere	contesi	conteso
contorcere	contorsi	contorto
contraddistinguere	contraddistinsi	contraddistinto
contundere	contusi	contuso
convincere	convinsi	convinto
convivere	convissi	convissuto
correggere	corressi	corretto
correre	corsi	corso
corrispondere	corrisposi	corrisposto
corrodere	corrosi	corroso
corrompere	corruppi	corrotto
coscrivere	coscrissi	coscritto
cospargere	cosparsi	cosparso
costringere	costrinsi	costretto
crocefiggere	crocefissi	crocefisso
crocifiggere	crocifissi	crocifisso
dattiloscrivere	dattiloscrissi	dattiloscritto
decadere	decaddi	decaduto
decidere	decisi	deciso
decomprimere	decompressi	decompresso
decorrere	decorsi	decorso
defiggere	defissi	defisso
deludere	delusi	deluso
demordere	demorsi	demorso
deprimere	depressi	depresso
deridere	derisi	deriso
descrivere	descrissi	descritto
desumere	desunsi	desunto
detergere	detersi	deterguto
difendere	difesi	difeso
diffondere	diffusi	diffuso
diligere	dilessi	diletto
dimettere	dimisi	dimesso
dipendere	dipesi	dipeso
dipingere	dipinsi	dipinto
dirigere	diressi	diretto
dirompere	diruppi	dirotto
disattendere	disattesi	disatteso
discendere	discesi	disceso
dischiudere	dischiusi	dischiuso
discingere	discinsi	discinto
disciogliere	disciolsi	disciolto
disconoscere	disconobbi	disconosciuto
discorrere	discorsi	discorso
disgiungere	disgiunsi	disgiunto
disilludere	disillusi	disilluso
dismettere	dismisi	dismesso
dissuadere	dissuasi	dissuaso
distendere	distesi	disteso
distinguere	distinsi	distinto
distorcere	distorsi	distorto
distruggere	distrussi	distrutto
disvolere	disvolli	disvoluto
divellere	divelsi	divelto
dividere	divisi	diviso
effondere	effusi	effuso
eleggere	elessi	eletto
eludere	elusi	eluso
emergere	emersi	emerso
emettere	emisi	emesso
equivalere	equivalsi	equivalso
ergere	ersi	erto
erigere	eressi	eretto
erodere	erosi	eroso
erompere	eruppi	eromputo
escludere	esclusi	escluso
espellere	espulsi	espulso
esplodere	esplosi	esploso
esprimere	espressi	espresso
espungere	espunsi	espunto
estendere	estesi	esteso
estinguere	estinsi	estinto
estorcere	estorsi	estorto
estromettere	estromisi	estromesso
estrudere	estrusi	estruso
evadere	evasi	evaso
evincere	evinsi	evinto
figgere	fissi	fitto
fingere	finsi	finto
fondere	fusi	fuso
fraintendere	fraintesi	frainteso
frammettere	frammisi	frammesso
frangere	fransi	franto
friggere	frissi	fritto
fulgere	fulsi	fulguto
fungere	funsi	funto
giungere	giunsi	giunto
illudere	illusi	illuso
immergere	immersi	immerso
immettere	immisi	immesso
imprendere	impresi	impreso
imprimere	impressi	impresso
incidere	incisi	inciso
includere	inclusi	incluso
incorrere	incorsi	incorso
indulgere	indulsi	indulto
infiggere	infissi	infisso
infingere	infinsi	infinto
infliggere	inflissi	inflitto
infondere	infusi	infuso
inframmettere	inframmisi	inframmesso
infrangere	infransi	infranto
ingiungere	ingiunsi	ingiunto
inscrivere	inscrissi	inscritto
insorgere	insorsi	insorto
intendere	intesi	inteso
intercorrere	intercorsi	intercorso
interrompere	interruppi	interrotto
intingere	intinsi	intinto
intraprendere	intrapresi	intrapreso
intravedere	intravidi	intraveduto
intravvedere	intravvidi	intravveduto
intridere	intrisi	intriso
intromettere	intromisi	intromesso
intrudere	intrusi	intruso
invadere	invasi	invaso
invalere	invalsi	invalso
involgere	involsi	involto
irridere	irrisi	irriso
irrompere	irruppi	irromputo
iscrivere	iscrissi	iscritto
ledere	lesi	leso
leggere	lessi	letto
manomettere	manomisi	manomesso
mingere	minsi	minguto
misconoscere	misconobbi	misconosciuto
mordere	morsi	morso
mungere	munsi	munto
muovere	mossi	mosso
nascere	nacqui	nato
nascondere	nascosi	nascoso
negligere	neglessi	negliguto
nuocere	nocqui	nociuto
occludere	occlusi	occluso
occorrere	occorsi	occorso
offendere	offesi	offeso
omettere	omisi	omesso
opprimere	oppressi	oppresso
ottundere	ottusi	ottuso
percorrere	percorsi	percorso
percuotere	percossi	percosso
permanere	permansi	permanuto
permettere	permisi	permesso
