# Italian irregular lexicon. A trailing + on the lemma means suffix
# match (porre+ catches comporre); otherwise exact.
# Columns, "-" = derive:
#   lemma pres1..6 subj6(comma) pr6(comma) fut_stem pp impf6 ger imp2
fare	faccio	fai	fa	facciamo	fate	fanno	faccia,faccia,faccia,facciamo,facciate,facciano	feci,facesti,fece,facemmo,faceste,fecero	far	fatto	facevo,facevi,faceva,facevamo,facevate,facevano	facendo	fai
essere	sono	sei	è	siamo	siete	sono	sia,sia,sia,siamo,siate,siano	fui,fosti,fu,fummo,foste,furono	sar	stato	ero,eri,era,eravamo,eravate,erano	essendo	sii
avere	ho	hai	ha	abbiamo	avete	hanno	abbia,abbia,abbia,abbiamo,abbiate,abbiano	ebbi,avesti,ebbe,avemmo,aveste,ebbero	avr	avuto	-	-	abbi
dare	do	dai	dà	diamo	date	danno	dia,dia,dia,diamo,diate,diano	diedi,desti,diede,demmo,deste,diedero	dar	dato	-	-	dai
stare	sto	stai	sta	stiamo	state	stanno	stia,stia,stia,stiamo,stiate,stiano	stetti,stesti,stette,stemmo,steste,stettero	star	stato	-	-	stai
andare	vado	vai	va	andiamo	andate	vanno	vada,vada,vada,andiamo,andiate,vadano	andai,andasti,andò,andammo,andaste,andarono	andr	andato	-	-	vai
dire	dico	dici	dice	diciamo	dite	dicono	dica,dica,dica,diciamo,diciate,dicano	dissi,dicesti,disse,dicemmo,diceste,dissero	dir	detto	dicevo,dicevi,diceva,dicevamo,dicevate,dicevano	dicendo	di'
bere	bevo	bevi	beve	beviamo	bevete	bevono	beva,beva,beva,beviamo,beviate,bevano	bevvi,bevesti,bevve,bevemmo,beveste,bevvero	berr	bevuto	bevevo,bevevi,beveva,bevevamo,bevevate,bevevano	bevendo	bevi
venire+	vengo	vieni	viene	veniamo	venite	vengono	venga,venga,venga,veniamo,veniate,vengano	venni,venisti,venne,venimmo,veniste,vennero	verr	venuto	-	-	vieni
tenere+	tengo	tieni	tiene	teniamo	tenete	tengono	tenga,tenga,tenga,teniamo,teniate,tengano	tenni,tenesti,tenne,tenemmo,teneste,tennero	terr	tenuto	-	-	tieni
volere	voglio	vuoi	vuole	vogliamo	volete	vogliono	voglia,voglia,voglia,vogliamo,vogliate,vogliano	volli,volesti,volle,volemmo,voleste,vollero	vorr	voluto	-	-	vogli
potere	posso	puoi	può	possiamo	potete	possono	possa,possa,possa,possiamo,possiate,possano	potei,potesti,poté,potemmo,poteste,poterono	potr	potuto	-	-	-
dovere	devo	devi	deve	dobbiamo	dovete	devono	debba,debba,debba,dobbiamo,dobbiate,debbano	dovetti,dovesti,dovette,dovemmo,doveste,dovettero	dovr	dovuto	-	-	-
sapere	so	sai	sa	sappiamo	sapete	sanno	sappia,sappia,sappia,sappiamo,sappiate,sappiano	seppi,sapesti,seppe,sapemmo,sapeste,seppero	sapr	saputo	-	-	sappi
uscire+	esco	esci	esce	usciamo	uscite	escono	esca,esca,esca,usciamo,usciate,escano	uscii,uscisti,uscì,uscimmo,usciste,uscirono	uscir	uscito	-	-	esci
morire	muoio	muori	muore	moriamo	morite	muoiono	muoia,muoia,muoia,moriamo,moriate,muoiano	morii,moristi,morì,morimmo,moriste,morirono	morir	morto	-	-	muori
premorire	premuoio	premuori	premuore	premoriamo	premorite	premuoiono	premuoia,premuoia,premuoia,premoriamo,premoriate,premuoiano	premorii,premoristi,premorì,premorimmo,premoriste,premorirono	premorir	premorto	-	-	premuori
rimanere	rimango	rimani	rimane	rimaniamo	rimanete	rimangono	rimanga,rimanga,rimanga,rimaniamo,rimaniate,rimangano	rimasi,rimanesti,rimase,rimanemmo,rimaneste,rimasero	rimarr	rimasto	-	-	rimani
porre+	pongo	poni	pone	poniamo	ponete	pongono	ponga,ponga,ponga,poniamo,poniate,pongano	posi,ponesti,pose,ponemmo,poneste,posero	porr	posto	ponevo,ponevi,poneva,ponevamo,ponevate,ponevano	ponendo	poni
trarre+	traggo	trai	trae	traiamo	traete	traggono	tragga,tragga,tragga,traiamo,traiate,traggano	trassi,traesti,trasse,traemmo,traeste,trassero	trarr	tratto	traevo,traevi,traeva,traevamo,traevate,traevano	traendo	trai
