# lemma(infinitive)	V;AOR;1;SG	V;AOR;2;SG;INFM	V;AOR;2;SG;FORM	V;AOR;3;SG	V;AOR;1;PL	V;AOR;2;PL;INFM	V;AOR;2;PL;FORM	V;AOR;3;PL	V;PST;1;SG	V;PST;2;SG;INFM	V;PST;2;SG;FORM	V;PST;3;SG	V;PST;1;PL	V;PST;2;PL;INFM	V;PST;2;PL;FORM	V;PST;3;PL	V;FUT;1;SG	V;FUT;2;SG;INFM	V;FUT;2;SG;FORM	V;FUT;3;SG	V;FUT;1;PL	V;FUT;2;PL;INFM	V;FUT;2;PL;FORM	V;FUT;3;PL	V;IMP;2;SG	V;IMP;2;SG;FORM	V;IMP;2;PL	V;NFIN
ару	аримын	арисың	арисыз	ариды	аримыз	арисыңдар	арисыздар	ариды	арыдым	арыдың	арыдыңыз	арыды	арыдық	арыдыңдар	арыдыңыздар	арыды	арырмын	арырсың	арырсыз	арыр	арырмыз	арырсыңдар	арырсыздар	арыр	-	-	-	-
балқу	балқимын	балқисың	балқисыз	балқиды	балқимыз	балқисыңдар	балқисыздар	балқиды	балқыдым	балқыдың	балқыдыңыз	балқыды	балқыдық	балқыдыңдар	балқыдыңыздар	балқыды	балқырмын	балқырсың	балқырсыз	балқыр	балқырмыз	балқырсыңдар	балқырсыздар	балқыр	-	-	-	-
баулу	баулимын	баулисың	баулисыз	баулиды	баулимыз	баулисыңдар	баулисыздар	баулиды	баулыдым	баулыдың	баулыдыңыз	баулыды	баулыдық	баулыдыңдар	баулыдыңыздар	баулыды	баулырмын	баулырсың	баулырсыз	баулыр	баулырмыз	баулырсыңдар	баулырсыздар	баулыр	-	-	-	-
баю	байимын	байисың	байисыз	байиды	байимыз	байисыңдар	байисыздар	байиды	байыдым	байыдың	байыдыңыз	байыды	байыдық	байыдыңдар	байыдыңыздар	байыды	байырмын	байырсың	байырсыз	байыр	байырмыз	байырсыңдар	байырсыздар	байыр	-	-	-	-
беку	бекимін	бекисің	бекисіз	бекиді	бекиміз	бекисіңдер	бекисіздер	бекиді	бекідім	бекідің	бекідіңіз	бекіді	бекідік	бекідіңдер	бекідіңіздер	бекіді	бекірмін	бекірсің	бекірсіз	бекір	бекірміз	бекірсіңдер	бекірсіздер	бекір	-	-	-	-
даму	дамимын	дамисың	дамисыз	дамиды	дамимыз	дамисыңдар	дамисыздар	дамиды	дамыдым	дамыдың	дамыдыңыз	дамыды	дамыдық	дамыдыңдар	дамыдыңыздар	дамыды	дамырмын	дамырсың	дамырсыз	дамыр	дамырмыз	дамырсыңдар	дамырсыздар	дамыр	-	-	-	-
есту	естимін	естисің	естисіз	естиді	естиміз	естисіңдер	естисіздер	естиді	естідім	естідің	естідіңіз	естіді	естідік	естідіңдер	естідіңіздер	естіді	естірмін	естірсің	естірсіз	естір	естірміз	естірсіңдер	естірсіздер	естір	-	-	-	-
жоспарлау	жоспараймын	жоспарайсың	жоспарайсыз	жоспарайды	жоспараймыз	жоспарайсыңдар	жоспарайсыздар	жоспарайды	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
зеку	зекимін	зекисің	зекисіз	зекиді	зекиміз	зекисіңдер	зекисіздер	зекиді	зекідім	зекідің	зекідіңіз	зекіді	зекідік	зекідіңдер	зекідіңіздер	зекіді	зекірмін	зекірсің	зекірсіз	зекір	зекірміз	зекірсіңдер	зекірсіздер	зекір	-	-	-	-
кию	киемін	киесің	киесіз	киеді	киеміз	киесіңдер	киесіздер	киеді	кидім	кидің	кидіңіз	киді	кидік	кидіңдер	кидіңіздер	киді	киермін	киерсің	киерсіз	киер	киерміз	киерсіңдер	киерсіздер	киер	-	-	-	-
