# lemma(infinitive)	V;NFIN	V;IND;PRS;SG;1	V;IND;PRS;SG;2	V;IND;PRS;SG;3	V;IND;PRS;PL;1	V;IND;PRS;PL;2	V;IND;PRS;PL;3	V;IMP;2;SG	V;IMP;2;PL	V.PTCP;PST
abeezen	-	-	-	-	-	-	-	-	-	agebeezt
abejéieren	-	-	-	-	-	-	-	-	-	geabejéiert
aberuffen	-	-	-	-	-	-	-	-	-	aberuff
abezuelen	-	-	-	-	-	-	-	-	-	abezuelt
abierden	-	-	-	-	-	-	-	-	-	agebiert
abiergeren	-	-	-	-	-	-	-	-	-	agebiergert
abilden	-	-	-	-	-	-	-	-	-	agebilt
abitéieren	-	-	-	-	-	-	-	-	-	geabitéiert
abriechen	-	-	-	-	-	-	-	-	-	agebrach
abrocken	-	-	-	-	-	-	-	-	-	agebrockt
abréngen	-	-	-	-	-	-	-	-	-	abruecht
abuddelen	-	-	-	-	-	-	-	-	-	agebuddelt
abäerden	-	-	-	-	-	-	-	-	-	agebäert
abéissen	-	-	-	-	-	-	-	-	-	agebéisst
afaassen	-	-	-	-	-	-	-	-	-	agefaasst
afalen	-	-	-	-	-	-	-	-	-	agefall
afen	-	-	aafs	aaft	-	aaft	-	-	aaft	geaaft
afetten	-	-	-	-	-	-	-	-	-	agefett
afierwen	-	-	-	-	-	-	-	-	-	agefierft
afriessen	-	-	-	-	-	-	-	-	-	agefriess
afänken	-	-	-	-	-	-	-	-	-	agefaang
aféieren	-	-	-	-	-	-	-	-	-	ageféiert
afëllen	-	-	-	-	-	-	-	-	-	agefëllt
agesinn	agesinn	-	-	-	-	-	-	-	-	agesinn
agestoen	-	-	-	-	-	-	-	-	-	agestan
aglidderen	-	-	-	-	-	-	-	-	-	agegliddert
agoen	-	-	-	-	-	-	-	-	-	agaang
agräifen	-	-	-	-	-	-	-	-	-	agegraff
agéissen	-	-	-	-	-	-	-	-	-	agegoss
akafen	-	-	-	-	-	-	-	-	-	akaaft
aklemmen	-	-	-	-	-	-	-	-	-	ageklemmt
aknécken	-	-	-	-	-	-	-	-	-	ageknéckt
aleeën	-	-	-	-	-	-	-	-	-	ageluecht
aliichten	-	-	-	-	-	-	-	-	-	ageliicht
aloggen	-	-	-	-	-	-	-	-	-	ageloggt
amaachen	-	-	-	-	-	-	-	-	-	agemaach
