# Macedonian mined principal parts, from the apertium-mkd ∩ UniMorph agreement (stress stripped). Columns: lemma, prs1sg..3pl, impf1sg..3pl, lp_masc/fem/neut/pl, imp2sg, imp2pl, pass, converb, vnoun.
# '-' = the productive rule in src/mkd.rs; '|' separates variants.
бае	-	-	-	-	-	-	-	-	-	-	-	баеја	-	-	-	-	бај	бајте	-	-	-
беснее	-	-	-	-	-	-	-	-	-	-	-	беснееја	-	-	-	-	беснеј	беснејте	-	-	-
бледнее	-	-	-	-	-	-	-	-	-	-	-	бледнееја	-	-	-	-	бледнеј	бледнејте	-	-	-
блее	-	-	-	-	-	-	-	-	-	-	-	блееја	-	-	-	-	блеј	блејте	-	-	-
блуе	блујам	-	-	-	-	блујат	-	-	-	-	-	блуеја	-	-	-	-	блуј	блујте	-	-	-
брани	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	бранет	-	-
брои	бројам	-	-	-	-	бројат	-	-	-	-	-	броеја	-	-	-	-	број	бројте	-	-	-
венее	-	-	-	-	-	-	-	-	-	-	-	венееја	-	-	-	-	венеј	венејте	-	-	-
владее	-	-	-	-	-	-	-	-	-	-	-	владееја	-	-	-	-	владеј	владејте	-	-	-
влее	-	-	-	-	-	-	-	-	-	-	-	влееја	-	-	-	-	влеј	влејте	влеан	-	-
влијае	-	-	-	-	-	-	-	-	-	-	-	влијаеја	-	-	-	-	влијај	влијајте	-	-	-
воспее	-	-	-	-	-	-	-	-	-	-	-	воспееја	-	-	-	-	воспеј	воспејте	воспеан	-	-
впие	впијам	впииш	впии	впииме	впиите	впијат	-	-	-	-	-	впиеја	-	-	-	-	впиј	впијте	-	-	-
врие	вријам	-	-	-	-	вријат	-	-	-	-	-	вриеја	-	-	-	-	вриј	вријте	-	-	-
грее	-	-	-	-	-	-	-	-	-	-	-	грееја	-	-	-	-	греј	грејте	-	-	-
гувее	-	-	-	-	-	-	-	-	-	-	-	гувееја	-	-	-	-	гувеј	гувејте	-	-	-
даде	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	дај	дајте	-	-	-
дебелее	-	-	-	-	-	-	-	-	-	-	-	дебелееја	-	-	-	-	дебелеј	дебелејте	-	-	-
добие	добијам	-	-	-	-	добијат	-	-	-	-	-	добиеја	-	-	-	-	добиј	добијте	-	-	-
добои	добојам	-	-	-	-	добојат	-	-	-	-	-	добоеја	-	-	-	-	добој	добојте	-	-	-
додаде	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	додај	додајте	-	-	-
доживее	-	-	-	-	-	-	-	-	-	-	-	доживееја	-	-	-	-	доживеј	доживејте	доживеан	-	-
дознае	-	-	-	-	-	-	-	-	-	-	-	дознаеја	-	-	-	-	дознај	дознајте	-	-	-
дои	дојам	-	-	-	-	дојат	-	-	-	-	-	доеја	-	-	-	-	дој	дојте	-	-	-
докаже	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	докажан	-	-
допее	-	-	-	-	-	-	-	-	-	-	-	допееја	-	-	-	-	допеј	допејте	допеан	-	-
допие	допијам	-	-	-	-	допијат	-	-	-	-	-	допиеја	-	-	-	-	допиј	допијте	-	-	-
допише	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	допишан	-	-
дораскаже	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	дораскажан	-	-
достигне	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	достигнат	-	-
живее	-	-	-	-	-	-	-	-	-	-	-	живееја	-	-	-	-	живеј	живејте	-	-	-
жнее	-	-	-	-	-	-	-	-	-	-	-	жнееја	-	-	-	-	жнеј	жнејте	-	-	-
забележи	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	забележан	-	-
забие	забијам	-	-	-	-	забијат	-	-	-	-	-	забиеја	-	-	-	-	забиј	забијте	-	-	-
забрани	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	забранет	-	-
загине	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	загинат	-	-
загнои	загнојам	-	-	-	-	загнојат	-	-	-	-	-	загноеја	-	-	-	-	загној	загнојте	-	-	-
загрее	-	-	-	-	-	-	-	-	-	-	-	загрееја	-	-	-	-	загреј	загрејте	загреан	-	-
зададе	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	задај	задајте	-	-	-
задржи	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	задржан	-	-
заживее	-	-	-	-	-	-	-	-	-	-	-	заживееја	-	-	-	-	заживеј	заживејте	-	-	-
закаже	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	закажан	-	-
залае	-	-	-	-	-	-	-	-	-	-	-	залаеја	-	-	-	-	залај	залајте	-	-	-
залие	залијам	-	-	-	-	залијат	-	-	-	-	-	залиеја	-	-	-	-	залиј	залијте	-	-	-
замени	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	заменет	-	-
замие	замијам	-	-	-	-	замијат	-	-	-	-	-	замиеја	-	-	-	-	замиј	замијте	-	-	-
замине	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	заминат	-	-
замрзне	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	замрзнат	-	-
запее	-	-	-	-	-	-	-	-	-	-	-	запееја	-	-	-	-	запеј	запејте	запеан	-	-
заплени	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	запленет	-	-
запознае	-	-	-	-	-	-	-	-	-	-	-	запознаеја	-	-	-	-	запознај	запознајте	-	-	-
зарасне	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	зараснат	-	-
зарие	заријам	-	-	-	-	заријат	-	-	-	-	-	зариеја	-	-	-	-	зариј	заријте	-	-	-
застане	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	застанат	-	-
затруе	затрујам	-	-	-	-	затрујат	-	-	-	-	-	затруеја	-	-	-	-	затруј	затрујте	-	-	-
зашие	зашијам	-	-	-	-	зашијат	-	-	-	-	-	зашиеја	-	-	-	-	зашиј	зашијте	-	-	-
збие	збијам	-	-	-	-	збијат	-	-	-	-	-	збиеја	-	-	-	-	збиј	збијте	-	-	-
згои	згојам	-	-	-	-	згојат	-	-	-	-	-	згоеја	-	-	-	-	згој	згојте	-	-	-
згрее	-	-	-	-	-	-	-	-	-	-	-	згрееја	-	-	-	-	згреј	згрејте	згреан	-	-
знае	знам	-	-	-	-	-	-	-	-	-	-	знаеја	-	-	-	-	знај	знајте	-	-	-
избегне	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	избегнат	-	-
избере	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	избран	-	-
избие	избијам	-	-	-	-	избијат	-	-	-	-	-	избиеја	-	-	-	-	избиј	избијте	-	-	-
изгние	изгнијам	-	-	-	-	изгнијат	-	-	-	-	-	изгниеја	-	-	-	-	изгниј	изгнијте	-	-	-
издаде	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	издај	издајте	-	-	-
