# Dutch irregular verbs — mined from the kaikki ∩ Apertium agreement,
# restricted to the lemmas the rule engine misses (empty-lexicon capture,
# scripts/nld/capture_irregulars.sh). Exact match.
# Regenerate: python3 scripts/nld/mine_verbs.py
# lemma	stem	pres	past_sg	past_pl	pp	imp	prespart
aanbidden	aanbid	aanbid,aanbidt,aanbidt,aanbidden,aanbidden,aanbidden	aanbad	aanbaden	aanbeden	aanbid	aanbiddend
aanschouwen	aanschouw	aanschouw,aanschouwt,aanschouwt,aanschouwen,aanschouwen,aanschouwen	aanschouwde	aanschouwden	aanschouwd	aanschouw	aanschouwend
aanvaarden	aanvaard	aanvaard,aanvaardt,aanvaardt,aanvaarden,aanvaarden,aanvaarden	aanvaardde	aanvaardden	aanvaard	aanvaard	aanvaardend
achterhalen	achterhaal	achterhaal,achterhaalt,achterhaalt,achterhalen,achterhalen,achterhalen	achterhaalde	achterhaalden	achterhaald	achterhaal	achterhalend
achtervolgen	achtervolg	achtervolg,achtervolgt,achtervolgt,achtervolgen,achtervolgen,achtervolgen	achtervolgde	achtervolgden	achtervolgd	achtervolg	achtervolgend
alpineskiën	alpineski	alpineski,alpineskiet,alpineskiet,alpineskiën,alpineskiën,alpineskiën	alpineskiede	alpineskieden	gealpineskied	alpineski	alpineskiënd
ambiëren	ambieer	ambieer,ambieert,ambieert,ambiëren,ambiëren,ambiëren	ambieerde	ambieerden	geambieerd	ambieer	ambiërend
ankeren	anker	anker,ankert,ankert,ankeren,ankeren,ankeren	ankerde	ankerden	geankerd	anker	ankerend
associëren	associeer	associeer,associeert,associeert,associëren,associëren,associëren	associeerde	associeerden	geassocieerd	associeer	associërend
baggeren	bagger	bagger,baggert,baggert,baggeren,baggeren,baggeren	baggerde	baggerden	gebaggerd	bagger	baggerend
bakeren	baker	baker,bakert,bakert,bakeren,bakeren,bakeren	bakerde	bakerden	gebakerd	baker	bakerend
bakken	bak	bak,bakt,bakt,bakken,bakken,bakken	bakte	bakten	gebakken	bak	bakkend
barbecuen	barbecue	barbecue,barbecuet,barbecuet,barbecuen,barbecuen,barbecuen	barbecuede	barbecueden	gebarbecued	barbecue	barbecuend
barbecueën	barbecue	barbecue,barbecuet,barbecuet,barbecueën,barbecueën,barbecueën	barbecuede	barbecueden	gebarbecued	barbecue	barbecueënd
barsten	barst	barst,barst,barst,barsten,barsten,barsten	barstte	barstten	gebarsten	barst	barstend
beangstigen	beangstig	beangstig,beangstigt,beangstigt,beangstigen,beangstigen,beangstigen	beangstigde	beangstigden	beangstigd	beangstig	beangstigend
becijferen	becijfer	becijfer,becijfert,becijfert,becijferen,becijferen,becijferen	becijferde	becijferden	becijferd	becijfer	becijferend
bedelen	bedel	bedel,bedelt,bedelt,bedelen,bedelen,bedelen	bedelde	bedelden	gebedeld	bedel	bedelend
bedelven	bedelf	bedelf,bedelft,bedelft,bedelven,bedelven,bedelven	bedolf	bedolven	bedolven	bedelf	bedelvend
bedenken	bedenk	bedenk,bedenkt,bedenkt,bedenken,bedenken,bedenken	bedacht	bedachten	bedacht	bedenk	bedenkend
bederven	bederf	bederf,bederft,bederft,bederven,bederven,bederven	bedierf	bedierven	bedorven	bederf	bedervend
bedingen	beding	beding,bedingt,bedingt,bedingen,bedingen,bedingen	bedong	bedongen	bedongen	beding	bedingend
bedonderen	bedonder	bedonder,bedondert,bedondert,bedonderen,bedonderen,bedonderen	bedonderde	bedonderden	bedonderd	bedonder	bedonderend
bedragen	bedraag	bedraag,bedraagt,bedraagt,bedragen,bedragen,bedragen	bedroeg	bedroegen	bedragen	bedraag	bedragend
bedriegen	bedrieg	bedrieg,bedriegt,bedriegt,bedriegen,bedriegen,bedriegen	bedroog	bedrogen	bedrogen	bedrieg	bedriegend
bedrijven	bedrijf	bedrijf,bedrijft,bedrijft,bedrijven,bedrijven,bedrijven	bedreef	bedreven	bedreven	bedrijf	bedrijvend
bedwingen	bedwing	bedwing,bedwingt,bedwingt,bedwingen,bedwingen,bedwingen	bedwong	bedwongen	bedwongen	bedwing	bedwingend
beeldhouwen	beeldhouw	beeldhouw,beeldhouwt,beeldhouwt,beeldhouwen,beeldhouwen,beeldhouwen	beeldhouwde	beeldhouwden	gebeeldhouwd	beeldhouw	beeldhouwend
beffen	bef	bef,beft,beft,beffen,beffen,beffen	befte	beften	gebeft	bef	beffend
begaan	bega	bega,begaat,begaat,begaan,begaan,begaan	beging	begingen	begaan	bega	begaand
begeven	begeef	begeef,begeeft,begeeft,begeven,begeven,begeven	begaf	begaven	begeven	begeef	begevend
begiftigen	begiftig	begiftig,begiftigt,begiftigt,begiftigen,begiftigen,begiftigen	begiftigde	begiftigden	begiftigd	begiftig	begiftigend
beginnen	begin	begin,begint,begint,beginnen,beginnen,beginnen	begon	begonnen	begonnen	begin	beginnend
begraven	begraaf	begraaf,begraaft,begraaft,begraven,begraven,begraven	begroef	begroeven	begraven	begraaf	begravend
begrijpen	begrijp	begrijp,begrijpt,begrijpt,begrijpen,begrijpen,begrijpen	begreep	begrepen	begrepen	begrijp	begrijpend
begunstigen	begunstig	begunstig,begunstigt,begunstigt,begunstigen,begunstigen,begunstigen	begunstigde	begunstigden	begunstigd	begunstig	begunstigend
behangen	behang	behang,behangt,behangt,behangen,behangen,behangen	behing	behingen	behangen	behang	behangend
behartigen	behartig	behartig,behartigt,behartigt,behartigen,behartigen,behartigen	behartigde	behartigden	behartigd	behartig	behartigend
behouden	behoud	behoud,behoudt,behoudt,behouden,behouden,behouden	behield	behielden	behouden	behoud	behoudend
bekijken	bekijk	bekijk,bekijkt,bekijkt,bekijken,bekijken,bekijken	bekeek	bekeken	bekeken	bekijk	bekijkend
bekken	bek	bek,bekt,bekt,bekken,bekken,bekken	bekte	bekten	gebekt	bek	bekkend
beklimmen	beklim	beklim,beklimt,beklimt,beklimmen,beklimmen,beklimmen	beklom	beklommen	beklommen	beklim	beklimmend
bekomen	bekom	bekom,bekomt,bekomt,bekomen,bekomen,bekomen	bekwam	bekwamen	bekomen	bekom	bekomend
bekommeren	bekommer	bekommer,bekommert,bekommert,bekommeren,bekommeren,bekommeren	bekommerde	bekommerden	bekommerd	bekommer	bekommerend
bekopen	bekoop	bekoop,bekoopt,bekoopt,bekopen,bekopen,bekopen	bekocht	bekochten	bekocht	bekoop	bekopend
bekostigen	bekostig	bekostig,bekostigt,bekostigt,bekostigen,bekostigen,bekostigen	bekostigde	bekostigden	bekostigd	bekostig	bekostigend
bekrachtigen	bekrachtig	bekrachtig,bekrachtigt,bekrachtigt,bekrachtigen,bekrachtigen,bekrachtigen	bekrachtigde	bekrachtigden	bekrachtigd	bekrachtig	bekrachtigend
bekruipen	bekruip	bekruip,bekruipt,bekruipt,bekruipen,bekruipen,bekruipen	bekroop	bekropen	bekropen	bekruip	bekruipend
belasteren	belaster	belaster,belastert,belastert,belasteren,belasteren,belasteren	belasterde	belasterden	belasterd	belaster	belasterend
belazeren	belazer	belazer,belazert,belazert,belazeren,belazeren,belazeren	belazerde	belazerden	belazerd	belazer	belazerend
beledigen	beledig	beledig,beledigt,beledigt,beledigen,beledigen,beledigen	beledigde	beledigden	beledigd	beledig	beledigend
belegeren	beleger	beleger,belegert,belegert,belegeren,belegeren,belegeren	belegerde	belegerden	belegerd	beleger	belegerend
belemmeren	belemmer	belemmer,belemmert,belemmert,belemmeren,belemmeren,belemmeren	belemmerde	belemmerden	belemmerd	belemmer	belemmerend
belenen	beleen	beleen,beleent,beleent,belenen,belenen,belenen	beleende	beleenden	beleend	beleen	belenend
belezen	belees	belees,beleest,beleest,belezen,belezen,belezen	belas	belazen	belezen	belees	belezend
belijden	belijd	belijd,belijdt,belijdt,belijden,belijden,belijden	beleed	beleden	beleden	belijd	belijdend
bellen	bel	bel,belt,belt,bellen,bellen,bellen	belde	belden	gebeld	bel	bellend
belopen	beloop	beloop,beloopt,beloopt,belopen,belopen,belopen	beliep	beliepen	belopen	beloop	belopend
beluisteren	beluister	beluister,beluistert,beluistert,beluisteren,beluisteren,beluisteren	beluisterde	beluisterden	beluisterd	beluister	beluisterend
bemachtigen	bemachtig	bemachtig,bemachtigt,bemachtigt,bemachtigen,bemachtigen,bemachtigen	bemachtigde	bemachtigden	bemachtigd	bemachtig	bemachtigend
bemoedigen	bemoedig	bemoedig,bemoedigt,bemoedigt,bemoedigen,bemoedigen,bemoedigen	bemoedigde	bemoedigden	bemoedigd	bemoedig	bemoedigend
benadelen	benadeel	benadeel,benadeelt,benadeelt,benadelen,benadelen,benadelen	benadeelde	benadeelden	benadeeld	benadeel	benadelend
