# Norwegian Bokmål mined principal parts. Columns: lemma, present, past, past_participle, imperative, present_participle, present_passive.
# '-' = the productive default in src/nob.rs; '|' separates variants.
abandonere	-	abandonerte	abandonert	-	-	-
abbreviere	-	abbrevierte	abbreviert	-	-	-
abdisere	-	abdiserte	abdisert	-	-	-
abdusere	-	abduserte	abdusert	-	-	-
abolere	-	abolerte	abolert	-	-	-
abonnere	-	abonnerte	abonnert	-	-	-
abordere	-	aborderte	abordert	-	-	-
abortere	-	aborterte	abortert	-	-	-
absentere	-	absenterte	absentert	-	-	-
absoluttere	-	absolutterte	absoluttert	-	-	-
absolvere	-	absolverte	absolvert	-	-	-
absorbere	-	absorberte	absorbert	-	-	-
abstinere	-	abstinerte	abstinert	-	-	-
abstrahere	-	abstraherte	abstrahert	-	-	-
addere	-	adderte	addert	-	-	-
administrere	-	administrerte	administrert	-	-	-
adoptere	-	adopterte	adoptert	-	-	-
adressere	-	adresserte	adressert	-	-	-
adskille	-	adskilte	adskilt	-	-	-
advare	-	advarte	advart	-	-	-
advisere	-	adviserte	advisert	-	-	-
affektere	-	affekterte	affektert	-	-	-
ajourføre	-	ajourførte	ajourført	-	-	-
ajournere	-	ajournerte	ajournert	-	-	-
akklimatisere	-	akklimatiserte	akklimatisert	-	-	-
akkompagnere	-	akkompagnerte	akkompagnert	-	-	-
akselerere	-	akselererte	akselerert	-	-	-
akseptere	-	aksepterte	akseptert	-	-	-
aksjonere	-	aksjonerte	aksjonert	-	-	-
aktivere	-	aktiverte	aktivert	-	-	-
aktivisere	-	aktiviserte	aktivisert	-	-	-
alarmere	-	alarmerte	alarmert	-	-	-
albue	-	albua|albuet	albua|albuet	albu	-	-
alliere	-	allierte	alliert	-	-	-
allokere	-	allokerte	allokert	-	-	-
alternere	-	alternerte	alternert	-	-	-
amerikanisere	-	amerikaniserte	amerikanisert	-	-	-
amme	-	-	-	am	-	-
amputere	-	amputerte	amputert	-	-	-
analysere	-	analyserte	analysert	-	-	-
anbefale	-	anbefalte	anbefalt	-	-	-
ane	-	ante	ant	-	-	-
anerkjenne	-	anerkjente	anerkjent	-	-	-
angi	-	anga|angav	angitt	-	-	-
anglifisere	-	anglifiserte	anglifisert	-	-	-
angripe	-	angreip|angrep	angrepet	-	-	-
ankomme	-	ankom	-	ankom	-	-
anlegge	-	anla	anlagt	-	-	-
anløpe	-	anløp	-	-	-	-
anmelde	-	anmeldte	anmeldt	-	-	-
annektere	-	annekterte	annektert	-	-	-
annonsere	-	annonserte	annonsert	-	-	-
annullere	-	annullerte	annullert	-	-	-
anse	-	anså	ansett	anse	anseende	-
ansette	-	ansatte	ansatt	-	-	-
anslå	-	anslo	anslått	-	-	-
anstrenge	-	anstrengte	anstrengt	-	-	-
anta	-	antok	antatt	-	antakende	-
antenne	-	antente	antent	-	-	-
anvende	-	anvendte	anvendt	-	-	-
anvise	-	anviste	anvist	-	-	-
arbeidsbok	arbeider	arbeida|arbeidde|arbeidet	arbeida|arbeidd|arbeidet	arbeid	arbeidende	-
argumentere	-	argumenterte	argumentert	-	-	-
arkivere	-	arkiverte	arkivert	-	-	-
arrangere	-	arrangerte	arrangert	-	-	-
arrestere	-	arresterte	arrestert	-	-	-
artikulere	-	artikulerte	artikulert	-	-	-
asfaltere	-	asfalterte	asfaltert	-	-	-
assimilere	-	assimilerte	assimilert	-	-	-
assistere	-	assisterte	assistert	-	-	-
assosiere	-	assosierte	assosiert	-	-	-
atskille	-	atskilte	atskilt	-	-	-
attrå	-	attrådde	attrådd	-	-	-
auksjonere	-	auksjonerte	auksjonert	-	-	-
automatisere	-	automatiserte	automatisert	-	-	-
autorisere	-	autoriserte	autorisert	-	-	-
avansere	-	avanserte	avansert	-	-	-
avbetale	-	avbetalte	avbetalt	-	-	-
avbryte	-	avbrøt|avbrøyt	avbrutt	-	-	-
avdele	-	avdelte	avdelt	-	-	-
avduke	-	-	-	avduke	-	-
avfyre	-	avfyrte	avfyrt	-	-	-
avføde	-	avfødte	avfødt	-	-	-
avgi	-	avga|avgav	avgitt	-	-	-
avgjøre	avgjør	avgjorde	avgjort	-	-	-
avgå	-	avgikk	avgått	-	-	-
avhenge	-	avhang	avhengt	-	-	-
avhjelpe	-	avhjalp	avhjulpet	-	-	-
avholde	-	avholdt	avholdt	-	-	-
avhøre	-	avhørte	avhørt	-	-	-
avkjøle	-	avkjølte	avkjølt	-	-	-
avklare	-	avklarte	avklart	-	-	-
avkriminalisere	-	avkriminaliserte	avkriminalisert	-	-	-
avlese	-	avleste	avlest	-	-	-
avlevere	-	avleverte	avlevert	-	-	-
avlyse	-	avlyste	avlyst	-	-	-
avløse	-	avløste	avløst	-	-	-
avmystifisere	-	avmystifiserte	avmystifisert	-	-	-
avsette	-	avsatte	avsatt	-	-	-
avsi	avsier	avsa	avsagt	-	-	avsies
avskjære	-	avskar	avskåret	-	-	-
avsky	-	avskydde	avskydd	-	-	-
avslå	-	avslo	avslått	-	-	-
avta	-	avtok	avtatt	-	avtakende	-
avtale	-	avtalte	avtalt	-	-	-
avvike	-	avveik|avvek	avveket	-	-	-
avvise	-	avviste	avvist	-	-	-
bake	-	bakte	bakt	-	-	-
balansere	-	balanserte	balansert	-	-	-
bannlyse	-	bannlyste	bannlyst	-	-	-
barbere	-	barberte	barbert	-	-	-
barrikadere	-	barrikaderte	barrikadert	-	-	-
basere	-	baserte	basert	-	-	-
bebo	-	bebodde	bebodd	-	-	-
bede	-	bad	bedt	-	-	-
bedømme	-	bedømte	bedømt	bedøm	-	-
befinne	-	befant	befunnet	-	-	-
befri	-	befridde	befridd	-	-	-
begi	-	bega|begav	begitt	-	-	-
beglo	-	beglodde	beglodd	-	-	-
begripe	-	begreip|begrep	begrepet	-	-	-
begynne	-	begynte	begynt	-	-	-
begå	-	begikk	begått	-	-	-
beholde	-	beholdt	beholdt	-	-	-
behøve	-	behøvde	behøvd	-	-	-
bekjentgjøre	bekjentgjør	bekjentgjorde	bekjentgjort	-	-	-
belegge	-	bela	belagt	-	-	-
belyse	-	belyste	belyst	-	-	-
beløpe	-	beløp	-	-	-	-
benevne	-	benevnte	benevnt	-	-	-
berøre	-	berørte	berørt	-	-	-
besette	-	besatte	besatt	-	-	-
besitte	-	besatt	-	-	-	-
beskjære	-	beskar	beskåret	-	-	-
beskrive	-	beskreiv|beskrev	beskrevet	-	-	-
beskue	-	beskua|beskuet	beskua|beskuet	besku	-	-
beskylde	-	beskyldte	beskyldt	-	-	-
beslå	-	beslo	beslått	-	-	-
bestemme	-	bestemte	bestemt	bestem	-	-
bestige	-	besteg|besteig	besteget	-	-	-
bestille	-	bestilte	bestilt	-	-	-
bestride	-	bestred|bestrei|bestridde	bestridd|bestridt	-	-	-
bestråle	-	bestrålte	bestrålt	-	-	-
bestå	-	besto|bestod	bestått	-	-	-
besvare	-	besvarte	besvart	-	-	-
besvime	-	besvimte	besvimt	-	-	-
besynge	-	besang	besunget	-	-	-
besøke	-	besøkte	besøkt	-	-	-
betale	-	betalte	betalt	-	-	-
betjene	-	betjente	betjent	-	-	-
betvile	-	betvilte	betvilt	-	-	-
bety	-	betydde|betød	betydd	-	-	-
bevare	-	bevarte	bevart	-	-	-
bevise	-	beviste	bevist	-	-	-
bidra	-	bidro|bidrog	bidradd|bidratt	-	bidragende	-
bie	-	bia|bidde|biet	bia|bidd|biet	-	-	-
binde	-	bandt	bundet	-	-	-
bistå	-	bisto|bistod	bistått	-	-	-
bite	-	beit|bet	bitt	-	-	-
bli	-	ble|blei	blitt	-	blivende	-
blive	-	bleiv|blev	blitt	-	-	-
blokkere	-	blokkerte	blokkert	-	-	-
blåse	-	blåste	blåst	-	-	-
blø	-	blødde	blødd	-	-	-
bolt	bolter	-	-	-	-	boltes
bombardere	-	bombarderte	bombardert	-	-	-
bomme	-	-	-	bom	-	-
bortføre	-	bortførte	bortført	-	-	-
bortvise	-	bortviste	bortvist	-	-	-
bosette	-	bosatte	bosatt	-	-	-
bre	-	bredde|bredte	bredd|bredt	bre	breende	-
brekke	-	brakk	brukket	-	-	-
brenne	-	brant|brente	brent	-	-	-
bringe	-	bragte|brakte	bragt|brakt	-	-	-
briste	-	brast	-	-	-	-
brodere	-	broderte	brodert	-	-	-
bruke	-	brukte	brukt	-	-	-
bry	-	brydde|brød	brydd	-	-	-
bryte	-	brøt|brøyt	brutt	-	-	-
brøle	-	brølte	brølt	-	-	-
budsjettere	-	budsjetterte	budsjettert	-	-	-
burde	bør	burde	-	-	-	-
bære	-	bar	båret	-	-	-
bøtelegge	-	bøtela	bøtelagt	-	-	-
bøye	-	bøyde|bøyet	bøyd|bøyet	bøy	-	-
cosplaye	-	cosplaya|cosplayet	cosplaya|cosplayet	cosplay	-	-
date	-	-	-	date	-	-
datere	-	daterte	datert	-	-	-
deaktivere	-	deaktiverte	deaktivert	-	-	-
debattere	-	debatterte	debattert	-	-	-
debitere	-	debiterte	debitert	-	-	-
debutere	-	debuterte	debutert	-	-	-
dedikere	-	dedikerte	dedikert	-	-	-
dedisere	-	dediserte	dedisert	-	-	-
definere	-	definerte	definert	-	-	-
deformere	-	deformerte	deformert	-	-	-
dehydrere	-	dehydrerte	dehydrert	-	-	-
deklarere	-	deklarerte	deklarert	-	-	-
dekontaminere	-	dekontaminerte	dekontaminert	-	-	-
dekorere	-	dekorerte	dekorert	-	-	-
dele	-	delte	delt	-	-	-
delegere	-	delegerte	delegert	-	-	-
delta	-	deltok	deltatt	-	deltakende	-
demilitarisere	-	demilitariserte	demilitarisert	-	-	-
demme	-	-	-	dem	-	-
demonisere	-	demoniserte	demonisert	-	-	-
demonstrere	-	demonstrerte	demonstrert	-	-	-
demontere	-	demonterte	demontert	-	-	-
demoralisere	-	demoraliserte	demoralisert	-	-	-
denotere	-	denoterte	denotert	-	-	-
