# Persian present-stem list — mined by scripts/pes/mine_verbs.py
# infinitive	present_stem	imperative_override
آختن	آز	بآز
آشفتن	آشوب	بآشوب
آغشتن	آغار	بآغار
آفریدن	آفرین	-
آمدن	آی	بیا
آموختن	آموز	بآموز
آمیختن	آمیز	بآمیز
آهیختن	آهنج	بآهنج
آوردن	آور	-
آویختن	آویز	بآویز
آکندن	آکن	بآکن
افتادن	افت	بافت
افزودن	افزای	بافزای
افشاندن	افشان	بافشان
افشردن	افشار	بافشار
افکندن	افکن	بافکن
انباشتن	انباز	بانباز
انداختن	انداز	بانداز
اندوختن	اندوز	باندوز
انگاشتن	انگار	بانگار
انگیختن	انگیز	بانگیز
ایستادن	ایست	بایست
باختن	باز	-
بافتن	باف	-
بخشودن	بخشای	-
برانداختن	برانداز	-
بردن	بر	-
بررسیدن	بربرس	-
برگشادن	برگشای	-
برگشودن	برگشای	-
بستن	بند	-
بوییدن	بوئ	-
بیختن	بیز	-
تاختن	تاز	-
ترساندن	ترسان	-
ترسوندن	ترسون	-
تونستن	تون	-
تکاندن	تکان	-
جوشاندن	جوشان	-
جوشوندن	جوشون	-
خاراندن	خاران	-
خاستن	خیز	-
خنداندن	خندان	-
خندسن	خند	-
خواستن	خواه	-
خواندن	خوان	-
خوراندن	خوران	-
خوردن	خور	-
خوروندن	خورون	-
دادن	ده	-
داشتن	دار	-
دانستن	دان	-
درودن	درو	-
دوختن	دوز	-
دونستن	دون	-
دیدن	بین	-
راندن	ران	-
ربودن	ربای	-
رختن	ریز	-
رساندن	رسان	-
رستن	ره	-
رفتن	رو	-
روندن	رون	-
ریختن	ریز	-
ریدن	رین	-
ریزاندن	ریزان	-
زادن	زای	-
زدن	زن	-
زیستن	زی	-
ساختن	ساز	-
ستدن	ستون	-
ستردن	ستر	-
سختن	سنج	-
سفتن	سنب	-
سوختن	سوز	-
سودن	سای	-
سپردن	سپر	-
سپوختن	سپوز	-
شدن	شو	-
شستن	شوی	-
ششتن	شین	-
شمردن	شمار	-
شناختن	شناس	-
شناساندن	شناسان	-
شنفتن	شنو	-
شنیدن	شنو	-
شکافتن	شکاف	-
شکستن	شکن	-
شکیفتن	شکیب	-
شیفتن	شیب	-
غنودن	غنو	-
فرستادن	فرست	-
فرمودن	فرمای	-
فرهیختن	فرهنج	-
فروختن	فروش	-
فروماندن	فرومان	-
فریفتن	فریب	-
فشردن	فشار	-
فهماندن	فهمان	-
فهموندن	فهمون	-
فکندن	فکن	-
مالوندن	مالون	-
ماندن	مان	-
مانستن	مان	-
مردن	میر	-
موندن	مون	-
نشاندن	نشان	-
نشستن	نشین	-
نمودن	نمای	-
نهادن	نه	-
نهفتن	نهنب	-
نواختن	نواز	-
نوشتن	نویس	-
نگاشتن	نگار	-
نگریستن	نگر	-
هشتن	هل	-
وایسادن	وایس	وایسا
وشتن	وس	-
پاشدن	پاش	-
پالودن	پالای	-
پختن	پز	-
پذیرفتن	پذیر	-
پراندن	پران	-
پراکندن	پراکن	-
پرداختن	پرداز	-
پروردن	پرور	-
پنداشتن	پندار	-
پوشاندن	پوشان	-
پیوستن	پیوند	-
پیچاندن	پیچان	-
چراندن	چران	-
چسباندن	چسبون	-
چسبوندن	چسبون	-
چسپاندن	چسپون	-
چیدن	چین	-
چیندن	چین	-
کاستن	کاه	-
کاشتن	کار	-
کردن	کن	-
کشاندن	کشان	-
کشتن	کش	-
کندن	کن	-
گداختن	گداز	-
گذاشتن	گذار	-
گذراندن	گذران	-
گذشتن	گذر	-
گرداندن	گردان	-
گرفتن	گیر	-
گزاردن	گزار	-
گساردن	گسار	-
گستردن	گستر	-
گسستن	گسل	-
گشادن	گشای	-
گشتن	گرد	-
گشودن	گشای	-
گفتن	گوی	بگو
گماشتن	گمار	-
گواشتن	گوار	-
یارستن	یار	-
یافتن	یاب	-
یوختن	یوز	-
بودن	باش	-
توانستن	توان	-
