# lemma(infinitive)	V;PRS;1;SG	V;PRS;2;SG	V;PRS;3;SG	V;PRS;1;PL	V;PRS;2;PL	V;PRS;3;PL	V;FUT;1;SG	V;FUT;2;SG	V;FUT;3;SG	V;FUT;1;PL	V;FUT;2;PL	V;FUT;3;PL	V;PST;3;SG;MASC	V;PST;3;SG;FEM	V;PST;3;SG;NEUT	V;PST;3;PL;MASC;HUM	V;PST;3;PL	V;IMP;2;SG	V;IMP;1;PL	V;IMP;2;PL	V;NFIN  ("-" = productive default)
abdykować	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	abdykuj	abdykujmy	abdykujcie	-
ablaktować	ablaktuję	ablaktujesz	ablaktuje	ablaktujemy	ablaktujecie	ablaktują	-	-	-	-	-	-	-	-	-	-	-	ablaktuj	ablaktujmy	ablaktujcie	-
ablegrować	ablegruję	ablegrujesz	ablegruje	ablegrujemy	ablegrujecie	ablegrują	-	-	-	-	-	-	-	-	-	-	-	ablegruj	ablegrujmy	ablegrujcie	-
abonować	abonuję	abonujesz	abonuje	abonujemy	abonujecie	abonują	-	-	-	będziemy abonowały	będziecie abonowały	będą abonowały	-	-	-	-	-	abonuj	abonujmy	abonujcie	-
abradować	abraduję	abradujesz	abraduje	abradujemy	abradujecie	abradują	-	-	-	-	-	-	-	-	-	-	-	abraduj	abradujmy	abradujcie	-
abrogować	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	abroguj	abrogujmy	abrogujcie	-
abrysować	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	abrysuj	abrysujmy	abrysujcie	-
absentować	absentuję	absentujesz	absentuje	absentujemy	absentujecie	absentują	-	-	-	-	-	-	-	-	-	-	-	absentuj	absentujmy	absentujcie	-
absolutyzować	absolutyzuję	absolutyzujesz	absolutyzuje	absolutyzujemy	absolutyzujecie	absolutyzują	-	-	-	-	-	-	-	-	-	-	-	absolutyzuj	absolutyzujmy	absolutyzujcie	-
absolwować	absolwuję	absolwujesz	absolwuje	absolwujemy	absolwujecie	absolwują	-	-	-	-	-	-	-	-	-	-	-	absolwuj	absolwujmy	absolwujcie	-
absorbować	absorbuję	absorbujesz	absorbuje	absorbujemy	absorbujecie	absorbują	-	-	-	będziemy absorbowały	będziecie absorbowały	będą absorbowały	-	-	-	-	-	absorbuj	absorbujmy	absorbujcie	-
abstrahować	abstrahuję	abstrahujesz	abstrahuje	abstrahujemy	abstrahujecie	abstrahują	-	-	-	-	-	-	-	-	-	-	-	abstrahuj	abstrahujmy	abstrahujcie	-
absurdalizować	absurdalizuję	absurdalizujesz	absurdalizuje	absurdalizujemy	absurdalizujecie	absurdalizują	-	-	-	-	-	-	-	-	-	-	-	absurdalizuj	absurdalizujmy	absurdalizujcie	-
absztyfikować	absztyfikuję	absztyfikujesz	absztyfikuje	absztyfikujemy	absztyfikujecie	absztyfikują	-	-	-	-	-	-	-	-	-	-	-	absztyfikuj	absztyfikujmy	absztyfikujcie	-
abszytować	abszytuję	abszytujesz	abszytuje	abszytujemy	abszytujecie	abszytują	-	-	-	-	-	-	-	-	-	-	-	abszytuj	abszytujmy	abszytujcie	-
acetylować	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	acetyluj	acetylujmy	acetylujcie	-
achać	acham	achasz	acha	achamy	achacie	achają	-	-	-	-	-	-	-	-	-	-	-	achaj	achajmy	achajcie	-
achnąć	-	-	-	-	-	-	achnę	achniesz	achnie	achniemy	achniecie	achną	-	achnęła	achnęło	achnęli	achnęły	achnij	achnijmy	achnijcie	-
adaptować	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	adaptuj	adaptujmy	adaptujcie	-
adiektywizować	adiektywizuję	adiektywizujesz	adiektywizuje	adiektywizujemy	adiektywizujecie	adiektywizują	-	-	-	-	-	-	-	-	-	-	-	adiektywizuj	adiektywizujmy	adiektywizujcie	-
adiustować	adiustuję	adiustujesz	adiustuje	adiustujemy	adiustujecie	adiustują	-	-	-	-	-	-	-	-	-	-	-	adiustuj	adiustujmy	adiustujcie	-
adiutantować	adiutantuję	adiutantujesz	adiutantuje	adiutantujemy	adiutantujecie	adiutantują	-	-	-	-	-	-	-	-	-	-	-	adiutantuj	adiutantujmy	adiutantujcie	-
adjektywizować	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	adjektywizuj	adjektywizujmy	adjektywizujcie	-
administrować	administruję	administrujesz	administruje	administrujemy	administrujecie	administrują	-	-	-	-	-	-	-	-	-	-	-	administruj	administrujmy	administrujcie	-
admirować	admiruję	admirujesz	admiruje	admirujemy	admirujecie	admirują	-	-	-	-	-	-	-	-	-	-	-	admiruj	admirujmy	admirujcie	-
adnotować	adnotuję	adnotujesz	adnotuje	adnotujemy	adnotujecie	adnotują	-	-	-	-	-	-	-	-	-	-	-	adnotuj	adnotujmy	adnotujcie	-
adoptować	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	adoptuj	adoptujmy	adoptujcie	-
adornować	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	adornuj	adornujmy	adornujcie	-
adorować	adoruję	adorujesz	adoruje	adorujemy	adorujecie	adorują	-	-	-	-	-	-	-	-	-	-	-	adoruj	adorujmy	adorujcie	-
adresować	adresuję	adresujesz	adresuje	adresujemy	adresujecie	adresują	-	-	-	-	-	-	-	-	-	-	-	adresuj	adresujmy	adresujcie	-
adrować	adruję	adrujesz	adruje	adrujemy	adrujecie	adrują	-	-	-	-	-	-	-	-	-	-	-	adruj	adrujmy	adrujcie	-
