# Portuguese irregular lexicon. One row per base; prefixed derivatives
# resolve by longest-base suffix match except EXACT_ONLY bases in
# src/por.rs (ser, ir, ter, vir, ver, dar, por, rir, ler, crer — their
# suffixes collide with regular verbs: meter, partir, servir, chover,
# andar, colorir, falar, comer). Accent-shifting ter/vir compounds have
# explicit rows (contém, convéns).
#
# Columns, "-" means derive:
#   lemma pres1..6 subj6(comma) pret6(comma) fut_stem pp impf6 ger
#   imp2sg inf_base (overrides the infinitive for future/conditional/
#   personal-infinitive/subjunctive-future stems: pôr → por)
#
# Pluperfect, imperfect subjunctive and future subjunctive derive from
# the preterite 3pl (tiveram → tivera, tivesse, tiver).
ser	sou	és	é	somos	sois	são	seja,sejas,seja,sejamos,sejais,sejam	fui,foste,foi,fomos,fostes,foram	-	sido	era,eras,era,éramos,éreis,eram	-	sê	-
estar	estou	estás	está	estamos	estais	estão	esteja,estejas,esteja,estejamos,estejais,estejam	estive,estiveste,esteve,estivemos,estivestes,estiveram	-	estado	-	-	-	-
ir	vou	vais	vai	vamos	ides	vão	vá,vás,vá,vamos,vades,vão	fui,foste,foi,fomos,fostes,foram	-	ido	ia,ias,ia,íamos,íeis,iam	indo	vai	-
haver	hei	hás	há	havemos	haveis	hão	haja,hajas,haja,hajamos,hajais,hajam	houve,houveste,houve,houvemos,houvestes,houveram	-	havido	-	-	-	-
dar	dou	dás	dá	damos	dais	dão	dê,dês,dê,demos,deis,deem	dei,deste,deu,demos,destes,deram	-	dado	-	-	-	-
saber	sei	sabes	sabe	sabemos	sabeis	sabem	saiba,saibas,saiba,saibamos,saibais,saibam	soube,soubeste,soube,soubemos,soubestes,souberam	-	sabido	-	-	-	-
caber	caibo	cabes	cabe	cabemos	cabeis	cabem	caiba,caibas,caiba,caibamos,caibais,caibam	coube,coubeste,coube,coubemos,coubestes,couberam	-	cabido	-	-	-	-
poder	posso	podes	pode	podemos	podeis	podem	possa,possas,possa,possamos,possais,possam	pude,pudeste,pôde,pudemos,pudestes,puderam	-	podido	-	-	-	-
querer	quero	queres	quer	queremos	quereis	querem	queira,queiras,queira,queiramos,queirais,queiram	quis,quiseste,quis,quisemos,quisestes,quiseram	-	querido	-	-	-	-
requerer	requeiro	requeres	requer	requeremos	requereis	requerem	requeira,requeiras,requeira,requeiramos,requeirais,requeiram	requeri,requereste,requereu,requeremos,requerestes,requereram	-	requerido	-	-	-	-
ver	vejo	vês	vê	vemos	vedes	veem	veja,vejas,veja,vejamos,vejais,vejam	vi,viste,viu,vimos,vistes,viram	-	visto	-	-	-	-
ler	leio	lês	lê	lemos	ledes	leem	leia,leias,leia,leiamos,leiais,leiam	li,leste,leu,lemos,lestes,leram	-	lido	-	-	-	-
crer	creio	crês	crê	cremos	credes	creem	creia,creias,creia,creiamos,creiais,creiam	cri,creste,creu,cremos,crestes,creram	-	crido	-	-	-	-
rir	rio	ris	ri	rimos	rides	riem	ria,rias,ria,riamos,riais,riam	ri,riste,riu,rimos,ristes,riram	-	rido	-	-	-	-
pedir	peço	pedes	pede	pedimos	pedis	pedem	peça,peças,peça,peçamos,peçais,peçam	pedi,pediste,pediu,pedimos,pedistes,pediram	-	pedido	-	-	-	-
medir	meço	medes	mede	medimos	medis	medem	meça,meças,meça,meçamos,meçais,meçam	medi,mediste,mediu,medimos,medistes,mediram	-	medido	-	-	-	-
ouvir	ouço	ouves	ouve	ouvimos	ouvis	ouvem	ouça,ouças,ouça,ouçamos,ouçais,ouçam	ouvi,ouviste,ouviu,ouvimos,ouvistes,ouviram	-	ouvido	-	-	-	-
perder	perco	perdes	perde	perdemos	perdeis	perdem	perca,percas,perca,percamos,percais,percam	perdi,perdeste,perdeu,perdemos,perdestes,perderam	-	perdido	-	-	-	-
valer	valho	vales	vale	valemos	valeis	valem	valha,valhas,valha,valhamos,valhais,valham	vali,valeste,valeu,valemos,valestes,valeram	-	valido	-	-	-	-
prazer	prazo	prazes	praz	prazemos	prazeis	prazem	praza,prazas,praza,prazamos,prazais,prazam	prouve,prouveste,prouve,prouvemos,prouvestes,prouveram	-	prazido	-	-	-	-
roer	roo	róis	rói	roemos	roeis	roem	roa,roas,roa,roamos,roais,roam	roí,roeste,roeu,roemos,roestes,roeram	-	roído	-	-	-	-
moer	moo	móis	mói	moemos	moeis	moem	moa,moas,moa,moamos,moais,moam	moí,moeste,moeu,moemos,moestes,moeram	-	moído	-	-	-	-
doer	doo	dóis	dói	doemos	doeis	doem	doa,doas,doa,doamos,doais,doam	doí,doeste,doeu,doemos,doestes,doeram	-	doído	-	-	-	-
sortir	surto	surtes	surte	sortimos	sortis	surtem	surta,surtas,surta,surtamos,surtais,surtam	sorti,sortiste,sortiu,sortimos,sortistes,sortiram	-	sortido	-	-	-	-
polir	pulo	pules	pule	polimos	polis	pulem	pula,pulas,pula,pulamos,pulais,pulam	poli,poliste,poliu,polimos,polistes,poliram	-	polido	-	-	-	-
fazer	faço	fazes	faz	fazemos	fazeis	fazem	faça,faças,faça,façamos,façais,façam	fiz,fizeste,fez,fizemos,fizestes,fizeram	far	feito	-	-	-	-
dizer	digo	dizes	diz	dizemos	dizeis	dizem	diga,digas,diga,digamos,digais,digam	disse,disseste,disse,dissemos,dissestes,disseram	dir	dito	-	-	-	-
trazer	trago	trazes	traz	trazemos	trazeis	trazem	traga,tragas,traga,tragamos,tragais,tragam	trouxe,trouxeste,trouxe,trouxemos,trouxestes,trouxeram	trar	trazido	-	-	-	-
duzir	duzo	duzes	duz	duzimos	duzis	duzem	duza,duzas,duza,duzamos,duzais,duzam	duzi,duziste,duziu,duzimos,duzistes,duziram	-	duzido	-	-	-	-
luzir	luzo	luzes	luz	luzimos	luzis	luzem	luza,luzas,luza,luzamos,luzais,luzam	luzi,luziste,luziu,luzimos,luzistes,luziram	-	luzido	-	-	-	-
ter	tenho	tens	tem	temos	tendes	têm	tenha,tenhas,tenha,tenhamos,tenhais,tenham	tive,tiveste,teve,tivemos,tivestes,tiveram	-	tido	tinha,tinhas,tinha,tínhamos,tínheis,tinham	-	-	-
abster	abstenho	absténs	abstém	abstemos	abstendes	abstêm	abstenha,abstenhas,abstenha,abstenhamos,abstenhais,abstenham	abstive,abstiveste,absteve,abstivemos,abstivestes,abstiveram	-	abstido	abstinha,abstinhas,abstinha,abstínhamos,abstínheis,abstinham	-	-	-
ater	atenho	aténs	atém	atemos	atendes	atêm	atenha,atenhas,atenha,atenhamos,atenhais,atenham	ative,ativeste,ateve,ativemos,ativestes,ativeram	-	atido	atinha,atinhas,atinha,atínhamos,atínheis,atinham	-	-	-
conter	contenho	conténs	contém	contemos	contendes	contêm	contenha,contenhas,contenha,contenhamos,contenhais,contenham	contive,contiveste,conteve,contivemos,contivestes,contiveram	-	contido	continha,continhas,continha,contínhamos,contínheis,continham	-	-	-
deter	detenho	deténs	detém	detemos	detendes	detêm	detenha,detenhas,detenha,detenhamos,detenhais,detenham	detive,detiveste,deteve,detivemos,detivestes,detiveram	-	detido	detinha,detinhas,detinha,detínhamos,detínheis,detinham	-	-	-
entreter	entretenho	entreténs	entretém	entretemos	entretendes	entretêm	entretenha,entretenhas,entretenha,entretenhamos,entretenhais,entretenham	entretive,entretiveste,entreteve,entretivemos,entretivestes,entretiveram	-	entretido	entretinha,entretinhas,entretinha,entretínhamos,entretínheis,entretinham	-	-	-
manter	mantenho	manténs	mantém	mantemos	mantendes	mantêm	mantenha,mantenhas,mantenha,mantenhamos,mantenhais,mantenham	mantive,mantiveste,manteve,mantivemos,mantivestes,mantiveram	-	mantido	mantinha,mantinhas,mantinha,mantínhamos,mantínheis,mantinham	-	-	-
obter	obtenho	obténs	obtém	obtemos	obtendes	obtêm	obtenha,obtenhas,obtenha,obtenhamos,obtenhais,obtenham	obtive,obtiveste,obteve,obtivemos,obtivestes,obtiveram	-	obtido	obtinha,obtinhas,obtinha,obtínhamos,obtínheis,obtinham	-	-	-
reter	retenho	reténs	retém	retemos	retendes	retêm	retenha,retenhas,retenha,retenhamos,retenhais,retenham	retive,retiveste,reteve,retivemos,retivestes,retiveram	-	retido	retinha,retinhas,retinha,retínhamos,retínheis,retinham	-	-	-
suster	sustenho	susténs	sustém	sustemos	sustendes	sustêm	sustenha,sustenhas,sustenha,sustenhamos,sustenhais,sustenham	sustive,sustiveste,susteve,sustivemos,sustivestes,sustiveram	-	sustido	sustinha,sustinhas,sustinha,sustínhamos,sustínheis,sustinham	-	-	-
