# lemma	prs1sg	prs2sg	prs3sg	prs1pl	prs2pl	prs3pl	sbjv3	imp2sg	ptcp	ger	ipfv1sg	pfv3sg ("-" = derive)
abate	-	-	-	-	-	-	-	-	abătut	abătând	abăteam	abătu
abduce	abduc	abduci	abduce	abducem	abduceți	abduc	abducă	abdu	abdus	abducând	abduceam	abduse
abjudeca	abjudec	abjudeci	abjudecă	abjudecăm	abjudecați	abjudecă	abjudece	abjudecă	abjudecat	abjudecând	abjudecam	abjudecă
ablega	ableg	ablegi	ableagă	ablegăm	ablegați	ableagă	ablege	ableagă	ablegat	ablegând	ablegam	ablegă
abnega	abneg	abnegi	abneagă	abnegăm	abnegați	abneagă	abnege	abneagă	abnegat	abnegând	abnegam	abnegă
abonda	-	-	abondă	-	-	abondă	abonde	-	abondat	abondând	-	abondă
abrevia	abreviez	abreviezi	abreviază	abreviem	abreviați	abreviază	abrevieze	abreviază	abreviat	abreviind	abreviam	abrevie
absolva	absolv	absolvi	absolvă	absolvăm	absolvați	absolvă	absolve	absolvă	absolvat	absolvând	absolvam	absolvă
abstrage	-	-	-	-	-	-	-	-	abstras	-	-	abstrase
abzice	abzic	abzici	abzice	abzicem	abziceți	abzic	abzică	abzi	abzis	abzicând	abziceam	abzise
abțigui	abțiguiesc	abțiguiești	abțiguiește	abțiguim	abțiguiți	abțiguiesc	abțiguiască	abțiguiește	abțiguit	abțiguind	abțiguiam	abțigui
abține	abțin	abții	abține	abținem	abțineți	abțin	abțină	abține	abținut	abținând	abțineam	abținu
accede	-	-	-	-	-	-	-	-	acces	-	-	-
accentua	accentuez	accentuezi	accentuează	accentuăm	accentuați	accentuează	accentueze	accentuează	accentuat	accentuând	accentuam	accentuă
accepta	accept	accepți	acceptă	acceptăm	acceptați	acceptă	accepte	acceptă	acceptat	acceptând	acceptam	acceptă
acera	acer	aceri	aceră	acerăm	acerați	aceră	acere	aceră	acerat	acerând	aceram	aceră
aciera	acier	acieri	acieră	acierăm	acierați	acieră	aciere	acieră	acierat	acierând	acieram	acieră
acioa	acioez	acioezi	acioează	acioăm	acioați	acioează	acioeze	acioează	acioat	acioând	acioam	acioă
aciua	aciuez	aciuezi	aciuează	aciuăm	aciuați	aciuează	aciueze	aciuează	aciuat	aciuând	aciuam	aciuă
aciui	aciuiesc	aciuiești	aciuiește	aciuim	aciuiți	aciuiesc	aciuiască	aciuiește	aciuit	aciuind	aciuiam	aciui
aciuia	aciuiez	aciuiezi	aciuiază	aciuiem	aciuiați	aciuiază	aciuieze	aciuiază	aciuiat	aciuind	aciuiam	aciuie
aciăra	aciăr	aciări	aciără	-	-	aciără	aciăre	aciără	-	-	-	-
acoace	acoc	acoci	acoace	acoacem	acoaceți	acoc	acoacă	acoace	acopt	acocând	acoceam	acoapse
acompania	acompaniez	acompaniezi	acompaniază	acompaniem	acompaniați	acompaniază	acompanieze	acompaniază	acompaniat	acompaniind	acompaniam	acompanie
acoperi	acopăr	acoperi	acoperă	acoperim	acoperiți	acoperă	acopere	acopere	acoperit	acoperind	acopeream	acoperi
aculma	aculm	aculmi	aculmă	-	-	aculmă	aculme	aculmă	-	-	-	-
acurge	-	-	-	-	-	-	-	-	acurs	-	-	acurse
adaoge	-	-	-	-	-	-	-	-	adaos	adăogând	adăogeam	adaose
adia	-	-	adie	-	-	adie	adie	-	adiat	adiind	-	adie
adinta	adint	adinți	adintă	-	-	adintă	adinte	adintă	-	-	-	-
adjudeca	adjudec	adjudeci	adjudecă	adjudecăm	adjudecați	adjudecă	adjudece	adjudecă	adjudecat	adjudecând	adjudecam	adjudecă
adjura	adjur	adjuri	adjură	-	-	adjură	adjure	adjură	-	-	-	-
admite	-	-	-	-	-	-	-	-	admis	admițând	-	admise
admonia	-	-	-	-	-	-	-	-	-	-	-	admonie
adoi	adoiesc	adoiești	adoiește	adoim	adoiți	adoiesc	adoiască	adoiește	adoit	adoind	adoiam	adoi
adopta	adopt	adopți	adoptă	adoptăm	adoptați	adoptă	adopte	adoptă	adoptat	adoptând	adoptam	adoptă
adora	ador	adori	adoră	adorăm	adorați	adoră	adore	adoră	adorat	adorând	adoram	adoră
adresărui	adresăruiesc	adresăruiești	adresăruiește	adresăruim	adresăruiți	adresăruiesc	adresăruiască	adresăruiește	adresăruit	adresăruind	adresăruiam	adresărui
aduce	aduc	aduci	aduce	aducem	aduceți	aduc	aducă	adu	adus	aducând	aduceam	aduse
aduia	-	-	aduie	-	-	aduie	aduie	-	aduiat	aduiind	-	aduie
adulma	adulm	adulmi	adulmă	-	-	adulmă	adulme	adulmă	-	-	-	-
adulmaca	adulmac	adulmaci	adulmacă	-	-	adulmacă	adulmace	adulmacă	-	-	-	-
adulmeca	adulmec	adulmeci	adulmecă	adulmecăm	adulmecați	adulmecă	adulmece	adulmecă	adulmecat	adulmecând	adulmecam	adulmecă
adulmăca	adulmăc	adulmăci	adulmăcă	-	-	adulmăcă	adulmăce	adulmăcă	-	-	-	-
adupleca	aduplec	adupleci	aduplecă	aduplecăm	aduplecați	aduplecă	aduplece	aduplecă	aduplecat	aduplecând	aduplecam	aduplecă
adurmeca	adurmec	adurmeci	adurmecă	adurmecăm	adurmecați	adurmecă	adurmece	adurmecă	adurmecat	adurmecând	adurmecam	adurmecă
adurmi	adorm	adormi	adoarme	adurmim	adurmiți	adorm	adoarmă	adormi	adurmit	adurmind	adurmeam	adurmi
adurmăca	adurmăc	adurmăci	adurmăcă	-	-	adurmăcă	adurmăce	adurmăcă	-	-	-	-
adăpa	adăp	adăpi	adapă	adăpăm	adăpați	adapă	adape	adapă	adăpat	adăpând	adăpam	adăpă
adăuga	adaug	adaugi	adaugă	adăugăm	adăugați	adaugă	adauge	adaugă	adăugat	adăugând	adăugam	adăugă
