# Russian irregular verbs — mined from OpenCorpora gold (kaikki
# fills gaps). Non-reflexive base lemmas; reflexives and prefixed
# derivatives match by suffix unless the base is exact (col 4).
# Regenerate: python3 scripts/rus/mine_verbs.py
# lemma	nonpast(6)	past(4:masc,fem,neut,pl)	imp(2:sg,pl)	exact
авралить	-	-	авраль,авральте	-
амурить	-	-	амурь,амурьте	-
арканить	-	-	аркань,арканьте	-
артачить	-	-	артачь,артачьте	-
атаманить	-	-	атамань,атаманьте	-
бабить	-	-	бабь,бабьте	-
багрянить	-	-	багрянь,багряньте	-
базарить	-	-	базарь,базарьте	-
балаболить	-	-	балаболь,балабольте	-
балаганить	-	-	балагань,балаганьте	-
балагурить	-	-	балагурь,балагурьте	-
баламутить	-	-	баламуть,баламутьте	-
банить	-	-	бань,баньте	-
банкротить	-	-	банкроть,банкротьте	-
батрачить	-	-	батрачь,батрачьте	-
бахвалить	-	-	бахваль,бахвальте	-
баять	баю,баешь,бает,баем,баете,бают	-	бай,байте	1
бдеть	бдю,бдишь,бдит,бдим,бдите,бдят	-	бди,бдите	-
бедокурить	-	-	бедокурь,бедокурьте	-
бежать	бегу,бежишь,бежит,бежим,бежите,бегут	-	беги,бегите	-
безобразить	-	-	безобразь,безобразьте	-
беречь	берегу,бережёшь,бережёт,бережём,бережёте,берегут	берёг,берегла,берегло,берегли	береги,берегите	-
бить	бью,бьёшь,бьёт,бьём,бьёте,бьют	-	бей,бейте	1
благородить	-	-	благородь,благородьте	-
блевать	блюю,блюёшь,блюёт,блюём,блюёте,блюют	-	блюй,блюйте	-
блеснуть	блесну,блеснёшь,блеснёт,блеснём,блеснёте,блеснут	-	-	-
блестеть	блещу,блестишь,блестит,блестим,блестите,блестят	-	блести,блестите	-
блеять	блею,блеешь,блеет,блеем,блеете,блеют	-	блей,блейте	-
близить	-	-	близь,близьте	-
блочить	мючу,мючишь,мючит,мючим,мючите,мючат	мючил,мючила,мючило,мючили	мючь,мючьте	1
блюсти	блюду,блюдёшь,блюдёт,блюдём,блюдёте,блюдут	блюл,блюла,блюло,блюли	блюди,блюдите	-
блёкнуть	-	блёк,блекнула,блекнуло,блекнули	-	1
боднуть	бодну,боднёшь,боднёт,боднём,боднёте,боднут	-	-	-
болтнуть	болтну,болтнёшь,болтнёт,болтнём,болтнёте,болтнут	-	-	1
бондарить	-	-	бондарь,бондарьте	-
бормотать	бормочу,бормочешь,бормочет,бормочем,бормочете,бормочут	-	бормочи,бормочите	-
бороть	борю,борешь,борет,борем,борете,борют	-	бори,борите	-
боять	бою,боишь,боит,боим,боите,боят	-	бой,бойте	-
брать	беру,берёшь,берёт,берём,берёте,берут	-	бери,берите	1
бредить	-	-	бредь,бредьте	-
бренчать	бренчу,бренчишь,бренчит,бренчим,бренчите,бренчат	-	бренчи,бренчите	-
брести	бреду,бредёшь,бредёт,бредём,бредёте,бредут	брёл,брела,брело,брели	бреди,бредите	1
брехать	брешу,брешешь,брешет,брешем,брешете,брешут	-	бреши,брешите	-
брить	брею,бреешь,бреет,бреем,бреете,бреют	-	брей,брейте	1
бродяжить	-	-	бродяжь,бродяжьте	-
бросить	-	-	брось,бросьте	-
брюзгнуть	-	брюзгнул,брюзгла,брюзгло,брюзгли	-	1
брюзжать	брюзжу,брюзжишь,брюзжит,брюзжим,брюзжите,брюзжат	-	брюзжи,брюзжите	-
брюхатить	-	-	брюхать,брюхатьте	-
будоражить	-	-	будоражь,будоражьте	-
булгачить	-	-	булгачь,булгачьте	-
буравить	-	-	буравь,буравьте	-
бурлачить	-	-	бурлачь,бурлачьте	-
буровить	-	-	буровь,буровьте	-
бутузить	-	-	бутузь,бутузьте	-
буффонить	-	-	буффонь,буффоньте	-
бухтеть	бухчу,бухтишь,бухтит,бухтим,бухтите,бухтят	-	бухти,бухтите	-
