# lemma	class (a i uje ne)
alumniti	ne
bevskniti	ne
bevsniti	ne
biksniti	ne
bipniti	ne
blazniti	ne
blekniti	ne
bliskniti	ne
blisniti	ne
boksniti	ne
brcniti	ne
brenkniti	ne
brizgniti	ne
brlizgniti	ne
bruhniti	ne
bucniti	ne
buhniti	ne
bukniti	ne
bumfniti	ne
buniti	ne
butniti	ne
bučniti	ne
buškniti	ne
bušniti	ne
bzikniti	ne
cepetniti	ne
cepniti	ne
cikniti	ne
cmokniti	ne
copotniti	ne
crkniti	ne
cugniti	ne
cukniti	ne
curniti	ne
cvenkniti	ne
cvesti	a
cvikniti	ne
cvrkniti	ne
dahniti	ne
dajati	a
dampniti	ne
desnoklikniti	ne
dihniti	ne
domakniti	ne
dopihniti	ne
dopolniti	ne
dotakniti	ne
dotisniti	ne
drapniti	ne
dregniti	ne
drezniti	ne
drgniti	ne
driskniti	ne
drkniti	ne
drzniti	ne
dvigniti	ne
dvojnoklikniti	ne
dvoklikniti	ne
eksniti	ne
flikniti	ne
flokniti	ne
flopniti	ne
focniti	ne
fokniti	ne
frcniti	ne
frizniti	ne
frkniti	ne
fucniti	ne
fukniti	ne
gagniti	ne
ganiti	ne
gasniti	ne
gavzniti	ne
golsniti	ne
goltniti	ne
grezniti	ne
grkniti	ne
guzniti	ne
habniti	ne
hamsniti	ne
hasniti	ne
havsniti	ne
hlastniti	ne
hlipniti	ne
hmkniti	ne
hopsniti	ne
hreskniti	ne
hrestniti	ne
hrkniti	ne
hropniti	ne
hrskniti	ne
hrstniti	ne
hrustniti	ne
hrzniti	ne
hukniti	ne
huškniti	ne
hušniti	ne
ispolniti	ne
izbegniti	ne
izblekniti	ne
izbljuniti	ne
izbrizgniti	ne
izbruhniti	ne
izbuhniti	ne
izdahniti	ne
izdihniti	ne
izdrgniti	ne
izginiti	ne
izgniti	ne
izigniti	ne
izkihniti	ne
izlakotniti	ne
izmakniti	ne
izmuzniti	ne
izogniti	ne
izpahniti	ne
izpesniti	ne
izpihniti	ne
izplahniti	ne
izplakniti	ne
izpljuniti	ne
izpljusniti	ne
izpodmakniti	ne
izpodriniti	ne
izpolniti	ne
izprdniti	ne
izpreobrniti	ne
izpuhniti	ne
izriniti	ne
izstisniti	ne
iztakniti	ne
iztegniti	ne
iztisniti	ne
izvrniti	ne
javkniti	ne
javskniti	ne
jecniti	ne
jekniti	ne
kapniti	ne
kavsniti	ne
kazniti	ne
kidniti	ne
kihniti	ne
kikirikniti	ne
kikniti	ne
kiksniti	ne
kimniti	ne
kinkniti	ne
kipniti	ne
klapniti	ne
klecniti	ne
klekniti	ne
klenkniti	ne
klepniti	ne
klikniti	ne
kljuniti	ne
kljunčkniti	ne
klofniti	ne
klofutniti	ne
kloniti	ne
klopniti	ne
kokniti	ne
kolapsniti	ne
kolcniti	ne
kolniti	ne
kopitniti	ne
korakniti	ne
krahniti	ne
krakniti	ne
krcniti	ne
krehniti	ne
kreniti	ne
krepniti	ne
kresniti	ne
krikniti	ne
kušniti	ne
kvasniti	ne
kvikniti	ne
kvorkniti	ne
legniti	ne
lopniti	ne
loputniti	ne
mahniti	ne
makniti	ne
mazniti	ne
mežikniti	ne
migniti	ne
mijavkniti	ne
miniti	ne
mižikniti	ne
mlaskniti	ne
mljaskniti	ne
molsti	a
motniti	ne
mrdniti	ne
mrkniti	ne
mukniti	ne
muksniti	ne
nabrekniti	ne
nabuhniti	ne
nadahniti	ne
nadihniti	ne
nadrgniti	ne
nagniti	ne
namakniti	ne
