# lemma	p-sg1	p-sg2	p-sg3	p-du1	p-du2	p-du3	p-pl1	p-pl2	p-pl3	imp2sg	lptcp	supine ("-" = derive)
abdicirati	abdiciram	abdiciraš	abdicira	abdicirava	abdicirata	abdicirata	abdiciramo	abdicirate	abdicirajo	-	-	-	-	-
abolirati	aboliram	aboliraš	abolira	abolirava	abolirata	abolirata	aboliramo	abolirate	abolirajo	-	-	-	-	-
abonirati	aboniram	aboniraš	abonira	abonirava	abonirata	abonirata	aboniramo	abonirate	abonirajo	-	-	-	-	-
abortirati	abortiram	abortiraš	abortira	abortirava	abortirata	abortirata	abortiramo	abortirate	abortirajo	-	-	-	-	-
absolutizirati	absolutiziram	absolutiziraš	absolutizira	absolutizirava	absolutizirata	absolutizirata	absolutiziramo	absolutizirate	absolutizirajo	-	-	-	-	-
absolvirati	absolviram	absolviraš	absolvira	absolvirava	absolvirata	absolvirata	absolviramo	absolvirate	absolvirajo	-	-	-	-	-
absorbirati	absorbiram	absorbiraš	absorbira	absorbirava	absorbirata	absorbirata	absorbiramo	absorbirate	absorbirajo	-	-	-	-	-
abstinirati	abstiniram	abstiniraš	abstinira	abstinirava	abstinirata	abstinirata	abstiniramo	abstinirate	abstinirajo	-	-	-	-	-
abstrahirati	abstrahiram	abstrahiraš	abstrahira	abstrahirava	abstrahirata	abstrahirata	abstrahiramo	abstrahirate	abstrahirajo	-	-	-	-	-
abšlesati	abšlesam	abšlesaš	abšlesa	abšlesava	abšlesata	abšlesata	abšlesamo	abšlesate	abšlesajo	-	-	-	-	-
acetilirati	acetiliram	acetiliraš	acetilira	acetilirava	acetilirata	acetilirata	acetiliramo	acetilirate	acetilirajo	-	-	-	-	-
adaptirati	adaptiram	adaptiraš	adaptira	adaptirava	adaptirata	adaptirata	adaptiramo	adaptirate	adaptirajo	-	-	-	-	-
adirati	adiram	adiraš	adira	adirava	adirata	adirata	adiramo	adirate	adirajo	-	-	-	-	-
administrirati	administriram	administriraš	administrira	administrirava	administrirata	administrirata	administriramo	administrirate	administrirajo	-	-	-	-	-
adoptirati	adoptiram	adoptiraš	adoptira	adoptirava	adoptirata	adoptirata	adoptiramo	adoptirate	adoptirajo	-	-	-	-	-
adresirati	adresiram	adresiraš	adresira	adresirava	adresirata	adresirata	adresiramo	adresirate	adresirajo	-	-	-	-	-
adsorbirati	adsorbiram	adsorbiraš	adsorbira	adsorbirava	adsorbirata	adsorbirata	adsorbiramo	adsorbirate	adsorbirajo	-	-	-	-	-
aerirati	aeriram	aeriraš	aerira	aerirava	aerirata	aerirata	aeriramo	aerirate	aerirajo	-	-	-	-	-
aerosolizirati	aerosoliziram	aerosoliziraš	aerosolizira	aerosolizirava	aerosolizirata	aerosolizirata	aerosoliziramo	aerosolizirate	aerosolizirajo	-	-	-	-	-
afektirati	afektiram	afektiraš	afektira	afektirava	afektirata	afektirata	afektiramo	afektirate	afektirajo	-	-	-	-	-
aficirati	aficiram	aficiraš	aficira	aficirava	aficirata	aficirata	aficiramo	aficirate	aficirajo	-	-	-	-	-
afirmirati	afirmiram	afirmiraš	afirmira	afirmirava	afirmirata	afirmirata	afirmiramo	afirmirate	afirmirajo	-	-	-	-	-
afnati	afnam	afnaš	afna	afnava	afnata	afnata	afnamo	afnate	afnajo	-	-	-	-	-
afrikanizirati	afrikaniziram	afrikaniziraš	afrikanizira	afrikanizirava	afrikanizirata	afrikanizirata	afrikaniziramo	afrikanizirate	afrikanizirajo	-	-	-	-	-
agirati	agiram	agiraš	agira	agirava	agirata	agirata	agiramo	agirate	agirajo	-	-	-	-	-
agitirati	agitiram	agitiraš	agitira	agitirava	agitirata	agitirata	agitiramo	agitirate	agitirajo	-	-	-	-	-
