# Spanish stem-changing classes, mined from the gold oracles and
# verified by the golden harness. Exact lemmas (presentar is not
# sentar). Classes: ie (pienso; -ir verbs also raise to i when
# unstressed: sintió), ue (cuento, juego, huele; -ir raises to u:
# durmió), ei (-ir e→i everywhere stressed or raised: pido, pidió),
# acc-i (envío), acc-u (actúo, aúllo).
absolver	ue
abstener	ie
abuñolar	ue
acensuar	acc-u
acentuar	acc-u
acertar	ie
acordar	ue
acrecentar	ie
actuar	acc-u
adherir	ie
adquirir	ie
advenir	ie
advertir	ie
ahijar	acc-i
ahilar	acc-i
ahincar	acc-i
ahitar	acc-i
ahumar	acc-u
ahusar	acc-u
airar	acc-i
aislar	acc-i
aliar	acc-i
almorzar	ue
amnistiar	acc-i
amoblar	ue
amohinar	acc-i
amolar	ue
amover	ue
ampliar	acc-i
aneblar	ie
ansiar	acc-i
antedecir	ei
antevenir	ie
apacentar	ie
apretar	ie
aprobar	ue
arcaizar	acc-i
arrepentir	ie
arriar	acc-i
arruar	acc-u
ascender	ie
asentar	ie
asentir	ie
aserrar	ie
asonar	ue
aspaventar	ie
astreñir	ei
ataviar	acc-i
atender	ie
atener	ie
atenuar	acc-u
atraillar	acc-i
atravesar	ie
atronar	ue
aullar	acc-u
aunar	acc-u
aupar	acc-u
autografiar	acc-i
avaluar	acc-u
avenir	ie
aventar	ie
averiar	acc-i
aviar	acc-i
baquiar	acc-i
beldar	ie
bendecir	ei
biografiar	acc-i
cablegrafiar	acc-i
cabrahigar	acc-i
calentar	ie
caligrafiar	acc-i
cartografiar	acc-i
cegar	ie
cerner	ie
cernir	ien
cerrar	ie
ceñir	ei
chirriar	acc-i
ciar	acc-i
circunferir	ie
circunvolar	ue
clocar	ue
cocer	ue
cohibir	acc-i
colegir	ei
colgar	ue
comedir	ei
comenzar	ie
competir	ei
comprobar	ue
concebir	ei
conceptuar	acc-u
concernir	ien
concertar	ie
concordar	ue
condecir	ei
condescender	ie
condoler	ue
conferir	ie
confesar	ie
confiar	acc-i
conmover	ue
conseguir	ei
consentir	ie
consolar	ue
constreñir	ei
contar	ue
contender	ie
contener	ie
contextuar	acc-u
continuar	acc-u
contradecir	ei
contrariar	acc-i
contravenir	ie
controvertir	ie
convenir	ie
convertir	ie
corregir	ei
costar	ue
criar	acc-i
dactilografiar	acc-i
decir	ei
defender	ie
deferir	ie
demoler	ue
demostrar	ue
denegar	ie
denostar	ue
dentar	ie
derretir	ei
desacertar	ie
desacordar	ue
desafiar	acc-i
desahijar	acc-i
desainar	acc-i
desalentar	ie
desaprobar	ue
desasosegar	ie
desatender	ie
desatentar	ie
desavenir	ie
descafeinar	acc-i
descarriar	acc-i
descender	ie
desceñir	ei
descolgar	ue
descollar	ue
desconceptuar	acc-u
desconcertar	ie
desconfiar	acc-i
desconsolar	ue
descontar	ue
desconvenir	ie
descornar	ue
desdecir	ei
desempedrar	ie
desencerrar	ie
desenterrar	ie
desenvolver	ue
desgobernar	ie
deshabituar	acc-u
deshelar	ie
desliar	acc-i
desmentir	ie
desoldar	ue
desollar	ue
desosar	ue
despedir	ei
despertar	ie
desplegar	ie
despoblar	ue
desquerer	ie
desterrar	ie
desteñir	ei
destorcer	ue
destrocar	ue
desvariar	acc-i
desvestir	ei
desviar	acc-i
desvirtuar	acc-u
detener	ie
devaluar	acc-u
devenir	ie
devolver	ue
diferir	ie
digerir	ie
discernir	ien
discontinuar	acc-u
discordar	ue
disentir	ie
disolver	ue
disonar	ue
distender	ie
divertir	ie
dolar	ue
doler	ue
dormir	ue
efectuar	acc-u
elegir	ei
embestir	ei
empedrar	ie
empezar	ie
encender	ie
encerrar	ie
encomendar	ie
encontrar	ue
encordar	ue
enfriar	acc-i
enhastiar	acc-i
enmendar	ie
enraizar	acc-i
enrodar	ue
ensangrentar	ie
ensoñar	ue
entender	ie
enterrar	ie
entrecerrar	ie
entredecir	ei
entretener	ie
enviar	acc-i
envolver	ue
erguir	ei
escarmentar	ie
escocer	ue
esforzar	ue
esgrafiar	acc-i
espiar	acc-i
esquiar	acc-i
estreñir	ei
estriar	acc-i
evaluar	acc-u
exceptuar	acc-u
expedir	ei
expiar	acc-i
extasiar	acc-i
extender	ie
extenuar	acc-u
extraviar	acc-i
ferrar	ie
fiar	acc-i
fluctuar	acc-u
forzar	ue
fotografiar	acc-i
gemir	ei
gloriar	acc-i
gobernar	ie
graduar	acc-u
guiar	acc-i
habituar	acc-u
hacendar	ie
hastiar	acc-i
heder	ie
helar	ie
henchir	ei
hender	ien
hendir	ien
herbar	ie
herir	ie
herrar	ie
hervir	ie
heñir	ei
holgar	ue
hollar	ue
impedir	ei
improbar	ue
incensar	ie
infatuar	acc-u
inferir	ie
ingerir	ie
injerir	ie
inquirir	ie
insinuar	acc-u
interactuar	acc-u
interferir	ie
intervenir	ie
inventariar	acc-i
invertir	ie
investir	ei
judaizar	acc-i
jugar	ue
liar	acc-i
litografiar	acc-i
llover	ue
malcriar	acc-i
maldecir	ei
malentender	ie
malherir	ie
malquerer	ie
mancornar	ue
manifestar	ie
mantener	ie
manutener	ie
maullar	acc-u
mecanografiar	acc-i
medir	ei
melar	ie
menstruar	acc-u
mentar	ie
mentir	ie
merendar	ie
moler	ue
morder	ue
morir	ue
mostrar	ue
mover	ue
negar	ie
nevar	ie
obtener	ie
oler	ue
pedir	ei
pensar	ie
perder	ie
perpetuar	acc-u
perquirir	ie
perseguir	ei
pervertir	ie
piar	acc-i
pipiar	acc-i
plegar	ie
poblar	ue
poder	ue
porfiar	acc-i
precalentar	ie
preceptuar	acc-u
preconcebir	ei
predecir	ei
preferir	ie
premorir	ue
presentir	ie
prevenir	ie
probar	ue
proferir	ie
prohibir	acc-i
prohijar	acc-i
promover	ue
proseguir	ei
provenir	ie
puntuar	acc-u
quebrar	ie
querer	ie
radiografiar	acc-i
readquirir	ie
reasentar	ie
recalentar	ie
recentar	ie
recocer	ue
recolar	ue
recomendar	ie
recomenzar	ie
recontar	ue
reconvenir	ie
reconvertir	ie
recordar	ue
recostar	ue
recriar	acc-i
redecir	ei
redituar	acc-u
reelegir	ei
reencontrar	ue
reenviar	acc-i
reexpedir	ei
referir	ie
reforzar	ue
refregar	ie
regar	ie
regir	ei
rehilar	acc-i
rehusar	acc-u
remendar	ie
remorder	ue
remover	ue
rendir	ei
renegar	ie
renovar	ue
repensar	ie
repetir	ei
replegar	ie
repoblar	ue
reprobar	ue
requebrar	ie
requerir	ie
reseguir	ei
resembrar	ie
resfriar	acc-i
resollar	ue
resolver	ue
resonar	ue
resquebrar	ie
restregar	ie
retemblar	ie
retener	ie
reteñir	ei
retorcer	ue
reunir	acc-u
revaluar	acc-u
revenir	ie
reventar	ie
revertir	ie
revestir	ei
revolcar	ue
revolver	ue
reñir	ei
rociar	acc-i
rodar	ue
rogar	ue
salpimentar	ie
sarmentar	ie
segar	ie
seguir	ei
sembrar	ie
sentar	ie
sentir	ie
serrar	ie
servir	ei
situar	acc-u
sobrecalentar	ie
sobreentender	ie
sobrentender	ie
sobrevenir	ie
sobrevolar	ue
solar	ue
soldar	ue
soler	ue
soltar	ue
sonar	ue
sosegar	ie
sostener	ie
soñar	ue
subarrendar	ie
subseguir	ei
subtender	ie
subvenir	ie
subvertir	ie
sugerir	ie
superpoblar	ue
supervenir	ie
tatuar	acc-u
telegrafiar	acc-i
temblar	ie
tender	ie
tener	ie
tentar	ie
teñir	ei
torcer	ue
tostar	ue
transcender	ie
transferir	ie
trascender	ie
trasegar	ie
trasferir	ie
trastrocar	ue
travestir	ei
trocar	ue
tronar	ue
tropezar	ie
tumultuar	acc-u
usufructuar	acc-u
vaciar	acc-i
valuar	acc-u
variar	acc-i
verter	ie
vestir	ei
volar	ue
volcar	ue
volver	ue
zaherir	ie
degollar	ue
agorar	ue
avergonzar	ue
aclocar	ue
acomedir	ei
acornar	ue
afollar	ue
ahuchar	acc-u
alebrar	ie
apernar	ie
azolar	ue
calofriar	acc-i
costreñir	ei
cuantiar	acc-i
cuchichiar	acc-i
desadvertir	ie
desamoblar	ue
desaporcar	ue
desapretar	ie
desarrendar	ie
desasentar	ie
desataviar	acc-i
desaterrar	ie
desaviar	acc-i
descomedir	ei
descostar	ue
descriar	acc-i
desembaular	acc-u
desengrosar	ue
desentender	ie
desherbar	ie
desherrar	ie
deslendrar	ie
desmajolar	ue
desmedir	ei
desmoler	ue
desnevar	ie
despedrar	ie
despernar	ie
destentar	ie
embair	acc-i
emporcar	ue
enclocar	ue
encorar	ue
endentar	ie
enfatuar	acc-u
engerir	ie
enlejiar	acc-i
enriar	acc-i
ensarmentar	ie
entortar	ue
entrepernar	ie
enzainar	acc-i
espurriar	acc-i
estenografiar	acc-i
fotolitografiar	acc-i
individuar	acc-u
litofotografiar	acc-i
moblar	ue
oblicuar	acc-u
parahusar	acc-u
patiquebrar	ie
perniquebrar	ie
preelegir	ei
radiotelegrafiar	acc-i
rehenchir	ei
rehervir	ie
rehollar	ue
remedir	ei
remoler	ue
resegar	ie
resentir	ie
retostar	ue
sainar	acc-i
semicerrar	ie
sobrehilar	acc-i
sobresembrar	ie
sorregar	ie
taimar	acc-i
taquigrafiar	acc-i
tonar	ue
traillar	acc-i
trascolar	ue
trascordar	ue
trasoñar	ue
trasverter	ie
triar	acc-i
unisonar	ue
regoldar	ue
acostar	ue
adecuar	acc-u
aforar	ue
alentar	ie
arrendar	ie
cimentar	ie
colar	ue
desaforar	ue
descordar	ue
desmembrar	ie
ejecutoriar	acc-i
estregar	ie
evacuar	acc-u
expatriar	acc-i
fregar	ie
historiar	acc-i
licuar	acc-u
paliar	acc-i
promiscuar	acc-u
regimentar	ie
repatriar	acc-i
errar	ie
desvergonzar	ue
