# Spanish irregular lexicon. One row per base; prefixed derivatives
# (proponer, obtener, deshacer, conducir via the bound stem ducir)
# resolve by longest-base suffix match, except the EXACT_ONLY bases in
# src/spa.rs (ser, ir, ver, dar, estar, andar, haber, asir) whose
# suffixes collide with regular verbs (toser, mandar, mover, prestar).
#
# Columns (tab-separated), "-" means derive:
#   lemma  pres1..pres6  subj (stem, or 6 comma-separated forms)
#   pret1 (strong preterite 1sg: puse → pus- + e,iste,o,imos,isteis,
#   ieron, j absorbing the i of -ieron; both imperfect subjunctives and
#   the future subjunctive derive from the preterite 3pl)
#   fut_stem  pp  impf6(comma)  ger  imp2sg  pret6(comma)
ser	soy	eres	es	somos	sois	son	se	-	-	sido	era,eras,era,éramos,erais,eran	siendo	sé	fui,fuiste,fue,fuimos,fuisteis,fueron
estar	estoy	estás	está	estamos	estáis	están	esté,estés,esté,estemos,estéis,estén	estuve	-	estado	-	-	está	-
ir	voy	vas	va	vamos	vais	van	vay	-	-	ido	iba,ibas,iba,íbamos,ibais,iban	yendo	ve	fui,fuiste,fue,fuimos,fuisteis,fueron
haber	he	has	ha	hemos	habéis	han	hay	hube	habr	habido	-	-	he	-
tener	tengo	tienes	tiene	tenemos	tenéis	tienen	teng	tuve	tendr	tenido	-	-	ten	-
venir	vengo	vienes	viene	venimos	venís	vienen	veng	vine	vendr	venido	-	viniendo	ven	-
poner	pongo	pones	pone	ponemos	ponéis	ponen	pong	puse	pondr	puesto	-	-	pon	-
poder	puedo	puedes	puede	podemos	podéis	pueden	pueda,puedas,pueda,podamos,podáis,puedan	pude	podr	podido	-	pudiendo	puede	-
querer	quiero	quieres	quiere	queremos	queréis	quieren	quiera,quieras,quiera,queramos,queráis,quieran	quise	querr	querido	-	-	quiere	-
saber	sé	sabes	sabe	sabemos	sabéis	saben	sep	supe	sabr	sabido	-	-	sabe	-
caber	quepo	cabes	cabe	cabemos	cabéis	caben	quep	cupe	cabr	cabido	-	-	cabe	-
dar	doy	das	da	damos	dais	dan	dé,des,dé,demos,deis,den	-	-	dado	-	-	da	di,diste,dio,dimos,disteis,dieron
ver	veo	ves	ve	vemos	veis	ven	ve	-	-	visto	veía,veías,veía,veíamos,veíais,veían	viendo	ve	vi,viste,vio,vimos,visteis,vieron
