# lemma(1sg.pres)	V;1;SG;IND;PRS	V;2;SG;IND;PRS	V;3;SG;IND;PRS	V;1;PL;IND;PRS	V;2;PL;IND;PRS	V;3;PL;IND;PRS	V;1;SG;IND;IPFV	V;2;SG;IND;IPFV	V;3;SG;IND;IPFV	V;1;PL;IND;IPFV	V;2;PL;IND;IPFV	V;3;PL;IND;IPFV	V;1;SG;IND;PST	V;2;SG;IND;PST	V;3;SG;IND;PST	V;1;PL;IND;PST	V;2;PL;IND;PST	V;3;PL;IND;PST	V;1;SG;ADM;PRS	V;2;SG;ADM;PRS	V;3;SG;ADM;PRS	V;1;PL;ADM;PRS	V;2;PL;ADM;PRS	V;3;PL;ADM;PRS	V;1;SG;ADM;IPFV	V;2;SG;ADM;IPFV	V;3;SG;ADM;IPFV	V;1;PL;ADM;IPFV	V;2;PL;ADM;IPFV	V;3;PL;ADM;IPFV	V;2;SG;IMP	V;2;PL;IMP	V;V.PTCP  ("-" = productive -oj default)
abonohem	abonohem	abonohesh	abonohet	abonohemi	abonoheni	abonohen	abonohesha	abonoheshe	abonohej	abonoheshim	abonoheshit	abonoheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	abonohu	abonohuni	abonuar
abstragoj	abstragohem	abstragohesh	abstragohet	abstragohemi	abstragoheni	abstragohen	abstragohesha	abstragoheshe	abstragohej	abstragoheshim	abstragoheshit	abstragoheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	abstragohuni	-
abuzohem	abuzohem	abuzohesh	abuzohet	abuzohemi	abuzoheni	abuzohen	abuzohesha	abuzoheshe	abuzohej	abuzoheshim	abuzoheshit	abuzoheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	abuzohu	abuzohuni	abuzuar
acarohem	acarohem	acarohesh	acarohet	acarohemi	acaroheni	acarohen	acarohesha	acaroheshe	acarohej	acaroheshim	acaroheshit	acaroheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	acarohu	acarohuni	acaruar
adaptohem	adaptohem	adaptohesh	adaptohet	adaptohemi	adaptoheni	adaptohen	adaptohesha	adaptoheshe	adaptohej	adaptoheshim	adaptoheshit	adaptoheshin	adaptova	adaptove	adaptoi	adaptuam	adaptuat	adaptuan	adaptuakam	adaptuake	adaptuaka	adaptuakemi	adaptuakeni	adaptuakan	adaptuakësha	adaptuakëshe	adaptuakësh	adaptuakëshim	adaptuakëshit	adaptuakëshin	adapto	adaptohuni	adaptuar
adaptoj	adaptohem	adaptohesh	adaptohet	adaptohemi	adaptoheni	adaptohen	adaptohesha	adaptoheshe	adaptohej	adaptoheshim	adaptoheshit	adaptoheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	adaptohuni	-
admirohem	admirohem	admirohesh	admirohet	admirohemi	admiroheni	admirohen	admirohesha	admiroheshe	admirohej	admiroheshim	admiroheshit	admiroheshin	admirova	admirove	admiroi	admiruam	admiruat	admiruan	admiruakam	admiruake	admiruaka	admiruakemi	admiruakeni	admiruakan	admiruakësha	admiruakëshe	admiruakësh	admiruakëshim	admiruakëshit	admiruakëshin	admiro	admirohuni	admiruar
adoptohem	adoptohem	adoptohesh	adoptohet	adoptohemi	adoptoheni	adoptohen	adoptohesha	adoptoheshe	adoptohej	adoptoheshim	adoptoheshit	adoptoheshin	adoptova	adoptove	adoptoi	adoptuam	adoptuat	adoptuan	adoptuakam	adoptuake	adoptuaka	adoptuakemi	adoptuakeni	adoptuakan	adoptuakësha	adoptuakëshe	adoptuakësh	adoptuakëshim	adoptuakëshit	adoptuakëshin	adopto	adoptohuni	adoptuar
adresohem	adresohem	adresohesh	adresohet	adresohemi	adresoheni	adresohen	adresohesha	adresoheshe	adresohej	adresoheshim	adresoheshit	adresoheshin	adresova	adresove	adresoi	adresuam	adresuat	adresuan	adresuakam	adresuake	adresuaka	adresuakemi	adresuakeni	adresuakan	adresuakësha	adresuakëshe	adresuakësh	adresuakëshim	adresuakëshit	adresuakëshin	adreso	adresohuni	adresuar
afirmohem	afirmohem	afirmohesh	afirmohet	afirmohemi	afirmoheni	afirmohen	afirmohesha	afirmoheshe	afirmohej	afirmoheshim	afirmoheshit	afirmoheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	afirmohu	afirmohuni	afirmuar
