# Swedish principal parts, mined from the gold oracles.
# lemma <TAB> present <TAB> past <TAB> supine <TAB> imperative <TAB> subj-pres <TAB> subj-past ("-" = class-1 default)
K-märka	K-märker	K-märkte	K-märkt	K-märk	-	-
KU-anmäla	KU-anmäler	KU-anmälde	KU-anmält	KU-anmäl	-	-
anbefalla	anbefaller	anbefallde	anbefallt	anbefall	-	-
andra	-	androg	andragit	-	andrage	-
anfalla	anfaller	anföll	anfallit	anfall	-	-
anfräta	anfräter	anfrätte	anfrätt	anfrät	-	-
anföra	anför	anförde	anfört	anför	-	-
anförtro	-	anförtrodde	anförtrott	-	-	-
ange	-	angav	angett	-	angive	-
angripa	angriper	angrep	angripit	angrip	-	-
angå	-	angick	angått	-	-	-
angöra	angör	angjorde	angjort	angör	-	-
anhålla	anhåller	anhöll	anhållit	anhåll	-	-
anknyta	anknyter	anknöt	anknutit	anknyt	-	-
ankomma	ankommer	ankom	ankommit	ankom	-	-
anligga	anligger	anlåg	anlegat	anligg	-	-
anlägga	anlägger	anla	anlagt	anlägg	-	-
anlända	anländer	anlände	anlänt	anländ	-	-
anlöpa	anlöper	anlöpte	anlöpt	anlöp	-	-
anmäla	anmäler	anmälde	anmält	anmäl	-	-
anmärka	anmärker	anmärkte	anmärkt	anmärk	-	-
anse	-	ansåg	ansett	-	-	-
ansluta	ansluter	anslöt	anslutit	anslut	-	-
anslå	-	anslog	anslagit	-	-	-
anstryka	anstryker	anströk	anstrukit	anstryk	-	-
anstränga	anstränger	ansträngde	ansträngt	ansträng	-	-
anställa	anställer	anställde	anställt	anställ	-	-
anstå	-	anstod	anstått	-	-	-
ansvälla	ansväller	ansvällde	ansvällt	ansväll	-	-
ansätta	ansätter	ansatte	ansatt	ansätt	-	-
ansöka	ansöker	ansökte	ansökt	ansök	-	-
anta	-	antog	antagit	-	antage	-
ante	-	ante	-	-	-	-
anträda	anträder	anträdde	anträtt	anträd	-	-
antyda	antyder	antydde	antytt	antyd	-	-
antända	antänder	antände	antänt	antänd	-	-
använda	använder	använde	använt	använd	-	-
artbestämma	artbestämmer	artbestämde	artbestämt	artbestäm	-	-
avbeställa	avbeställer	avbeställde	avbeställt	avbeställ	-	-
avbinda	avbinder	avband	avbundit	avbind	-	-
avblåsa	avblåser	avblåste	avblåst	avblås	-	-
avbryta	avbryter	avbröt	avbrutit	avbryt	-	-
avböja	avböjer	avböjde	avböjt	avböj	-	-
avdagata	-	avdagatog	avdagatagit	-	avdagatage	-
avdriva	avdriver	avdrev	avdrivit	avdriv	-	-
avdämma	avdämmer	avdämde	avdämt	avdäm	-	-
avdöma	avdömer	avdömde	avdömt	avdöm	-	-
avfalla	avfaller	avföll	avfallit	avfall	-	-
avföra	avför	avförde	avfört	avför	-	-
avge	-	avgav	avgett	-	avgive	-
avgiftsbelägga	avgiftsbelägger	avgiftsbela	avgiftsbelagt	avgiftsbelägg	-	-
avgå	-	avgick	avgått	-	avgånge	-
avgöra	avgör	avgjorde	avgjort	avgör	-	-
avhjälpa	avhjälper	avhjälpte	avhjälpt	avhjälp	-	-
avhysa	avhyser	avhyste	avhyst	avhys	-	-
avhända	avhänder	avhände	avhänt	avhänd	-	-
avhänga	avhänger	avhängde	avhängt	avhäng	-	-
avhålla	avhåller	avhöll	avhållit	avhåll	-	-
avhöra	avhör	avhörde	avhört	avhör	-	-
