# Tamil verb stems, mined from the kaikki ∩ ThamizhiMorph agreement.
# Tamil conjugation class is lexical, so the stems are stored and the
# engine (src/tam.rs) only stacks the PNG endings.
# Regenerate: python3 scripts/tam/mine_verbs.py
#
# present is the கிற் stem, past the past stem, future the வ்/ப் stem;
# um is the -உம் form, inf the infinitive, imp_pl the plural imperative.
# A `-` cell falls through to the productive weak rule.
# lemma	present	past	future	um	inf	imp_pl
அகப்படு	அகப்படுகிற்	அகப்பட்ட்	அகப்படுவ்	அகப்படும்	அகப்பட	அகப்படுங்கள்
அகற்று	அகற்றுகிற்	அகற்றின்	அகற்றுவ்	அகற்றும்	அகற்ற	அகற்றுங்கள்
அகல்	அகல்கிற்	அகன்ற்	அகல்வ்	அகலும்	அகல	அகலுங்கள்
அகழ்	அகழ்கிற்	அகழ்ந்த்	அகழ்வ்	அகழும்	அகழ	அகழுங்கள்
அகை	அகைகிற்	அகைத்த்	அகைப்ப்	அகையும்	அகைக்க	அகையுங்கள்
அச	அசருகிற்	அசந்த்	அசருவ்	அசரும்	அசர	அசருங்கள்
அசர்	அசர்கிற்	அசர்ந்த்	அசர்வ்	அசரும்	அசர	அசருங்கள்
அசர்த்து	அசர்த்துகிற்	அசர்த்தின்	அசர்த்துவ்	அசர்த்தும்	அசர்த்த	அசர்த்துங்கள்
அசும்பு	அசும்புகிற்	அசும்பின்	அசும்புவ்	அசும்பும்	அசும்ப	அசும்புங்கள்
அசை	அசைகிற்	அசைத்த்	அசைப்ப்	அசையும்	அசைக்க	அசையுங்கள்
அஞ்சு	அஞ்சுகிற்	அஞ்சின்	அஞ்சுவ்	அஞ்சும்	அஞ்ச	அஞ்சுங்கள்
அடக்கு	அடக்குகிற்	அடக்கின்	அடக்குவ்	அடக்கும்	அடக்க	அடக்குங்கள்
அடங்கு	அடங்குகிற்	அடங்கின்	அடங்குவ்	அடங்கும்	அடங்க	அடங்குங்கள்
அடர்	அடர்கிற்	அடர்த்த்	அடர்ப்ப்	அடரும்	அடர்க்க	அடருங்கள்
அடி	அடிக்கிற்	அடித்த்	அடிப்ப்	அடிக்கும்	அடிக்க	அடியுங்கள்
அடு	அடுகிற்	அடுத்த்	அடுப்ப்	அடுக்கும்	அட	அடுங்கள்
அடுக்கு	அடுக்குகிற்	அடுக்கின்	அடுக்குவ்	அடுக்கும்	அடுக்க	அடுக்குங்கள்
அடை	அடைகிற்	அடைத்த்	அடைப்ப்	அடையும்	அடைக்க	அடையுங்கள்
அடைச்சு	அடைச்சுகிற்	அடைச்சின்	அடைச்சுவ்	அடைச்சும்	அடைச்ச	அடைச்சுங்கள்
