# Tagalog verb lexicon: the lexical affix class of each root,
# plus stored overrides for irregular stems. Mined by
# scripts/tgl/mine_verbs.py from the UniMorph paradigm and the
# UniMorph n kaikki agreement. See docs/tgl/oracles.md.
# root	actor	patient	h	pfv_ag	ipfv_ag	cont_ag	pfv_pf	ipfv_pf	cont_pf
abot	um	in	1	-	-	-	-	-	-
abuso	um	in	1	-	-	-	-	-	-
akala	mag	in	0	-	-	-	-	-	-
akit	ma	in	1	-	-	-	-	-	-
akusa	mag	an	1	-	-	-	-	-	-
akyat	um	in	1	-	-	-	-	-	-
alaga	mag	an	0	-	-	-	-	-	-
alaga'	mag	in	1	-	-	-	-	-	-
alala	mag	in	1	-	-	-	-	-	-
alam	um	in	1	-	-	-	-	-	-
alis	um	in	1	-	-	-	-	-	-
alís	um	in	1	-	-	-	-	-	-
anak	um	in	1	nag-anak	nag-aanak	mag-aanak	-	-	-
aral	mag	in	1	-	-	-	inaralan	-	-
arkila	um	in	1	-	-	-	-	-	-
arte	um	an	1	-	-	-	-	-	-
arúga'	mag	in	1	-	-	-	-	-	-
awit	um	in	1	-	-	-	-	-	-
ayaw	um	an	1	-	-	-	-	-	-
ayos	mag	in	1	-	-	-	-	-	-
babala'	mag	in	1	-	-	-	-	-	-
babá'	um	in	1	-	-	-	-	-	-
bagsak	mag	in	1	-	-	-	-	-	babagsakan
bakasyon	mag	an	1	-	-	-	-	-	-
balik	mag	an	1	-	-	-	-	-	-
balita	mag	in	1	-	-	-	-	-	-
balot	mag	in	1	-	-	-	-	-	-
balí'	um	in	1	-	-	-	-	-	-
bangon	um	in	1	-	-	-	-	-	-
bantay	mag	an	1	-	-	-	-	-	-
basa	um	in	1	-	-	-	-	-	-
basag	mag	in	1	-	-	-	-	-	-
bati'	um	in	1	-	-	-	-	-	-
bawal	mag	i	1	-	-	-	-	-	-
bayad	mag	in	1	-	-	-	-	-	-
benta	mag	i	1	-	-	-	-	-	-
bigay	mag	i	1	-	-	-	-	-	-
bihis	mag	an	1	-	-	-	-	-	-
bilang	um	in	1	-	-	-	-	-	-
bili	um	in	1	-	-	-	-	-	-
bilis	um	an	1	-	-	-	-	-	-
biro'	mag	in	1	-	-	-	-	-	-
bisita	um	in	1	-	-	-	-	-	-
bitbit	mag	in	1	-	-	-	-	-	-
boto	um	i	1	-	-	-	-	-	-
buhay	um	in	1	-	-	-	-	-	-
buhos	mag	in	1	-	-	-	-	-	-
bukas	mag	in	1	-	-	-	-	-	-
bulong	um	i	1	-	-	-	-	-	-
burá	mag	in	1	-	-	-	-	-	-
buti	um	in	1	-	-	-	-	-	-
bába'	mag	i	1	-	-	-	-	-	-
