# lemma	V;PRS;1;SG	V;PRS;2;SG	V;PRS;3;SG	V;PRS;1;PL	V;PRS;2;PL	V;PRS;3;PL	V;PST;1;SG	V;PST;2;SG	V;PST;3;SG	V;PST;1;PL	V;PST;2;PL	V;PST;3;PL	V;AOR;1;SG	V;AOR;2;SG	V;AOR;3;SG	V;AOR;1;PL	V;AOR;2;PL	V;AOR;3;PL	V;IMP;2;SG	V;IMP;2;PL	V;NFIN
agtarmak	-	-	-	-	-	-	-	-	-	-	-	-	-	agtararsyň	-	-	-	-	-	-	-
almak	-	-	-	-	-	-	-	-	-	-	-	-	-	alarsyň	-	-	-	-	-	-	-
atmak	-	-	-	-	-	-	-	-	-	-	-	-	-	atarsyň	-	-	-	-	-	-	-
awlamak	-	-	-	-	-	-	-	-	-	-	-	-	awlaryn	awlarsyň	awlar	awlarys	awlarsyňyz	awlarlar	-	awlalyň	-
açmak	-	-	-	-	-	-	-	-	-	-	-	-	-	açarsyň	-	-	-	-	-	-	-
açylmak	-	-	-	-	-	-	-	-	-	-	-	-	-	açylarsyň	-	-	-	-	-	-	-
aýlanmak	-	-	-	-	-	-	-	-	-	-	-	-	-	aýlanarsyň	-	-	-	-	-	-	-
aýtmak	-	-	-	-	-	-	-	-	-	-	-	-	aýdaryn	aýdarsyň	aýdar	aýdarys	aýdarsyňyz	aýdarlar	-	-	-
baglanmak	-	-	-	-	-	-	-	-	-	-	-	-	-	baglanarsyň	-	-	-	-	-	-	-
bakmak	-	-	-	-	-	-	-	-	-	-	-	-	-	bakarsyň	-	-	-	-	-	-	-
bejermek	-	-	-	-	-	-	-	-	-	-	-	-	bejererin	bejerersiň	bejerer	bejereris	bejerersiňiz	bejererler	-	-	-
bermek	-	-	-	-	-	-	-	-	-	-	-	-	bererin	berersiň	berer	bereris	berersiňiz	bererler	-	-	-
bilmek	-	-	-	-	-	-	-	-	-	-	-	-	bilerin	bilersiň	biler	bileris	bilersiňiz	bilerler	-	-	-
bolmak	-	-	-	-	-	-	boldum	bolduň	boldu	bolduk	bolduňyz	boldular	-	bolarsyň	-	-	-	-	-	-	-
bäsleşmek	-	-	-	-	-	-	-	-	-	-	-	-	bäsleşerin	bäsleşersiň	bäsleşer	bäsleşeris	bäsleşersiňiz	bäsleşerler	-	-	-
bölünmek	-	-	-	-	-	-	-	-	-	-	-	-	bölünerin	bölünersiň	bölüner	bölüneris	bölünersiňiz	bölünerler	-	-	-
dabalamak	-	-	-	-	-	-	-	-	-	-	-	-	dabalaryn	dabalarsyň	dabalar	dabalarys	dabalarsyňyz	dabalarlar	-	dabalalyň	-
daramak	-	-	-	-	-	-	-	-	-	-	-	-	dararyn	dararsyň	darar	dararys	dararsyňyz	dararlar	-	daralyň	-
datmak	-	-	-	-	-	-	-	-	-	-	-	-	-	datarsyň	-	-	-	-	-	-	-
dolandyrmak	-	-	-	-	-	-	-	-	-	-	-	-	-	dolandyrarsyň	-	-	-	-	-	-	-
esaslandyrmak	-	-	-	-	-	-	-	-	-	-	-	-	-	esaslandyrarsyň	-	-	-	-	-	-	-
etmek	-	-	-	-	-	-	-	-	-	-	-	-	ederin	edersiň	eder	ederis	edersiňiz	ederler	-	-	-
eýmenmek	-	-	-	-	-	-	-	-	-	-	-	-	eýmenerin	eýmenersiň	eýmener	eýmeneris	eýmenersiňiz	eýmenerler	-	-	-
eşitmek	-	-	-	-	-	-	-	-	-	-	-	-	eşiderin	eşidersiň	eşider	eşideris	eşidersiňiz	eşiderler	-	-	-
gazmak	-	-	-	-	-	-	-	-	-	-	-	-	-	gazarsyň	-	-	-	-	-	-	-
gelmek	-	-	-	-	-	-	-	-	-	-	-	-	gelerin	gelersiň	geler	geleris	gelersiňiz	gelerler	-	-	-
geplemek	-	-	-	-	-	-	-	-	-	-	-	-	geplerin	geplersiň	gepler	gepleris	geplersiňiz	geplerler	-	gepleliň	-
getirilmek	-	-	-	-	-	-	-	-	-	-	-	-	getirilerin	getirilersiň	getiriler	getirileris	getirilersiňiz	getirilerler	-	-	-
getirmek	-	-	-	-	-	-	-	-	-	-	-	-	getirerin	getirersiň	getirer	getireris	getirersiňiz	getirerler	-	-	-
gitmek	-	-	-	-	-	-	-	-	-	-	-	-	giderin	gidersiň	gider	gideris	gidersiňiz	giderler	-	-	-
goramak	-	-	-	-	-	-	-	-	-	-	-	-	goraryn	gorarsyň	gorar	gorarys	gorarsyňyz	gorarlar	-	goralyň	-
gutlamak	-	-	-	-	-	-	-	-	-	-	-	-	gutlaryn	gutlarsyň	gutlar	gutlarys	gutlarsyňyz	gutlarlar	-	gutlalyň	-
gögermek	-	-	-	-	-	-	-	-	-	-	-	-	gögererin	gögerersiň	gögerer	gögereris	gögerersiňiz	gögererler	-	-	-
gözlemek	-	-	-	-	-	-	-	-	-	-	-	-	gözlerin	gözlersiň	gözler	gözleris	gözlersiňiz	gözlerler	-	gözleliň	-
halamak	-	-	-	-	-	-	-	-	-	-	-	-	halaryn	halarsyň	halar	halarys	halarsyňyz	halarlar	-	halalyň	-
iteklemek	-	-	-	-	-	-	-	-	-	-	-	-	iteklerin	iteklersiň	itekler	itekleris	iteklersiňiz	iteklerler	-	itekleliň	-
içmek	-	-	-	-	-	-	-	-	-	-	-	-	içerin	içersiň	içer	içeris	içersiňiz	içerler	-	-	-
iýmek	-	-	-	-	-	-	-	-	-	-	-	-	iýerin	iýersiň	iýer	iýeris	iýersiňiz	iýerler	-	-	-
işjeňleşdirmek	-	-	-	-	-	-	-	-	-	-	-	-	işjeňleşdirerin	işjeňleşdirersiň	işjeňleşdirer	işjeňleşdireris	işjeňleşdirersiňiz	işjeňleşdirerler	-	-	-
jemlenmek	-	-	-	-	-	-	-	-	-	-	-	-	jemlenerin	jemlenersiň	jemlener	jemleneris	jemlenersiňiz	jemlenerler	-	-	-
kepemek	-	-	-	-	-	-	-	-	-	-	-	-	keperin	kepersiň	keper	keperis	kepersiňiz	keperler	-	kepeliň	-
köpelmek	-	-	-	-	-	-	-	-	-	-	-	-	köpelerin	köpelersiň	köpeler	köpeleris	köpelersiňiz	köpelerler	-	-	-
