# Ukrainian irregular verbs — mined from the kaikki ∩ VESUM oracle
# agreement (scripts/ukr/mine_verbs.py). Rows the rule engine misses.
# Regenerate: sh scripts/ukr/capture_irregulars.sh && python3 scripts/ukr/mine_verbs.py
# lemma	pres1sg	pres2sg	pres3sg	pres1pl	pres2pl	pres3pl	imp2sg	imp1pl	imp2pl	pastM	pastF	pastN	pastPl
ахнути	ахну	ахнеш	ахне	ахнем	ахнете	ахнуть	ахни	ахнім	ахніть	ахнув	ахнула	ахнуло	ахнули
бабратися	бабраюсь	бабраєшся	бабрається	бабраємось	бабраєтесь	бабраються	бабрайсь	бабраймось	бабрайтесь	бабравсь	бабралась	бабралось	бабрались
бавити	бавлю	бавиш	бавить	бавим	бавите	бавлять	бав	бавмо	бавте	бавив	бавила	бавило	бавили
бавитися	бавлюсь	бавишся	бавиться	бавимось	бавитесь	бавляться	бався	бавмось	бавтесь	бавивсь	бавилась	бавилось	бавились
багатіти	багатію	багатієш	багатіє	багатієм	багатієте	багатіють	багатій	багатіймо	багатійте	багатів	багатіла	багатіло	багатіли
багровіти	багровію	багровієш	багровіє	багровієм	багровієте	багровіють	багровій	багровіймо	багровійте	багровів	багровіла	багровіло	багровіли
базуватися	базуюсь	базуєшся	базується	базуємось	базуєтесь	базуються	базуйсь	базуймось	базуйтесь	базувавсь	базувалась	базувалось	базувались
банити	баню	баниш	банить	баним	баните	банять	бань	баньмо	баньте	банив	банила	банило	банили
бачити	бачу	бачиш	бачить	бачим	бачите	бачать	бач	бачмо	бачте	бачив	бачила	бачило	бачили
бачитися	бачусь	бачишся	бачиться	бачимось	бачитесь	бачаться	бачся	бачмось	бачтесь	бачивсь	бачилась	бачилось	бачились
баяти	баю	баєш	бає	баєм	баєте	бають	бай	баймо	байте	баяв	баяла	баяло	баяли
бентежити	бентежу	бентежиш	бентежить	бентежим	бентежите	бентежать	бентеж	бентежмо	бентежте	бентежив	бентежила	бентежило	бентежили
бентежитися	бентежусь	бентежишся	бентежиться	бентежимось	бентежитесь	бентежаться	бентежся	бентежмось	бентежтесь	бентеживсь	бентежилась	бентежилось	бентежились
берегти	бережу	бережеш	береже	бережем	бережете	бережуть	бережи	бережім	бережіте	беріг	берегла	берегло	берегли
бити	б'ю	б'єш	б'є	б'єм	б'єте	б'ють	бий	биймо	бийте	бив	била	било	били
битися	б'юсь	б'єшся	б'ється	б'ємось	б'єтесь	б'ються	бийсь	биймось	бийтесь	бивсь	билась	билось	бились
блимнути	блимну	блимнеш	блимне	блимнем	блимнете	блимнуть	блимни	блимнім	блимніть	блимнув	блимнула	блимнуло	блимнули
блиснути	блисну	блиснеш	блисне	блиснем	блиснете	блиснуть	блисни	блиснім	блисніть	блиснув	блиснула	блиснуло	блиснули
блищати	блищу	блищиш	блищить	блищим	блищите	блищать	блищи	блищім	блищіть	блищав	блищала	блищало	блищали
блякнути	блякну	блякнеш	блякне	блякнем	блякнете	блякнуть	блякни	блякнім	блякніть	блякнув	блякнула	блякнуло	блякнули
бліднути	блідну	бліднеш	блідне	бліднем	бліднете	бліднуть	блідни	бліднім	блідніть	блід	блідла	блідло	блідли
бовваніти	бовванію	бовванієш	бовваніє	бовванієм	бовванієте	бовваніють	бовваній	бовваніймо	бовванійте	бовванів	бовваніла	бовваніло	бовваніли
бовтатися	бовтаюсь	бовтаєшся	бовтається	бовтаємось	бовтаєтесь	бовтаються	бовтайсь	бовтаймось	бовтайтесь	бовтавсь	бовталась	бовталось	бовтались
божеволіти	божеволію	божеволієш	божеволіє	божеволієм	божеволієте	божеволіють	божеволій	божеволіймо	божеволійте	божеволів	божеволіла	божеволіло	божеволіли
боліти	болію	болієш	болить	болієм	болієте	болять	болій	боліймо	болійте	болів	боліла	боліло	боліли
бороти	борю	бореш	боре	борем	борете	борють	бори	борім	боріте	боров	борола	бороло	бороли
боротися	борюсь	борешся	бореться	боремось	боретесь	борються	борись	борімось	борітесь	боровсь	боролась	боролось	боролись
борсатися	борсаюсь	борсаєшся	борсається	борсаємось	борсаєтесь	борсаються	борсайсь	борсаймось	борсайтесь	борсавсь	борсалась	борсалось	борсались
боятися	боюсь	боїшся	боїться	боїмось	боїтесь	бояться	бійсь	біймось	бійтесь	боявсь	боялась	боялось	боялись
брати	беру	береш	бере	берем	берете	беруть	бери	берім	беріте	брав	брала	брало	брали
братися	берусь	берешся	береться	беремось	беретесь	беруться	берись	берімось	беріться	бравсь	бралась	бралось	брались
брести	бреду	бредеш	бреде	бредем	бредете	бредуть	бреди	бредім	бредіть	брів	брела	брело	брели
брехати	брешу	брешеш	бреше	брешем	брешете	брешуть	бреши	брешім	брешіте	брехав	брехала	брехало	брехали
бризнути	бризну	бризнеш	бризне	бризнем	бризнете	бризнуть	бризни	бризнім	бризніть	бризнув	бризнула	бризнуло	бризнули
брикатися	брикаюсь	брикаєшся	брикається	брикаємось	брикаєтесь	брикаються	брикайсь	брикаймось	брикайтесь	брикавсь	брикалась	брикалось	брикались
брикнути	брикну	брикнеш	брикне	брикнем	брикнете	брикнуть	брикни	брикнім	брикніть	брикнув	брикнула	брикнуло	брикнули
бриньчати	бриньчу	бриньчиш	бриньчить	бриньчим	бриньчите	бриньчать	бриньчи	бриньчім	бриньчіть	бриньчав	бриньчала	бриньчало	бриньчали
брити	брию	бриєш	бриє	бриєм	бриєте	бриють	брий	бриймо	брийте	брив	брила	брило	брили
