# lemma	V;PRS;3;SG	V;PRS;3;PL	V;PST;3;SG	V;PST;3;PL	V;FUT;3;SG	V;FUT;3;PL	V;AOR;3;SG	V;AOR;3;PL	V;IMP;3;SG	V;IMP;3;PL	V;NFIN
anglamoq	-	-	-	-	-	-	anglar	anglarlar	-	-	-
asramoq	-	-	-	-	-	-	asrar	asrarlar	-	-	-
aylamoq	-	-	-	-	-	-	aylar	aylarlar	-	-	-
bastalamoq	-	-	-	-	-	-	bastalar	bastalarlar	-	-	-
bogʻlamoq	-	-	-	-	-	-	bogʻlar	bogʻlarlar	-	-	-
boshlamoq	-	-	-	-	-	-	boshlar	boshlarlar	-	-	-
demoq	-	-	-	-	-	-	der	derlar	-	-	-
dorimoq	-	-	-	-	-	-	dorir	dorirlar	-	-	-
emoq	-	-	-	-	-	-	er	erlar	-	-	-
fahmlamoq	-	-	-	-	-	-	fahmlar	fahmlarlar	-	-	-
farqlamoq	-	-	-	-	-	-	farqlar	farqlarlar	-	-	-
gʻiloflamoq	-	-	-	-	-	-	gʻiloflar	gʻiloflarlar	-	-	-
hisoblamoq	-	-	-	-	-	-	hisoblar	hisoblarlar	-	-	-
ishlamoq	-	-	-	-	-	-	ishlar	ishlarlar	-	-	-
jadallamoq	-	-	-	-	-	-	jadallar	jadallarlar	-	-	-
jamlamoq	-	-	-	-	-	-	jamlar	jamlarlar	-	-	-
mustahkamlamoq	-	-	-	-	-	-	mustahkamlar	mustahkamlarlar	-	-	-
ogʻrimoq	-	-	-	-	-	-	ogʻrir	ogʻrirlar	-	-	-
osmonlamoq	-	-	-	-	-	-	osmonlar	osmonlarlar	-	-	-
oʻqimoq	-	-	-	-	-	-	oʻqir	oʻqirlar	-	-	-
oʻylamoq	-	-	-	-	-	-	oʻylar	oʻylarlar	-	-	-
oʻynamoq	-	-	-	-	-	-	oʻynar	oʻynarlar	-	-	-
qaramoq	-	-	-	-	-	-	qarar	qararlar	-	-	-
qaynamoq	-	-	-	-	-	-	qaynar	qaynarlar	-	-	-
qiyoslamoq	-	-	-	-	-	-	qiyoslar	qiyoslarlar	-	-	-
qoʻrimoq	-	-	-	-	-	-	qoʻrir	qoʻrirlar	-	-	-
quvvatlamoq	-	-	-	-	-	-	quvvatlar	quvvatlarlar	-	-	-
sarflamoq	-	-	-	-	-	-	sarflar	sarflarlar	-	-	-
soʻramoq	-	-	-	-	-	-	soʻrar	soʻrarlar	-	-	-
takrorlamoq	-	-	-	-	-	-	takrorlar	takrorlarlar	-	-	-
tamomlamoq	-	-	-	-	-	-	tamomlar	tamomlarlar	-	-	-
taqsimlamoq	-	-	-	-	-	-	taqsimlar	taqsimlarlar	-	-	-
taramoq	-	-	-	-	-	-	tarar	tararlar	-	-	-
tashimoq	-	-	-	-	-	-	tashir	tashirlar	-	-	-
tayyorlamoq	-	-	-	-	-	-	tayyorlar	tayyorlarlar	-	-	-
tilamoq	-	-	-	-	-	-	tilar	tilarlar	-	-	-
tugʻmoq	tugʻadi	tugʻadilar	-	-	tugʻajak	tugʻajaklar	-	-	-	-	-
uchramoq	-	-	-	-	-	-	uchrar	uchrarlar	-	-	-
uxlamoq	-	-	-	-	-	-	uxlar	uxlarlar	-	-	-
xohlamoq	-	-	-	-	-	-	xohlar	xohlarlar	-	-	-
yakunlamoq	-	-	-	-	-	-	yakunlar	yakunlarlar	-	-	-
yashamoq	-	-	-	-	-	-	yashar	yasharlar	-	-	-
yashnamoq	-	-	-	-	-	-	yashnar	yashnarlar	-	-	-
yemoq	-	-	-	-	-	-	yer	yerlar	-	-	-
yigʻlamoq	-	-	-	-	-	-	yigʻlar	yigʻlarlar	-	-	-
yorimoq	-	-	-	-	-	-	yorir	yorirlar	-	-	-
