# lemma(infinitive)	V;PRS;1;SG	V;PRS;2;SG	V;PRS;3;SG	V;PRS;1;PL	V;PRS;2;PL	V;PRS;3;PL	V;IMP;2;SG	V;IMP;2;PL	V.PTCP;PRS	V.PTCP;PST	V;NFIN
אַבאַנדאָנירן	-	-	-	-	-	-	-	-	-	אַבאַנדאָנירט	-
אַבאָנירן	-	-	-	-	-	-	-	-	-	אַבאָנירט	-
אַבסאָרבירן	-	-	-	-	-	-	-	-	-	אַבסאָרבירט	-
אַבסטראַהירן	-	-	-	-	-	-	-	-	-	אַבסטראַהירט	-
אַגיטירן	-	-	-	-	-	-	-	-	-	אַגיטירט	-
אַדאַפּטירן	-	-	-	-	-	-	-	-	-	אַדאַפּטירט	-
אַדאָפּטירן	-	-	-	-	-	-	-	-	-	אַדאָפּטירט	-
אַדמיניסטרירן	אַדמיניסטיר	אַדמיניסטירסט	אַדמיניסטירט	אַדמיניסטירן	אַדמיניסטירט	אַדמיניסטירן	אַדמיניסטיר	אַדמיניסטירט	אַדמיניסטירנדיק	אַדמיניסטרירט	-
אַהיימאײַלן	-	-	-	-	-	-	-	-	-	אַהיימגעאײַלט	-
אַהיימגיין	-	-	-	-	-	-	-	-	אַהיימגייענדיק	אַהיימגעגאַנגען	-
אַהיימלויפֿן	-	-	-	-	-	-	-	-	אַהייםלויפֿנדיק	אַהיימגעלאָפֿן	-
אַהיימקומען	-	-	-	-	-	-	-	-	-	אַהיימגעקומען	-
אַהינגיין	-	-	-	-	-	-	-	-	אַהינגייענדיק	אַהינגעגאַנגען	-
אַהינפֿאָרן	-	-	-	-	-	-	-	-	-	אַהינגעפֿאָרן	-
אַהערקומען	-	-	-	-	-	-	-	-	-	אַהערגעקומען	-
אַוואַנסירן	-	-	-	-	-	-	-	-	-	אַוואַנסירט	-
אַוועקגיין	-	-	-	-	-	-	-	-	אַוועקגייענדיק	אַוועקגעגאַנגען	-
אַוועקקומען	-	-	-	-	-	-	-	-	-	אַוועקגעקומען	-
אַוועקרײַסן	-	-	-	-	-	-	-	-	-	אַוועקגעריסן	-
אַלאַמברירן	-	-	-	-	-	-	-	-	-	אַלאַמברירט	-
אַנגאַזשירן	-	-	-	-	-	-	-	-	-	אַנגאַזשירט	-
אַנולירן	-	-	-	-	-	-	-	-	-	אַנולירט	-
אַנטלויפֿן	-	-	-	-	-	-	-	-	-	אַנטלאָפֿן	-
אַנטלײַען	-	-	-	-	-	-	-	-	-	אַנטגעליגן	-
אַנטקעגנשמייכלען	-	-	-	-	-	-	-	-	-	אַנטקעגנגעשמייכלט	-
אַנטשטיין	-	-	-	-	-	-	-	-	-	אַנטשטאַנען	-
אַנטשלאָפֿן	-	-	-	-	-	-	-	-	-	אַנטשלאָפֿן	-
אַנידערפֿאַלן	-	-	-	-	-	-	-	-	-	אַנידערגעפֿאַלן	-
אַסאָציִיִרן	-	-	-	-	-	-	-	-	-	אַסאָציִיִרט	-
אַפּליקירן	אַפּליקירט	אַפּליקירטסט	-	אַפּליקירטן	-	אַפּליקירטן	אַפּליקירט	-	אַפּליקירטנדיק	-	-
אַפֿערנעמען	-	-	-	-	-	-	-	-	-	אַפֿערגענומען	-
אַראָפּגיין	-	-	-	-	-	-	-	-	אַראָפּגייענדיק	אַראָפּגעגאַנגען	-
אַראָפּוואַרפֿן	-	-	-	-	-	-	-	-	-	אַראָפּגעוואָרפֿן	-
אַראָפּנעמען	-	-	-	-	-	-	-	-	-	אַראָפּגענומען	-
אַראָפּפֿאַלן	-	-	-	-	-	-	-	-	-	אַראָפּגעפֿאַלן	-
אַראָפּרײַסן	-	-	-	-	-	-	-	-	-	אַראָפּגעריסן	-
אַרבעטן	-	-	-	-	-	-	-	-	-	געאַרבעט	-
אַרויסגיין	-	-	-	-	-	-	-	-	אַרויסגייענדיק	אַרויסגעגאַנגען	-
אַרויסגעבן	-	-	-	-	-	-	-	-	געבנדיק	אַרויסגעגעבן	-
אַרויסנעמען	-	-	-	-	-	-	-	-	-	אַרויסגענומען	-
אַרויסציִען	-	-	-	-	-	-	-	-	-	אַרויסגעצויגן	-
אַרויסקומען	-	-	-	-	-	-	-	-	-	אַרויסגעקומען	-
אַרויסרײַסן	-	-	-	-	-	-	-	-	-	אַרויסגעריסן	-
אַרומגיין	-	-	-	-	-	-	-	-	אַרומגייענדיק	אַרומגעגאַנגען	-
אַרומהובלען	-	-	-	-	-	-	-	-	-	אַרומגעהובלען	-
אַרומרײַסן	-	-	-	-	-	-	-	-	אַרוםרײַסנדיק	אַרומגעריסן	-
אַרונטערגיין	-	-	-	-	-	-	-	-	אַרונטערגייענדיק	אַרונטערגעגאַנגען	-
אַרונטערהייבן	-	-	-	-	-	-	-	-	-	אַרונטערגעהויבן	-
אַרונטערכאַפּן	-	-	-	-	-	-	-	-	-	אַרונטערגעכאַפּט	-
אַרונטערמאַכן	-	-	-	-	-	-	-	-	-	אַרונטערגעמאַכט	-
אַרונטערנעמען	-	-	-	-	-	-	-	-	-	אַרונטערגענומען	-
אַרונטערפֿאַלן	-	-	-	-	-	-	-	-	-	אַרונטערגעפֿאַלן	-
אַרונטערקומען	-	-	-	-	-	-	-	-	-	אַרונטערגעקומען	-
אַרונטערקוקן	-	-	-	-	-	-	-	-	-	אַרונטערגעקוקט	-
אַרונטערקריכן	-	-	-	-	-	-	-	-	-	אַרונטערגעקראָכן	-
אַרונטעררוקן	-	-	-	-	-	-	-	-	-	אַרונטערגערוקט	-
אַרונטעררײַסן	-	-	-	-	-	-	-	-	-	אַרונטערגעריסן	-
אַריבערפֿאָרן	-	-	-	-	-	-	-	-	-	אַריבערגעפֿאָרן	-
אַריבערפֿירן	-	-	-	-	-	-	-	-	-	אַריבערגעפֿירט	-
אַריבערקריגן	-	-	-	-	-	-	-	-	-	אַריבערגעקראָגן	-
אַרײַנגיין	-	-	-	-	-	-	-	-	אַרײַנגייענדיק	אַרײַנגעגאַנגען	-
